"","SITE_ID","ECO_TYPE","LAT","LON"
"123","CBP_WQX-WIW0141","River/Stream",38.34153,-75.69569
"124","CBP_WQX-TF5.0A","Channelized Stream",37.22445,-77.47555
"125","CBP_WQX-TF4.0P","Channelized Stream",37.7675,-77.3325
"126","CBP_WQX-XGF8027","River/Stream",38.9681,-76.4539
"127","CBP_WQX-XHG1579","River/Stream",39.0257,-76.2017
"128","CBP_WQX-XCF9029","River/Stream",38.3167,-76.4526
"129","CBP_WQX-MNK0146","River/Stream",38.175,-75.72361
"130","CBP_WQX-XAK7810","River/Stream",37.96395,-75.65047
"131","CBP_WQX-XJF0588","River/Stream",39.34133,-76.35371
"132","CBP_WQX-XHH6419","River/Stream",39.1076,-76.1345
"133","CBP_WQX-XHH4822","River/Stream",39.0804,-76.1303
"134","CBP_WQX-XJF0821","River/Stream",39.34623,-76.29995
"135","CBP_WQX-XJG2718","River/Stream",39.38153,-76.3043
"136","CBP_WQX-XDI1306","River/Stream",38.35545,-75.99012
"137","CBP_WQX-XIH3581","River/Stream",39.2252,-76.0314
"138","CBP_WQX-BXK0031","River/Stream",38.1355,-75.751
"139","CBP_WQX-XJG1149","River/Stream",39.35252,-76.24895
"140","CBP_WQX-NOM0007","River/Stream",39.30127,-76.43044
"141","CBP_WQX-XHH7848","River/Stream",39.1298,-76.08772
"142","CBP_WQX-XIH1458","River/Stream",39.20402,-76.06277
"143","CBP_WQX-XCI5506","River/Stream",38.22583,-75.98915
"144","CBP_WQX-PXT0435","River/Stream",38.7571,-76.6993
"145","CBP_WQX-XGG9992","River/Stream",38.9995,-76.1791
"146","CBP_WQX-TRQ0146","River/Stream",38.46556,-76.00056
"147","CBP_WQX-XJG2340","River/Stream",39.36972,-76.2675
"148","CBP_WQX-XJF4289","River/Stream",39.4019,-76.35163
"149","CBP_WQX-XEE1502","River/Stream",38.5253,-76.664
"150","CBP_WQX-XHE3170","River/Stream",39.0515,-76.5506
"151","CBP_WQX-XHH9362","River/Stream",39.15542,-76.06412
"152","CBP_WQX-XJG4451","River/Stream",39.41072,-76.24762
"153","CBP_WQX-XHF3230","River/Stream",39.0532,-76.4494
"154","CBP_WQX-XIH4495","River/Stream",39.23868,-76.00343
"155","CBP_WQX-XJF2675","River/Stream",39.37907,-76.37708
"156","CBP_WQX-XHF0206","River/Stream",39.0029,-76.4906
"157","CBP_WQX-POK0087","River/Stream",38.03972,-75.66084
"158","CBP_WQX-XCH8973","River/Stream",38.31555,-76.04472
"159","CBP_WQX-GYI0001","River/Stream",39.09,-76.2003
"160","CBP_WQX-XJG0006","River/Stream",39.33349,-76.32375
"161","CBP_WQX-SMT13","River/Stream",38.13837,-76.50443
"162","CBP_WQX-SMSMC","River/Stream",38.18933,-76.43367
"163","CBP_WQX-XCF1336","River/Stream",38.1887,-76.4398
"164","CBP_WQX-XGF5404","River/Stream",38.9238,-76.4928
"165","CBP_WQX-XGE0284","River/Stream",38.8367,-76.5279
"166","CBP_WQX-XGG5932","River/Stream",38.9326,-76.2794
"167","CBP_WQX-XBF9130","River/Stream",38.151,-76.4495
"168","CBP_WQX-XGE7059","River/Stream",38.9495,-76.5687
"169","CBP_WQX-XBF6843","River/Stream",38.1135,-76.4285
"170","CBP_WQX-XGE2488","River/Stream",38.8737,-76.5209
"171","CBP_WQX-XGG3479","River/Stream",38.8909,-76.2007
"172","CBP_WQX-XFH7523","River/Stream",38.7926,-76.1282
"173","CBP_WQX-XGE3275","River/Stream",38.886,-76.5415
"174","CBP_WQX-XCF2621","River/Stream",38.21017,-76.46567
"175","CBP_WQX-XGF0681","River/Stream",38.844,-76.3653
"176","CBP_WQX-XFG9164","River/Stream",38.8194,-76.2259
"177","CBP_WQX-XGE6281","River/Stream",38.9369,-76.5314
"178","CBP_WQX-XFB2184","River/Stream",38.70157,-77.02593
"179","CBP_WQX-XHF0460","River/Stream",39.0075,-76.40033
"180","CBP_WQX-XFB5581","River/Stream",38.7592,-77.0312
"181","CBP_WQX-XGG5115","River/Stream",38.9191,-76.3073
"182","CBP_WQX-SMT10","River/Stream",38.16567,-76.41766
"183","CBP_WQX-XGG5959","River/Stream",38.9312,-76.234
"184","CBP_WQX-XIE5748","River/Stream",39.2613,-76.5863
"185","CBP_WQX-XFB0231","River/Stream",38.66993,-77.11513
"186","CBP_WQX-XGG2084","River/Stream",38.867,-76.1929
"187","CBP_WQX-XGE5492","River/Stream",38.9234,-76.5132
"188","CBP_WQX-XHF0561","River/Stream",39.01647,-76.39488
"189","CBP_WQX-XGG4301","River/Stream",38.9057,-76.3306
"190","CBP_WQX-XGF1780","River/Stream",38.8606,-76.533
"191","CBP_WQX-ZDM0001","River/Stream",38.93598,-76.50771
"192","CBP_WQX-XBF9949","River/Stream",38.1657,-76.4177
"193","CBP_WQX-ZDM0002","River/Stream",38.93648,-76.50738
"194","CBP_WQX-XEA3687","River/Stream",38.55925,-77.1887
"195","CBP_WQX-XBE8396","River/Stream",38.1378,-76.5058
"196","CBP_WQX-XFG9210","River/Stream",38.82,-76.316
"197","CBP_WQX-XFB1839","River/Stream",38.6961,-77.1022
"198","CBP_WQX-SGC0041","River/Stream",38.166,-76.521
"199","CBP_WQX-XGG4898","River/Stream",38.9135,-76.1689
"200","CBP_WQX-POK0014","River/Stream",37.98111,-75.6375
"201","CBP_WQX-SMT01","River/Stream",38.22567,-76.49033
"202","CBP_WQX-ANA0082","River/Stream",38.93893,-76.94344
"203","CBP_WQX-XBM8828","River/Stream",38.14825,-75.28622
"204","CBP_WQX-NPA0165","Channelized Stream",39.48278,-76.88209
"205","CBP_WQX-XEG3623","River/Stream",38.5601,-76.294
"206","CBP_WQX-GWN0115","Channelized Stream",39.34279,-76.72639
"207","CBP_WQX-SAV0000","River/Stream",39.4806,-79.06806
"208","CBP_WQX-MON0020","River/Stream",39.27171,-77.44157
"209","CBP_WQX-XEG2646","River/Stream",38.5427,-76.25588
"210","CBP_WQX-XHH3851","River/Stream",39.06283,-76.08162
"211","CBP_WQX-BEL0053","Channelized Stream",39.61222,-75.81694
"212","CBP_WQX-POT1595","River/Stream",39.27348,-77.54367
"213","CBP_WQX-BDK0000","River/Stream",39.67048,-78.79081
"214","CBP_WQX-POT1472","River/Stream",39.15551,-77.52232
"215","CBP_WQX-CON0005","River/Stream",39.60324,-77.8216
"216","CBP_WQX-MON0269","River/Stream",39.48027,-77.38939
"217","CBP_WQX-CJB0005","River/Stream",38.97345,-77.14883
"218","CBP_WQX-MON0546","Channelized Stream",39.69645,-77.23947
"219","CBP_WQX-NBP0689","River/Stream",39.38935,-79.17936
"220","CBP_WQX-XEG1995","River/Stream",38.5283,-76.1791
