"","LAT","LON","SITE_ID","ECO_TYPE","DATE_COL","VARIABLE","RESULT","UNIT","TROPHIC_STATE"
"26904",36.01528,-78.69111,"LAGOS_152064","Lake","2009-12-15","TEMP",8.6,"degc","Eutrophic"
"26905",36.0664,-91.14,"LAGOS_105709","Lake","2012-08-20","CALCIUM",26.5,"mgl",NA
"26906",36.0664,-91.14,"LAGOS_105709","Lake","2012-08-20","CHLORIDE",3.74,"mgl",NA
"26907",36.0664,-91.14,"LAGOS_105709","Lake","2012-08-20","DO",5.58,"mgl",NA
"26908",36.0664,-91.14,"LAGOS_105709","Lake","2012-08-20","MAGNESIUM",14.4,"mgl",NA
"26909",36.0664,-91.14,"LAGOS_105709","Lake","2012-08-20","pH",8.28,NA,NA
"26910",36.0664,-91.14,"LAGOS_105709","Lake","2012-08-20","SULFATE",1.51,"mgl",NA
"26911",36.0664,-91.14,"LAGOS_105709","Lake","2012-08-20","TEMP",26.4,"degc",NA
"26912",42.43916,-122.01224,"LAGOS_473584","Lake","2015-06-16","SP_COND",117,"uS/cm",NA
"26913",42.43916,-122.01224,"LAGOS_473584","Lake","2015-06-16","DO",10.3,"mgl",NA
"26914",42.43916,-122.01224,"LAGOS_473584","Lake","2015-06-16","pH",9.4,NA,NA
"26915",42.43916,-122.01224,"LAGOS_473584","Lake","2015-06-16","TEMP",20.5,"degc",NA
"26916",42.43916,-122.01224,"LAGOS_473584","Lake","2008-09-22","SP_COND",113,"uS/cm",NA
"26917",42.43916,-122.01224,"LAGOS_473584","Lake","2008-09-22","DO",8,"mgl",NA
"26918",42.43916,-122.01224,"LAGOS_473584","Lake","2008-09-22","pH",9.2,NA,NA
"26919",42.43916,-122.01224,"LAGOS_473584","Lake","2008-09-22","TEMP",15.6,"degc",NA
"26920",34.21194,-94.22917,"LAGOS_404579","Lake","2013-11-04","CALCIUM",4.15,"mgl","Eutrophic"
"26921",34.21194,-94.22917,"LAGOS_404579","Lake","2013-11-04","CHLORIDE",2.2,"mgl","Eutrophic"
"26922",34.21194,-94.22917,"LAGOS_404579","Lake","2013-11-04","SP_COND",43,"uS/cm","Eutrophic"
"26923",34.21194,-94.22917,"LAGOS_404579","Lake","2013-11-04","DO",3.82,"mgl","Eutrophic"
"26924",34.21194,-94.22917,"LAGOS_404579","Lake","2013-11-04","MAGNESIUM",1.4,"mgl","Eutrophic"
"26925",34.21194,-94.22917,"LAGOS_404579","Lake","2013-11-04","pH",6.2,NA,"Eutrophic"
"26926",34.21194,-94.22917,"LAGOS_404579","Lake","2013-11-04","SULFATE",4.92,"mgl","Eutrophic"
"26927",34.21194,-94.22917,"LAGOS_404579","Lake","2013-11-04","TEMP",17.7,"degc","Eutrophic"
"26928",42.43916,-122.01224,"LAGOS_473584","Lake","2011-09-07","SP_COND",116,"uS/cm",NA
"26929",42.43916,-122.01224,"LAGOS_473584","Lake","2011-09-07","DO",7.5,"mgl",NA
"26930",42.43916,-122.01224,"LAGOS_473584","Lake","2011-09-07","pH",9,NA,NA
"26931",42.43916,-122.01224,"LAGOS_473584","Lake","2011-09-07","TEMP",19.8,"degc",NA
"26932",33.69667,-93.96111,"LAGOS_408132","Lake","2014-01-13","CALCIUM",4.92,"mgl","Eutrophic"
