"","SITE_ID","LAT_DD83","LON_DD83","ECO_TYPE"
"204","NLA_204",45.0829,-83.4906,"River/Stream"
"205","NLA_205",42.6317,-72.129,"River/Stream"
"206","NLA_206",31.6265,-92.9092,"River/Stream"
"207","NLA_207",44.8984,-117.4242,"River/Stream"
"208","NLA_208",38.828,-76.9811,"River/Stream"
"209","NLA_209",46.1668,-110.5491,"River/Stream"
"210","NLA_210",47.3046,-102.1929,"River/Stream"
"211","NLA_211",39.2106,-81.1528,"River/Stream"
"212","NLA_212",42.0073,-115.2197,"River/Stream"
"213","NLA_213",38.1989,-95.4277,"River/Stream"
"214","NLA_214",40.7024,-116.5235,"River/Stream"
"215","NLA_215",40.4102,-118.3154,"River/Stream"
"216","NLA_216",45.3681,-119.4463,"River/Stream"
"217","NLA_217",46.5548,-85.1166,"River/Stream"
"218","NLA_218",38.4407,-76.6971,"River/Stream"
"219","NLA_219",34.5573,-119.2497,"River/Stream"
"220","NLA_220",41.2537,-103.6114,"River/Stream"
"221","NLA_221",36.1106,-105.7319,"River/Stream"
"222","NLA_222",46.2712,-119.5705,"River/Stream"
"223","NLA_223",31.1524,-92.809,"River/Stream"
"224","NLA_224",39.1314,-81.3443,"River/Stream"
"225","NLA_225",40.6078,-91.6834,"River/Stream"
"226","NLA_226",42.179,-114.222,"River/Stream"
"227","NLA_227",31.9345,-95.4334,"River/Stream"
"228","NLA_228",47.3791,-102.7053,"River/Stream"
"229","NLA_229",40.6497,-116.779,"River/Stream"
"230","NLA_230",41.0056,-117.3393,"River/Stream"
"231","NLA_231",44.6232,-119.6383,"River/Stream"
"232","NLA_232",43.4299,-85.7194,"River/Stream"
"233","NLA_233",38.6517,-77.1246,"River/Stream"
"234","NLA_234",46.2509,-109.7696,"River/Stream"
"235","NLA_235",42.8138,-71.001,"River/Stream"
"236","NLA_236",34.7477,-120.054,"River/Stream"
"237","NLA_237",47.1296,-102.2342,"River/Stream"
"238","NLA_238",36.4358,-105.2366,"River/Stream"
"239","NLA_239",46.2762,-118.1925,"River/Stream"
"240","NLA_240",39.4783,-80.8802,"River/Stream"
"241","NLA_241",37.8895,-93.7208,"River/Stream"
"242","NLA_242",42.0475,-114.4203,"River/Stream"
"243","NLA_243",30.8817,-93.5725,"River/Stream"
"244","NLA_244",40.91,-117.9097,"River/Stream"
"245","NLA_245",40.7882,-117.0442,"River/Stream"
"246","NLA_246",46.8843,-88.5344,"River/Stream"
"247","NLA_247",44.2682,-85.9963,"River/Stream"
"248","NLA_248",38.6158,-77.1686,"River/Stream"
"249","NLA_249",45.8377,-110.0458,"River/Stream"
"250","NLA_250",37.3288,-121.6749,"River/Stream"
"251","NLA_251",41.5408,-102.716,"River/Stream"
"252","NLA_252",44.5908,-85.0781,"River/Stream"
"253","NLA_253",41.0955,-74.1483,"River/Stream"
"254","NLA_254",36.5977,-106.5009,"River/Stream"
"255","NLA_255",46.6064,-90.6885,"River/Stream"
"256","NLA_256",44.8453,-84.8329,"River/Stream"
"257","NLA_257",40.6246,-74.4744,"River/Stream"
"258","NLA_258",33.1087,-91.1507,"River/Stream"
"259","NLA_259",45.666,-91.1797,"River/Stream"
"260","NLA_260",40.6972,-118.1007,"River/Stream"
"261","NLA_261",37.7972,-103.3775,"River/Stream"
"262","NLA_262",44.6125,-84.4574,"River/Stream"
"263","NLA_263",33.3205,-91.1685,"River/Stream"
"264","NLA_264",42.8982,-100.4854,"River/Stream"
"265","NLA_265",44.0067,-90.0538,"River/Stream"
"266","NLA_266",38.3571,-82.2241,"River/Stream"
"267","NLA_267",47.8436,-121.6946,"River/Stream"
"268","NLA_268",37.9745,-101.788,"River/Stream"
"269","NLA_269",38.0651,-102.3364,"River/Stream"
"270","NLA_270",45.1416,-109.0399,"River/Stream"
"271","NLA_271",33.6201,-91.1344,"River/Stream"
"272","NLA_272",41.5629,-73.8456,"River/Stream"
"273","NLA_273",43.287,-102.8175,"River/Stream"
"274","NLA_274",38.6754,-121.4472,"River/Stream"
"275","NLA_275",46.324,-101.8133,"River/Stream"
"276","NLA_276",42.8028,-100.5568,"River/Stream"
"277","NLA_277",32.3605,-104.1852,"River/Stream"
"278","NLA_278",44.8835,-87.8572,"River/Stream"
"279","NLA_279",31.5512,-91.8054,"River/Stream"
"280","NLA_280",42.4612,-111.9126,"River/Stream"
"281","NLA_281",33.8636,-97.006,"River/Stream"
"282","NLA_282",47.6921,-121.9663,"River/Stream"
"283","NLA_283",39.7028,-75.694,"River/Stream"
"284","NLA_284",39.6387,-102.1137,"River/Stream"
"285","NLA_285",43.05,-72.7215,"River/Stream"
"286","NLA_286",39.4149,-86.0084,"River/Stream"
"287","NLA_287",45.0342,-107.5853,"River/Stream"
"288","NLA_288",33.714,-91.1547,"River/Stream"
"289","NLA_289",43.3821,-102.3896,"River/Stream"
"290","NLA_290",46.5892,-101.7333,"River/Stream"
"291","NLA_291",42.948,-99.4477,"River/Stream"
"292","NLA_292",39.9768,-84.1702,"River/Stream"
"293","NLA_293",42.9098,-112.3271,"River/Stream"
"294","NLA_294",33.0557,-97.2531,"River/Stream"
"295","NLA_295",38.8506,-116.6049,"River/Stream"
"296","NLA_296",33.4322,-91.123,"River/Stream"
"297","NLA_297",43.4873,-102.4814,"River/Stream"
"298","NLA_298",38.7321,-119.9293,"River/Stream"
"299","NLA_299",46.478,-102.2405,"River/Stream"
"300","NLA_300",42.7972,-100.0455,"River/Stream"
"301","NLA_301",35.3771,-104.5056,"River/Stream"
"302","NLA_302",42.9464,-72.8718,"River/Stream"
"303","NLA_303",31.3336,-92.502,"River/Stream"
"304","NLA_304",43.3106,-123.2115,"River/Stream"
"305","NLA_305",38.8349,-86.5233,"River/Stream"
"306","NLA_306",42.6053,-73.4799,"River/Stream"
"307","NLA_307",43.6968,-102.1639,"River/Stream"
"308","NLA_308",35.7715,-105.0074,"River/Stream"
"309","NLA_309",31.7433,-91.5778,"River/Stream"
"310","NLA_310",43.5775,-123.5017,"River/Stream"
"311","NLA_311",30.5188,-87.2978,"River/Stream"
"312","NLA_312",35.2433,-104.9109,"River/Stream"
"313","NLA_313",31.3944,-91.8034,"River/Stream"
"314","NLA_314",43.097,-122.4115,"River/Stream"
"315","NLA_315",38.7112,-87.1776,"River/Stream"
"316","NLA_316",30.6702,-87.2665,"River/Stream"
"317","NLA_317",42.5011,-74.4389,"River/Stream"
"318","NLA_318",36.7889,-106.2405,"River/Stream"
"319","NLA_319",38.3509,-86.6183,"River/Stream"
"320","NLA_320",39.7001,-75.6334,"River/Stream"
"321","NLA_321",36.7833,-108.1187,"River/Stream"
"322","NLA_322",43.3127,-114.1156,"River/Stream"
"323","NLA_323",39.0149,-98.0105,"River/Stream"
"324","NLA_324",44.1464,-122.577,"River/Stream"
"325","NLA_325",38.6182,-75.6309,"River/Stream"
"326","NLA_326",47.9095,-113.8707,"River/Stream"
"327","NLA_327",43.0071,-76.6811,"River/Stream"
"328","NLA_328",46.0545,-102.0751,"River/Stream"
"329","NLA_329",35.9711,-106.605,"River/Stream"
"330","NLA_330",37.9537,-112.0634,"River/Stream"
"331","NLA_331",32.7124,-92.2788,"River/Stream"
"332","NLA_332",41.4431,-75.6606,"River/Stream"
"333","NLA_333",40.515,-83.0257,"River/Stream"
"334","NLA_334",46.2089,-121.7939,"River/Stream"
"335","NLA_335",44.2099,-115.5467,"River/Stream"
"336","NLA_336",41.8867,-114.6866,"River/Stream"
"337","NLA_337",39.6101,-84.9596,"River/Stream"
"338","NLA_338",38.6681,-75.5603,"River/Stream"
"339","NLA_339",48.0775,-114.0187,"River/Stream"
"340","NLA_340",41.8749,-71.094,"River/Stream"
"341","NLA_341",42.9369,-76.6192,"River/Stream"
"342","NLA_342",45.7285,-101.9844,"River/Stream"
"343","NLA_343",46.9092,-103.5473,"River/Stream"
"344","NLA_344",44.8019,-106.148,"River/Stream"
"345","NLA_345",46.1317,-121.5873,"River/Stream"
"346","NLA_346",40.0758,-84.8443,"River/Stream"
"347","NLA_347",43.256,-71.6225,"River/Stream"
"348","NLA_348",41.9618,-70.9198,"River/Stream"
"349","NLA_349",42.9601,-75.7886,"River/Stream"
"350","NLA_350",45.6873,-101.8395,"River/Stream"
"351","NLA_351",46.9258,-103.5407,"River/Stream"
"352","NLA_352",44.6958,-106.3383,"River/Stream"
"353","NLA_353",37.7431,-112.0986,"River/Stream"
"354","NLA_354",40.8692,-76.0834,"River/Stream"
"355","NLA_355",38.8267,-83.0177,"River/Stream"
"356","NLA_356",30.9349,-85.8502,"River/Stream"
"357","NLA_357",40.5449,-84.9255,"River/Stream"
"358","NLA_358",41.9576,-70.9336,"River/Stream"
"359","NLA_359",30.8455,-86.4667,"River/Stream"
"360","NLA_360",30.5855,-85.8938,"River/Stream"
"361","NLA_361",30.3079,-93.1135,"River/Stream"
"362","NLA_362",40.7609,-84.9884,"River/Stream"
"363","NLA_363",30.7272,-85.8257,"River/Stream"
"364","NLA_364",33.7759,-91.074,"River/Stream"
"365","NLA_365",37.3953,-98.9263,"River/Stream"
"366","NLA_366",41.0938,-85.8011,"River/Stream"
"367","NLA_367",30.2949,-85.2938,"River/Stream"
"368","NLA_368",33.8671,-91.0641,"River/Stream"
"369","NLA_369",42.6221,-103.7164,"River/Stream"
"370","NLA_370",37.477,-98.3653,"River/Stream"
"371","NLA_371",44.4907,-122.8137,"River/Stream"
"372","NLA_372",40.1597,-105.1184,"River/Stream"
"373","NLA_373",40.8737,-95.5977,"River/Stream"
"374","NLA_374",34.3709,-90.6784,"River/Stream"
"375","NLA_375",46.2215,-101.5025,"River/Stream"
"376","NLA_376",42.4336,-103.6993,"River/Stream"
"377","NLA_377",45.0796,-88.6239,"River/Stream"
"378","NLA_378",39.9903,-111.0284,"River/Stream"
"379","NLA_379",37.4635,-80.348,"River/Stream"
"380","NLA_380",42.8731,-109.1806,"River/Stream"
"381","NLA_381",37.5414,-82.0336,"River/Stream"
"382","NLA_382",37.0275,-90.6428,"River/Stream"
"383","NLA_383",29.2389,-98.4517,"River/Stream"
"384","NLA_384",39.7303,-75.598,"River/Stream"
"385","NLA_385",44.7527,-122.5141,"River/Stream"
"386","NLA_386",42.0613,-86.4237,"River/Stream"
"387","NLA_387",41.2501,-74.8555,"River/Stream"
"388","NLA_388",34.0173,-90.9879,"River/Stream"
"389","NLA_389",41.6341,-72.7488,"River/Stream"
"390","NLA_390",47.1603,-102.0421,"River/Stream"
"391","NLA_391",42.7154,-102.0302,"River/Stream"
"392","NLA_392",45.3629,-89.7292,"River/Stream"
"393","NLA_393",40.6622,-111.1799,"River/Stream"
"394","NLA_394",37.6003,-82.1568,"River/Stream"
"395","NLA_395",47.9345,-120.3067,"River/Stream"
"396","NLA_396",44.7792,-122.8165,"River/Stream"
"397","NLA_397",42.0642,-85.1474,"River/Stream"
"398","NLA_398",34.1855,-90.8765,"River/Stream"
"399","NLA_399",41.5749,-73.4154,"River/Stream"
"400","NLA_400",42.0974,-101.1665,"River/Stream"
"401","NLA_401",44.9781,-89.6304,"River/Stream"
"402","NLA_402",41.2081,-88.0021,"River/Stream"
"403","NLA_403",29.1572,-97.3838,"River/Stream"
"404","NLA_404",38.8653,-108.3981,"River/Stream"
"405","NLA_405",44.7476,-91.9196,"River/Stream"
"406","NLA_406",44.7482,-91.1514,"River/Stream"
"407","NLA_407",43.9035,-72.8253,"River/Stream"
"408","NLA_408",43.3591,-93.8684,"River/Stream"
"409","NLA_409",32.3167,-90.9051,"River/Stream"
"410","NLA_410",41.8629,-75.5134,"River/Stream"
"411","NLA_411",36.0065,-97.3312,"River/Stream"
"412","NLA_412",42.4132,-123.158,"River/Stream"
"413","NLA_413",41.8505,-94.0261,"River/Stream"
"414","NLA_414",32.653,-91.1407,"River/Stream"
"415","NLA_415",44.2431,-72.0482,"River/Stream"
"416","NLA_416",45.9451,-69.848,"River/Stream"
"417","NLA_417",43.4135,-98.8779,"River/Stream"
"418","NLA_418",36.9637,-119.2314,"River/Stream"
"419","NLA_419",46.0309,-101.6171,"River/Stream"
"420","NLA_420",41.1442,-101.2123,"River/Stream"
"421","NLA_421",40.6249,-100.5746,"River/Stream"
"422","NLA_422",39.2525,-96.3266,"River/Stream"
"423","NLA_423",38.6967,-109.4113,"River/Stream"
"424","NLA_424",38.3056,-78.9009,"River/Stream"
"425","NLA_425",41.8317,-76.3324,"River/Stream"
"426","NLA_426",40.0164,-83.253,"River/Stream"
"427","NLA_427",47.5038,-119.2924,"River/Stream"
"428","NLA_428",38.5426,-75.5231,"River/Stream"
"429","NLA_429",42.4683,-124.3453,"River/Stream"
"430","NLA_430",42.7025,-91.9231,"River/Stream"
"431","NLA_431",47.1154,-111.3768,"River/Stream"
"432","NLA_432",43.8658,-72.1782,"River/Stream"
"433","NLA_433",46.4354,-69.4381,"River/Stream"
"434","NLA_434",43.6071,-102.997,"River/Stream"
"435","NLA_435",46.3896,-100.8728,"River/Stream"
"436","NLA_436",43.5647,-89.6543,"River/Stream"
"437","NLA_437",39.0897,-109.1016,"River/Stream"
"438","NLA_438",48.6694,-118.5003,"River/Stream"
"439","NLA_439",42.0721,-124.0083,"River/Stream"
"440","NLA_440",44.8061,-72.1363,"River/Stream"
"441","NLA_441",42.7679,-92.3559,"River/Stream"
"442","NLA_442",44.8733,-71.5295,"River/Stream"
"443","NLA_443",45.8787,-68.6203,"River/Stream"
"444","NLA_444",43.6422,-101.8385,"River/Stream"
"445","NLA_445",38.3108,-119.3439,"River/Stream"
"446","NLA_446",46.2769,-101.028,"River/Stream"
"447","NLA_447",40.2352,-100.3105,"River/Stream"
"448","NLA_448",43.3078,-90.8549,"River/Stream"
"449","NLA_449",40.6578,-90.2315,"River/Stream"
"450","NLA_450",37.6333,-78.903,"River/Stream"
"451","NLA_451",29.9105,-95.4918,"River/Stream"
"452","NLA_452",39.8477,-76.1397,"River/Stream"
"453","NLA_453",44.9603,-68.997,"River/Stream"
"454","NLA_454",43.5279,-101.7976,"River/Stream"
"455","NLA_455",40.2454,-99.7008,"River/Stream"
"456","NLA_456",43.2179,-89.8245,"River/Stream"
"457","NLA_457",34.606,-90.5824,"River/Stream"
"458","NLA_458",46.9756,-69.3784,"River/Stream"
"459","NLA_459",42.8969,-88.8954,"River/Stream"
"460","NLA_460",30.6182,-94.293,"River/Stream"
"461","NLA_461",37.9932,-99.3213,"River/Stream"
"462","NLA_462",42.9798,-91.6729,"River/Stream"
"463","NLA_463",39.0135,-85.5011,"River/Stream"
"464","NLA_464",44.9763,-112.9966,"River/Stream"
"465","NLA_465",34.7342,-90.4576,"River/Stream"
"466","NLA_466",47.1112,-69.0144,"River/Stream"
"467","NLA_467",42.6502,-90.0329,"River/Stream"
"468","NLA_468",42.1329,-106.0715,"River/Stream"
"469","NLA_469",30.6855,-95.2021,"River/Stream"
"470","NLA_470",42.1942,-91.3922,"River/Stream"
"471","NLA_471",39.8342,-86.6845,"River/Stream"
"472","NLA_472",45.5316,-112.1075,"River/Stream"
"473","NLA_473",34.7707,-90.4627,"River/Stream"
"474","NLA_474",42.0558,-73.932,"River/Stream"
"475","NLA_475",47.1543,-68.9442,"River/Stream"
"476","NLA_476",44.1564,-103.2287,"River/Stream"
"477","NLA_477",41.6528,-106.3135,"River/Stream"
"478","NLA_478",30.9594,-95.8309,"River/Stream"
"479","NLA_479",35.7686,-93.166,"River/Stream"
"480","NLA_480",34.8872,-90.2832,"River/Stream"
"481","NLA_481",47.1699,-68.9074,"River/Stream"
"482","NLA_482",44.3951,-102.8051,"River/Stream"
"483","NLA_483",41.3822,-107.2276,"River/Stream"
"484","NLA_484",38.2034,-77.6395,"River/Stream"
"485","NLA_485",31.5347,-96.5877,"River/Stream"
"486","NLA_486",34.9612,-90.2726,"River/Stream"
"487","NLA_487",43.5316,-74.5517,"River/Stream"
"488","NLA_488",45.8846,-67.8618,"River/Stream"
"489","NLA_489",47.1318,-67.8981,"River/Stream"
"490","NLA_490",43.7858,-103.0622,"River/Stream"
"491","NLA_491",41.0327,-105.6756,"River/Stream"
"492","NLA_492",37.7079,-77.9893,"River/Stream"
"493","NLA_493",31.5907,-98.1272,"River/Stream"
"494","NLA_494",37.9815,-86.034,"River/Stream"
"495","NLA_495",28.366,-97.5699,"River/Stream"
"496","NLA_496",46.6377,-67.7962,"River/Stream"
"497","NLA_497",44.285,-103.7937,"River/Stream"
"498","NLA_498",42.1098,-104.628,"River/Stream"
"499","NLA_499",44.7382,-73.4766,"River/Stream"
