"","DATE_COL","DOC","NO3","TP","DOC_UNITS","NO3_UNITS","TP_UNITS","YEAR","LAT_DD83","LON_DD83","ECO_TYPE","SITE_ID"
"72",2008-07-02,4.27,1.54003,0.0539225,"mg/L","mg N/L","mg/L",2008,41.66737013,-85.94200038,"River/Stream","NLA_71"
"73",2008-07-02,8,0.29993,3.603369,"mg/L","mg N/L","mg/L",2008,41.27422296,-112.1538854,"River/Stream","NLA_72"
"74",2008-07-02,1.99,0.25202,0.0116275,"mg/L","mg N/L","mg/L",2008,39.64842535,-79.98746651,"River/Stream","NLA_73"
"75",2008-07-02,1.13,0.04052,0.0100413,"mg/L","mg N/L","mg/L",2008,36.70940739,-90.6967141,"River/Stream","NLA_74"
"76",2008-07-02,1.41,0.01794,0.03684,"mg/L","mg N/L","mg/L",2008,42.7527138,-116.0743669,"River/Stream","NLA_75"
"77",2008-07-02,3.82,1.32086,0.0372175,"mg/L","mg N/L","mg/L",2008,41.67526583,-86.0758565,"River/Stream","NLA_76"
"78",2008-07-03,1.34,0.08918,0.0034863,"mg/L","mg N/L","mg/L",2008,34.06954656,-84.53634847,"River/Stream","NLA_77"
"79",2008-07-04,1.49,0.0404,0.6220763,"mg/L","mg N/L","mg/L",2008,33.92673274,-85.05046408,"River/Stream","NLA_78"
"80",2008-07-05,2.24,0.00163,0.0234238,"mg/L","mg N/L","mg/L",2008,31.54151415,-97.41663635,"River/Stream","NLA_79"
"81",2008-07-06,1.06,0.15099,0.0009725,"mg/L","mg N/L","mg/L",2008,30.5975647,-98.06989927,"River/Stream","NLA_80"
"82",2008-07-06,0.46,0.07158,0.0149825,"mg/L","mg N/L","mg/L",2008,34.52674768,-84.09111904,"River/Stream","NLA_81"
"83",2008-07-07,1.15,0.07527,0.011555,"mg/L","mg N/L","mg/L",2008,44.37292269,-123.8363474,"River/Stream","NLA_82"
"84",2008-07-07,9.7,4.23467,0.094543,"mg/L","mg N/L","mg/L",2008,43.00435548,-82.52504024,"River/Stream","NLA_83"
"85",2008-07-07,6.85,0,0.2101363,"mg/L","mg N/L","mg/L",2008,46.11059188,-106.4503921,"River/Stream","NLA_84"
"86",2008-07-07,8.44,0.00421,0.0532275,"mg/L","mg N/L","mg/L",2008,46.77582075,-101.1706339,"River/Stream","NLA_85"
"87",2008-07-07,6.26,0.05371,0.0684463,"mg/L","mg N/L","mg/L",2008,35.53755037,-96.31584045,"River/Stream","NLA_86"
"88",2008-07-07,10.92,0.00639,0.0680825,"mg/L","mg N/L","mg/L",2008,38.82241361,-75.43040311,"River/Stream","NLA_87"
"89",2008-07-08,2.02,0.05471,0.3420175,"mg/L","mg N/L","mg/L",2008,39.01570904,-95.84061299,"River/Stream","NLA_88"
"90",2008-07-08,1.15,0.01778,0.1539725,"mg/L","mg N/L","mg/L",2008,41.27385024,-118.4605996,"River/Stream","NLA_89"
"91",2008-07-08,7.23,0,0.1147138,"mg/L","mg N/L","mg/L",2008,41.32039998,-115.657142,"River/Stream","NLA_90"
"92",2008-07-08,0.78,0.19023,0.0094638,"mg/L","mg N/L","mg/L",2008,44.80638327,-123.9729588,"River/Stream","NLA_91"
"93",2008-07-08,1.67,0,0.02246,"mg/L","mg N/L","mg/L",2008,30.87365616,-97.62101278,"River/Stream","NLA_92"
"94",2008-07-08,2.31,1.27763,0.0393938,"mg/L","mg N/L","mg/L",2008,39.18482927,-77.48622904,"River/Stream","NLA_93"
"95",2008-07-08,4.51,0.20337,0.0495388,"mg/L","mg N/L","mg/L",2008,46.56603822,-107.9657348,"River/Stream","NLA_94"
"96",2008-07-08,1.85,1.08147,0.0694163,"mg/L","mg N/L","mg/L",2008,40.33695516,-74.93851447,"River/Stream","NLA_95"
"97",2008-07-08,3.18,0.15172,0.01637,"mg/L","mg N/L","mg/L",2008,43.19317288,-71.52350519,"River/Stream","NLA_96"
"98",2008-07-08,14.74,0.37269,0.0339475,"mg/L","mg N/L","mg/L",2008,47.04645893,-101.1047038,"River/Stream","NLA_97"
"99",2008-07-08,0.96,0.23211,0.0359575,"mg/L","mg N/L","mg/L",2008,37.51602934,-89.38047036,"River/Stream","NLA_98"
"100",2008-07-08,2.16,0.1499,0.00869,"mg/L","mg N/L","mg/L",2008,44.28115936,-72.45384929,"River/Stream","NLA_99"
"101",2008-07-08,2.4,3.23088,0.139826,"mg/L","mg N/L","mg/L",2008,39.92375623,-95.06118003,"River/Stream","NLA_100"
"102",2008-07-08,5.85,1.11403,0.2636263,"mg/L","mg N/L","mg/L",2008,39.02826524,-93.68118812,"River/Stream","NLA_101"
"103",2008-07-08,0.96,0.55785,0.0557563,"mg/L","mg N/L","mg/L",2008,42.76731871,-103.927579,"River/Stream","NLA_102"
"104",2008-07-08,1.05,0.02717,0.0291938,"mg/L","mg N/L","mg/L",2008,42.6905792,-103.5487203,"River/Stream","NLA_103"
"105",2008-07-08,1.85,0.00257,0.0031763,"mg/L","mg N/L","mg/L",2008,44.84403732,-113.8166768,"River/Stream","NLA_104"
"106",2008-07-08,4.54,0.07421,0.0353013,"mg/L","mg N/L","mg/L",2008,35.80398666,-96.4833534,"River/Stream","NLA_105"
"107",2008-07-08,6.98,0.00729,0.0653725,"mg/L","mg N/L","mg/L",2008,38.82969236,-75.64627731,"River/Stream","NLA_106"
"108",2008-07-09,1.15,0,0.0132125,"mg/L","mg N/L","mg/L",2008,40.90311286,-115.224256,"River/Stream","NLA_107"
"109",2008-07-09,0.41,0.05805,0.0148975,"mg/L","mg N/L","mg/L",2008,45.30045298,-123.4774717,"River/Stream","NLA_108"
"110",2008-07-09,3.15,0.00478,0.0824225,"mg/L","mg N/L","mg/L",2008,37.06135096,-105.982904,"River/Stream","NLA_109"
"111",2008-07-09,0.8,0.04572,0.0046613,"mg/L","mg N/L","mg/L",2008,32.28043629,-97.97061693,"River/Stream","NLA_110"
"112",2008-07-09,6.64,2.51326,0.035199,"mg/L","mg N/L","mg/L",2008,43.34147415,-83.6244102,"River/Stream","NLA_111"
"113",2008-07-09,2.15,0.92866,0.1101063,"mg/L","mg N/L","mg/L",2008,32.0082543,-83.29546049,"River/Stream","NLA_112"
