"","uid","domainID","siteID","namedLocation","decimalLatitude","decimalLongitude","coordinateUncertainty","additionalCoordUncertainty","elevation","elevationUncertainty","geodeticDatum","altLocation","altLatitude","altLongitude","altCoordinateUncertainty","altGeodeticDatum","collectDate","aquaticSiteType","samplingImpractical","waterChemSamplesCollected","parentSampleID","eventID","samplerType","dissolvedOxygen","dissolvedOxygenSaturation","specificConductance","waterTemp","swcSamplingProtocolVersion","lowerSegmentDepth","upperSegmentDepth","maxDepth","lakeSampleDepth1","lakeSampleDepth2","aCollectedBy","bCollectedBy","remarks","fieldDataQF"
"24","c415849b-9fbd-4568-a9fe-25b2aea9ad28","D06","MCDI","MCDI.AOS.S2",38.946553,-96.442948,1.1,10,371.2,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-21T16:20Z","stream",NA,"Y","MCDI.SS.20200921","MCDI.20200921","Grab",5.36,57.4,569,17.9,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0001-7163-2310","0000-0003-1449-7081",NA,NA
"25","97f9ce60-458e-4ef8-966d-472e999ee874","D07","LECO","LECO.AOS.S2",35.692201,-83.504427,1.1,10,536.3,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-14T14:30Z","stream",NA,"Y","LECO.SS.20200914","LECO.20200914","Grab",8,88,17.3,18.9,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0003-4336-0025","0000-0001-8615-3910",NA,NA
"26","f39ff3e4-f1b9-4a09-a5a5-f0abec384030","D07","LECO","LECO.AOS.S2",35.692201,-83.504427,1.1,10,536.3,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-28T15:29Z","stream",NA,"Y","LECO.SS.20200928","LECO.20200928","Grab",9.4,100,16.6,16.4,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0003-4336-0025","0000-0001-8615-3910",NA,NA
"27","03e667c7-a9dc-47f7-a439-79b07f921f7e","D07","WALK","WALK.AOS.S2",35.957219,-84.279211,1,10,261.7,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-01T12:34Z","stream",NA,"Y","WALK.SS.20200901","WALK.20200901","Grab",6.9,97,249.4,17.8,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0003-4336-0025","0000-0001-8615-3910",NA,NA
"28","2e3ccb07-a690-478f-892d-b2cc9ead2459","D07","WALK","WALK.AOS.S2",35.957219,-84.279211,1,10,261.7,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-08T13:07Z","stream",NA,"Y","WALK.SS.20200908","WALK.20200908","Grab",7.7,80,248.2,16.8,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0003-4336-0025","0000-0001-8615-3910",NA,NA
"29","e8a195d0-de76-4153-b302-345bc39a4f37","D07","WALK","WALK.AOS.S2",35.957219,-84.279211,1,10,261.7,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-29T12:15Z","stream",NA,"Y","WALK.SS.20200929","WALK.20200929","Grab",8.8,89,231.4,15.5,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0003-4336-0025","0000-0001-8615-3910",NA,NA
"30","a6391df3-bac0-4396-8108-cd6d7ac66a11","D08","BLWA","BLWA.AOS.buoy.c0",32.54067,-87.79806,10,10,20,10,"WGS84",NA,NA,NA,NA,NA,"2020-09-10T14:45Z","river",NA,"Y","BLWA.C0.20200910","BLWA.20200910","Grab",7.1,94,240,30.2,"NEON.DOC.002905vG",NA,NA,7,0.5,NA,"0000-0003-0236-373X","0000-0003-0236-373X",NA,NA
"31","2ce1fe4a-48bb-4e83-bd21-7105edb2b933","D08","BLWA","BLWA.AOS.buoy.c0",32.54067,-87.79806,10,10,20,10,"WGS84",NA,NA,NA,NA,NA,"2020-09-15T15:50Z","river",NA,"Y","BLWA.C0.20200915","BLWA.20200915","Kemmerer",6.8,91,266.6,30.7,"NEON.DOC.002905vG",NA,NA,6.5,0.5,NA,"0000-0003-0236-373X","0000-0003-0236-373X",NA,NA
"32","519f7c78-4a9e-493b-9d0c-cd22a7c3f1d2","D08","MAYF","MAYF.AOS.S2",32.961588,-87.408223,1.7,10,70,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-01T14:57Z","stream",NA,"Y","MAYF.SS.20200901","MAYF.20200901","Grab",7.9,92,13.2,23.5,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0003-0236-373X","0000-0003-0236-373X",NA,NA
"33","702649a4-3699-46a7-bbae-2ecc5a2a3654","D08","MAYF","MAYF.AOS.S2",32.961588,-87.408223,1.7,10,70,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-08T14:09Z","stream",NA,"Y","MAYF.SS.20200908","MAYF.20200908","Grab",7.6,85,12.3,21.3,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0003-0236-373X","0000-0002-8839-6825",NA,NA
"34","d15a514f-a636-4870-8111-28824a3848d7","D08","TOMB","TOMB.AOS.buoy.c0",31.85382,-88.1573,10,10,20,10,"WGS84",NA,NA,NA,NA,NA,"2020-09-09T14:48Z","river",NA,"Y","TOMB.C0.20200909","TOMB.20200909","Kemmerer",6.6,88,199,30.2,"NEON.DOC.002905vG",NA,NA,5,0.5,NA,"0000-0003-0236-373X","0000-0003-1334-3275",NA,NA
"35","d0c8cbfa-c034-405a-916c-052227b98420","D08","TOMB","TOMB.AOS.buoy.c0",31.85382,-88.1573,10,10,20,10,"WGS84",NA,NA,NA,NA,NA,"2020-09-21T15:22Z","river",NA,"Y","TOMB.C0.20200921","TOMB.20200921","Kemmerer",6.1,77,235.5,27.5,"NEON.DOC.002905vG",NA,NA,6.5,0.5,NA,"0000-0003-0236-373X","0000-0003-0236-373X",NA,NA
"36","6c777508-2796-4392-87c3-15a86e34e030","D09","PRLA","PRLA.AOS.buoy.c0",47.159718,-99.118723,10,10,561,10,"WGS84",NA,NA,NA,NA,NA,"2020-09-02T13:27Z","lake",NA,"Y","PRLA.C0.20200902","PRLA.20200902","Kemmerer",7.51,84,1013,17.3,"NEON.DOC.002905vG",NA,NA,3.2,0.5,NA,"0000-0003-4092-4649","0000-0002-1892-7221",NA,NA
"37","25fe8f3f-0213-4730-9ce3-f6d0c6e1451b","D09","PRPO","PRPO.AOS.buoy.c0",47.130692,-99.253482,10,10,590,10,"WGS84",NA,NA,NA,NA,NA,"2020-09-01T13:32Z","lake",NA,"Y","PRPO.C0.20200901","PRPO.20200901","Kemmerer",6.95,78.6,3167,17.4,"NEON.DOC.002905vG",NA,NA,2.5,0.5,NA,"0000-0003-4092-4649","0000-0002-1892-7221",NA,NA
"38","63394301-770c-426d-96b6-7d2fcd36dd25","D10","ARIK","ARIK.AOS.reach",39.758206,-102.447148,1000,NA,1179.5,1000,"WGS84","The regular S2 sampling location was dry so the sample was instead collected upstream of S1 in a small isolated pool",39.759045,-102.451579,5,"WGS84","2020-09-16T18:02Z","stream",NA,"Y","ARIK.RE.20200916","ARIK.20200916","Grab",2.32,24.6,412,16.2,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0002-5760-9269","0000-0002-6718-4647",NA,NA
"39","08d9a3a7-713e-4b30-81b0-b19c7a1c5a1f","D11","BLUE","BLUE.AOS.S2",34.448448,-96.622796,1,10,288.3,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-08T20:37Z","stream","other",NA,"BLUE.SS.20200908","BLUE.20200908",NA,NA,NA,NA,NA,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0003-3231-8913",NA,"COVID19",NA
"40","c692d357-24d7-4e3a-be6c-736e0724a185","D11","PRIN","PRIN.AOS.S2",33.37843,-97.781508,1.1,10,251.1,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-01T19:16Z","stream","other",NA,"PRIN.SS.20200901","PRIN.20200901",NA,NA,NA,NA,NA,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0002-1844-4553","","COVID19",NA
"41","70e4b84b-b73a-4314-8de2-28fdf0790f27","D11","PRIN","PRIN.AOS.S2",33.37843,-97.781508,1.1,10,251.1,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-17T19:27Z","stream","other",NA,"PRIN.SS.20200917","PRIN.20200917",NA,NA,NA,NA,NA,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0002-1844-4553","0000-0002-1844-4553","COVID19",NA
"42","5378d70f-7bf8-4a59-9ef0-39ac88ee6612","D12","BLDE","BLDE.AOS.S2",44.953606,-110.589396,0.1,10,2023.3,0.1,"WGS84",NA,NA,NA,NA,NA,"2020-09-01T15:10Z","stream",NA,"Y","BLDE.SS.20200901","BLDE.20200901","Grab",10.02,82.1,103,6.8,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0002-3695-352X","0000-0003-0371-727X",NA,NA
"43","f4adc9d0-2465-459f-bc88-60b5a06a91d1","D12","BLDE","BLDE.AOS.S2",44.953606,-110.589396,0.1,10,2023.3,0.1,"WGS84",NA,NA,NA,NA,NA,"2020-09-14T16:12Z","stream",NA,"Y","BLDE.SS.20200914","BLDE.20200914","Grab",10.63,85.8,110.1,6.2,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0002-3695-352X","0000-0003-0371-727X",NA,NA
"44","7cb6abf7-5117-47eb-b129-f2ba3a612d6f","D13","COMO","COMO.AOS.S2",40.034937,-105.544424,2.1,10,3023,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-09T15:16Z","stream",NA,"Y","COMO.SS.20200909","COMO.20200909","Grab",9.6,96.6,35.6,1.3,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0002-5760-9269","0000-0002-5760-9269",NA,NA
"45","aa5a2a49-ce19-43ce-a11c-814b7638e106","D13","COMO","COMO.AOS.S2",40.034937,-105.544424,2.1,10,3023,1,"WGS84",NA,NA,NA,NA,NA,"2020-09-23T16:20Z","stream",NA,"Y","COMO.SS.20200923","COMO.20200923","Grab",8.18,92.3,38.9,5.8,"NEON.DOC.002905vG",NA,NA,NA,NA,NA,"0000-0002-9463-8595","0000-0002-0857-6747",NA,NA
