"SITE_ID","Lat","Lon","DOC_Median","TN_Median","TP_Median","TNtoTP_Median"
"NWCA16-3533",41.14964,-74.35828,1.47,0.561,65,0.381632653
"NWCA16-3534",39.88612,-74.958617,4.13,0.794,166,0.192251816
"NWCA16-3537",40.799879,-74.046716,9.64,4.26,1430,0.441908714
"NWCA16-3538",39.184173,-74.835583,15,1.13,180,0.075333333
"NWCA16-3541",39.79988,-74.68405,36.7,1.6,38,0.04359673
"NWCA16-3542",39.3407,-74.7412,31.5,1.36,32,0.043174603
"NWCA16-3543",39.85222,-74.14098,5.43,0.875,60,0.161141805
"NWCA16-3601",36.97547,-104.47783,7.155,2.052,48,0.261360583
"NWCA16-3605",36.97382,-104.47754,7.11,0.389,36,0.054711674
"NWCA16-3606",35.89674,-105.15191,4.62,0.529,106,0.114502165
"NWCA16-3610",35.90668,-105.15848,18,1.42,338,0.078888889
"NWCA16-3613",35.89661,-105.15302,6.2,0.517,114,0.083387097
"NWCA16-3617",35.89708,-105.15028,3.84,0.434,130,0.113020833
"NWCA16-3620",33.5158,-108.95345,1.2,0.228,100,0.19
"NWCA16-3625",35.8965,-105.14918,4.8,0.359,26,0.074791667
"NWCA16-3682",39.494063,-119.747269,5.7,1.73,1230,0.303508772
"NWCA16-3759",40.76585,-72.883825,10.31,1.39,103,0.1370660255
"NWCA16-3760",40.804055,-72.70002,5.315,0.528,69,0.101443664
"NWCA16-3761",43.778854,-75.446345,9.81,0.757,39,0.077166157
"NWCA16-3762",43.119169,-76.590427,16.6,30.9,17500,1.861445783
"NWCA16-3766",43.17463,-77.01853,18.9,1.15,216,0.060846561
"NWCA16-3768",40.75613,-72.83584,12.8,0.974,88,0.07609375
"NWCA16-3771",44.335264,-75.828824,11.8,0.644,78,0.054576271
"NWCA16-3775",40.84803,-72.57795,1.34,3.93,36,2.932835821
"NWCA16-3776",40.77323,-73.03294,1.05,4.37,42,4.161904762
"NWCA16-3828",39.834332,-82.729346,16.05,2.645,82,0.15935918
"NWCA16-3829",40.6164115,-81.6067035,10.3,0.7825,181,0.075229885
"NWCA16-3832",40.98051,-82.62792,20,1.57,370,0.0785
"NWCA16-3834",41.12317,-81.35831,24.2,7.67,660,0.316942149
"NWCA16-3857",36.941845,-96.18707,9.53,0.496,147,0.0518917375
"NWCA16-3859",36.78817,-97.78261,16.8,1.77,845,0.105357143
"NWCA16-3860",36.52387,-99.78704,17.3,1.22,350,0.070520231
"NWCA16-3868",34.89974,-95.46281,11.9,3.83,126,0.321848739
"NWCA16-3875",33.96251,-94.57334,9.6,1.2,270,0.125
"NWCA16-3878",34.43538,-96.20909,14.3,0.7,92,0.048951049
"NWCA16-3884",34.88736,-95.43733,9.9,0.9,180,0.090909091
"NWCA16-3897",36.94566,-96.21436,17.5,1.46,106,0.083428571
"NWCA16-3909",36.62458,-99.76014,25.2,1.35,400,0.053571429
"NWCA16-3917",35.61009,-96.33871,10.9,1.07,106,0.098165138
"NWCA16-3940",44.93227,-124.00984,3.295,3.4915,246,1.167969654
"NWCA16-3942",44.91774,-124.00764,19.7,1.41,248,0.071573604
"NWCA16-3943",43.71651,-123.521,2.13,0.422,56,0.198122066
"NWCA16-3946",44.59291,-123.12223,8.48,0.6,238,0.070754717
"NWCA16-3949",43.85788,-118.53599,13.3,1.15,388,0.086466165
"NWCA16-3953",45.70016,-118.39732,1.56,0.221,156,0.141666667
