"SITE_ID","DOC_Median","NO3_Median","TP_Median"
"FW08AR052",4.71,0.02205,105.0338
"FW08AR053",2.55,0.1425,117.6088
"FW08AR057",2.09,0.33239,10.1794
"FW08AR060",4.02,0.00044,84.9131
"FW08AR067",3.663522745,NA,321
"FW08AR069",10.85,0.56602,760.984
"FW08AR070",3.25,0.12667,134.5106
"FW08AR072",18.96,1.82734,168.0831
"FW08AR073",1.13,2.42673,2.9475
"FW08AR078",3.03203,NA,182
"FW08AR080",0.51,0.03972,15.7006
"FW08AR084",3.23,0.59516,56.4769
"FW08AR087",3.240441155,NA,188
"FW08AR088",7.23,0.03113,50.1988
"FW08AR093",6.19,0.01317,468.164
"FW08AR094",4.18,0.02673,84.3863
"FW08AR099",0.46,0.04931,3.55
"FW08AR111",0.85,0.10104,23.315
"FW08AR112",1.17,0.00166,4.7375
"FW08AR114",1.61,0.09776,7.6663
"FW08AR116",8.65,0.09855,185.1556
"FW08AR122",0.14,0.02189,186.4263
"FW08AR124",3.68,0.03358,69.7125
"FW08AR133",0.57,0.46491,36.4163
"FW08AR141",4.96,0.3,127.9038
"FW08AR142",0.77,0.00981,8.8313
"FW08AR145",4.31,1.63517,280.8144
"FW08AR146",2.49,0.01458,10.4338
"FW08AR147",0.66,0.01051,17.4038
"FW08AR148",1.63,0.10859,34.64
"FW08AR151",10.18,0.20742,160.0738
"FW08AR153",1.87,0.16757,12.1544
"FW08AR161",3.58,0.88851,146.84
"FW08AR177",0.75,6.31053,45.7163
"FW08AR179",2.47,0.0541,58.06
"FW08AR188",2.91,0.0085,62.305
"FW08AR192",5.14,0.16431,328.9913
"FW08AR205",3.245844857,NA,210
"FW08AR218",5.4,0.00873,389.1369
"FW08AR236",7.58,0.03869,200.985
"FW08AR255",4.12,0.08372,43.6456
"FW08AR274",3.04664049,NA,188
"FW08AR276",9.85,0.03321,388.5125
"FW08AR303",12.67,1.43352,359.3781
"FW08AR307",5.78,0.0319,79.5744
"FW08AR311",25.96,0.1095,48.52
"FW08AR320",1.34,0.24457,31.8438
"FW08AZ003",0.87,0.00209,13.6663
"FW08AZ004",2.55,0,74.6088
"FW08AZ005",1.51,0.00113,115.4725
"FW08AZ006",1.34,NA,83.8113
"FW08AZ007",0.68,0.00164,25.1025
"FW08AZ008",0.83,0.661345,17.5803
"FW08AZ009",2.82,0.23572,13.8125
"FW08AZ013",2.86,0.24726,11.6275
"FW08AZ019",6.91,6.808185,3791.8405
"FW08AZ022",1.39,0.01275,88.3175
"FW08AZ024",5.16,0,266.2425
"FW08AZ028",1.04,0.20931,119.425
"FW08AZ034",2.79,0.24465,11.7113
"FW08AZ044",1.62,0,76
"FW08AZ045",2.81,0.2474,11.0813
"FW08AZ048",0.67,0.47377,42.3563
"FW08AZ050",1.07,0.00013,38.3163
"FW08AZ057",2.86,0.23994,15.7263
"FW08AZ062",2.375,0.30686,17.27625
"FW08AZ073",2.82,0.23656,9.88
"FW08AZ074",2.335,0.30661,16.455
"FW08AZ075",1.48,0,72.1681
"FW08AZ077",2.93,0.2471,14.1313
"FW08AZ087",1.46,0,38.5163
"FW08AZ090",8.23,0.09775,14.7738
"FW08AZ093",3.24,0.25772,14.6175
"FW08AZ098",2.65,0.24979,15.4613
"FW08AZ100",1.03,0.02503,34.7838
"FW08AZ107",1.42,0.12458,23.8463
"FW08AZ109",2.87,0.24742,10.9875
"FW08AZ134",2.93,2.00714,149.7725
"FW08AZ139",1.36,0,63.7988
"FW08AZ155",1.13,0.00695,83.7644
"FW08AZ171",1.46,0,82.5369
"FW08AZ194",5.66,4.04543,4014.031
"FW08AZ260",2.61,0.00471,171.3825
"FW08CA001",0.995,0,12.21125
"FW08CA002",2.09,0.00254,47.6575
"FW08CA004",3.48,1.96846,588.0749
"FW08CA005",1.48,0.00852,26.9013
"FW08CA006",0.73,0.01055,7.6594
"FW08CA007",2.79,0,197.325
"FW08CA008",1.33,0.08998,21.0513
"FW08CA009",0.98,0.00249,16.4675
"FW08CA010",0.74,0.00417,25.2088
"FW08CA011",0.98,0,62.2831
"FW08CA012",1.08,0,10.3325
"FW08CA013",1.28,0.13333,14.8225
"FW08CA015",1.76,0.02787,25.3113
"FW08CA016",0.99,0.01989,21.3475
"FW08CA017",1.98,0.00742,26.865
"FW08CA020",3.01,0.007355,92.6969
"FW08CA022",1.59,1.52132,22.5269
"FW08CA031",1.915,0.007795,42.20375
"FW08CA035",1.11,0.02642,24.3725
"FW08CA036",0.56,0,29.22
"FW08CA038",5.54,4.56914,307.3981
"FW08CA040",3.49,0.05781,102.2213
"FW08CA044",7.96,0,469.99
"FW08CA046",0.61,0.00834,25.9563
"FW08CA054",0.93,0.00542,75.0525
"FW08CA056",1.9,0.00143,41.8088
"FW08CA059",1.3,0.00389,11.7113
"FW08CA061",2.18,1.92284,173.2
"FW08CA063",0.62,0.00078,3.5038
"FW08CA067",1.15,0.00237,11.4575
"FW08CA068",4.67,0.44455,166.5375
"FW08CA075",0.31,0.00734,13.5775
"FW08CA097",1.36,0.0067,95.9388
"FW08CA102",6.29,0.0316,84.0719
"FW08CA116",1.1,0.00799,29.8763
"FW08CA132",1.36,0.05416,113.8438
"FW08CA139",0.49,0,0.1969
"FW08CA145",0.93,0.0139,8.415
"FW08CA155",3,0.04418,41.4638
"FW08CA168",0.73,0.19959,27.9081
"FW08CA170",0.48,0.00189,62.4838
"FW08CA199",0.84,0.86022,4.405
"FW08CA207",1.75,0.00367,24.3838
"FW08CA222",0.57,0.01112,3.6794
"FW08CO001",6.395,0.015345,106.205
"FW08CO003",2.77,0.04765,5.8169
"FW08CO004",3.89,0.01557,46.2375
"FW08CO006",0.76,0.18297,12.1963
"FW08CO007",8.26,0,63.59
"FW08CO010",1.94,0.00139,16.8775
"FW08CO012",3.49,0.00931,47.4163
"FW08CO013",5.15,0,41.7881
"FW08CO014",4.09,0.14348,41.5063
"FW08CO015",4.31,0.04413,32.4
"FW08CO017",2.25,0,11.785
"FW08CO019",2.59,0.32232,39.9125
"FW08CO020",5.86,0.15947,137.707
"FW08CO021",4.74,0.06413,163.0613
"FW08CO023",2.54,0.00137,102.4919
"FW08CO025",3.385,0.781175,111.47505
"FW08CO027",2.31,0.01978,10.9588
"FW08CO028",4.75,0,78.7175
"FW08CO029",1.35,0.00069,92.8425
"FW08CO031",3.98,0.08062,44.3338
"FW08CO032",4.12,2.06161,154.155
"FW08CO033",2.91,0,104.2713
"FW08CO036",3.44,4.0586,500.7363
"FW08CO037",4.28,0.01174,116.6888
"FW08CO038",1.89,0,22.6125
"FW08CO046",2.83,0.007685,22.7428
"FW08CO047",6.3,4.89246,1859.006
"FW08CO049",2.54,0.00169,132.68
"FW08CO050",1.23,0.00055,44.8488
"FW08CO053",5.77,0,204.6344
"FW08CO054",3.35,0.08375,25.32
"FW08CO055",1.42,0.00056,38.825
"FW08CO059",1.98,0.0016,13.0738
"FW08CO060",5.12,0,187.1388
"FW08CO062",3.04,0.02469,33.7275
"FW08CO066",4.59,0.03631,86.0475
"FW08CO072",3.12,0.08127,152.5644
"FW08CO073",3.15,0.00478,82.4225
"FW08CO076",6.47,0.0369,277.2369
"FW08CO083",1.04,0.00603,11.23
"FW08CO085",4.98,0,244
"FW08CO086",6.41,0.16596,40.805
"FW08CO087",3.84,0.01443,370.1775
"FW08CO103",0.83,0.05109,8.8619
"FW08CO123",3.92,0.00207,57.76
"FW08CO125",3.3,0.00063,29.3075
"FW08CO129",2.66,0.00502,48.9363
"FW08CO136",8.06,0.01195,290.2013
"FW08CO138",4.97,0.00483,27.9281
"FW08CO143",0.98,0.03907,12.0238
"FW08CO171",0.67,0.04057,29.0394
"FW08CT002",3.27,0.161535,21.6897
"FW08CT003",1.07,0.14795,36.0613
"FW08CT004",2.81,0.84999,34.4225
"FW08CT005",3.29,0.48473,106.4522
"FW08CT006",4.13,0.34352,29.1194
"FW08CT007",2.73,0.38989,54.8263
"FW08CT008",1.72,0.71628,19.5425
"FW08CT009",3.02,0.66475,80.6475
"FW08CT012",2.67,0.3473,48.4775
"FW08CT015",2.21,0.27881,28.6025
"FW08CT016",3,0.605745,114.87285
"FW08CT017",3.52,0.39647,28.9269
"FW08CT018",3.72,0.05545,15.8425
"FW08CT020",2.83,0.09871,20.3438
"FW08CT021",2.78,0.25234,30.815
"FW08CT022",3.84,0.33258,24.1731
"FW08CT023",2.78,0.41107,61.42
"FW08CT024",6.28,0.51094,63.8269
"FW08CT025",2.68,0.31856,33.9338
"FW08CT027",4.26,0.04774,33.8744
"FW08CT030",2.32,0.45006,23.29065
"FW08CT032",2.97,1.54847,221.0475
"FW08DE001",6.315,0.803485,127.67505
"FW08DE002",1.51,6.95317,33.5163
"FW08DE005",2.495,2.10459,80.5644
"FW08DE008",6.98,0.00729,65.3725
"FW08DE009",2.21,3.2224,111.7413
"FW08DE010",3.735,1.085915,66.5322
"FW08DE011",24.06,3.22144,55.0713
"FW08DE012",4.55,1.00498,174.1288
"FW08DE013",3.3,0.21618,102.535
"FW08DE014",1.73,3.74162,33.2519
"FW08DE015",10.92,0.00639,68.0825
"FW08DE021",1.51,1.17647,36.4806
"FW08DE025",3.835,0.61101,57.07
"FW08DE028",4.1,0.57816,145.9963
"FW08DE030",1.04,0.8531,62.475
"FW08DE034",16.93,0.0265,2165.05
"FW08DE040",2.21,1.17893,144.8513
"FW08DE043",2.58,1.75,178.8338
"FW08DE044",6.26,1.36019,137.8863
"FW08DE046",1.69,1.61344,73.9888
"FW08DE049",4.45,3.01608,57.8875
"FW08FL002",9.56,0.01679,59.2375
"FW08FL005",8.99,0.02282,90.4597
"FW08FL006",4.265,0.372885,37.93005
"FW08FL007",19.75,0.0081,80.6925
"FW08FL009",64.97,0.01233,71.6038
"FW08FL010",11.58,0.83381,144.82
"FW08FL013",4.07,0.01095,16.9344
"FW08FL015",27.92,0.01786,122.5138
"FW08FL016",4.2,0.26303,22.2588
"FW08FL017",2.35,0.49387,34.1006
"FW08FL018",14.07,0.00871,12.5656
"FW08FL021",17.62,0,248.1663
"FW08FL023",31.67,0.03766,407.36
"FW08FL025",2.89,0.56504,53.1094
"FW08FL026",14.41,0.69345,180.5325
"FW08FL029",2.54,0.39198,34.8106
"FW08FL031",52.73,0.0133,149.3688
"FW08FL032",5.56,0.15584,50.53
"FW08FL033",2.95,0.21396,41.0613
"FW08FL048",44.825,0.007405,17.47375
"FW08FL064",46.625,0.00534,85.205
"FW08FL075",45.37,0.01089,52.2263
"FW08FL081",10.76,0,95.9563
"FW08FL083",4.01,0.28,1186.2
"FW08FL091",81.03,0.01565,59.1825
"FW08FL095",5.7,0.83,103.395
"FW08FL096",2.01,1.76048,18.575
"FW08FL123",99.74,0.04788,73.1713
"FW08FL124",6.19,0.00759,18.1138
"FW08GA001",0.97,0.01543,10.6263
"FW08GA002",2.17,0.00894,53.42595
"FW08GA003",0.46,0.07158,14.9825
"FW08GA006",17.36,0.05456,158.1219
"FW08GA008",2.065,0.22663,32.98815
"FW08GA009",3.09,0.22441,153.2413
"FW08GA010",9.44,0.04569,103.46
"FW08GA012",2.26,1.15938,155.8925
"FW08GA015",1.34,0.08918,3.4863
"FW08GA018",2.15,0.92866,110.1063
"FW08GA020",3.91,0.16222,45.3025
"FW08GA022",11.24,0.29875,185.2
"FW08GA023",1.49,0.0404,622.0763
"FW08GA024",2.65,0.88733,134.45
"FW08GA025",4.99,0.12149,142.5188
"FW08GA028",2.49,0.48507,22.4819
"FW08GA029",5.67,0.08401,37.805
"FW08GA030",2.67,1.06089,33.265
"FW08GA041",3.68,0.02032,66.8163
"FW08GA044",1.23,0.08318,32.4481
"FW08GA054",19.42,0.01195,106.1725
"FW08GA059",2.01,0.22459,52.0956
"FW08GA064",1.72,0.47251,49.0938
"FW08GA069",2.29,0.19704,44.26
"FW08GA071",1.57,0.14085,38.8244
"FW08GA081",2.16,0.00107,387.5231
"FW08GA091",1.97,0.30457,48.885
"FW08GA095",2.8,0.17557,47.57845
"FW08GA113",0.77,0.06704,16.8013
"FW08GA115",3.88,0.14723,73.5213
"FW08GA123",4.14,0.18555,168.7138
"FW08GA133",4.56,0.73788,178.6588
"FW08GA155",0.6,0.00156,18.1225
"FW08IA002",1.7,3.894505,38.39595
"FW08IA003",1.92,8.22295,253.985
"FW08IA004",2.52,3.517465,194.7316
"FW08IA005",4.09,0.80714,29.99
"FW08IA006",1.98,5.32261,170.6813
"FW08IA008",1.89,5.11996,42.9063
"FW08IA009",2.58,2.83933,59.5363
"FW08IA010",1.65,5.8796,36.5963
"FW08IA011",3.83,2.61401,337.485
"FW08IA013",2.71,6.85055,147.3125
"FW08IA014",1.35,9.25769,45.9325
"FW08IA015",2.8,9.75546,274.9938
"FW08IA016",3.88,1.01178,166.9175
"FW08IA017",1.01,9.77021,95.3463
"FW08IA019",3.765,1.272995,373.7966
"FW08IA021",3.13,4.14996,330.7613
"FW08IA022",5.66,0.31936,131.4663
"FW08IA023",1.69,7.71389,195.37
"FW08IA024",4.71,1.29534,294.0338
"FW08IA027",3.29,2.19362,197.1513
"FW08IA028",2.52,5.62739,50.2513
"FW08IA029",1.6,5.86525,63.7931
"FW08IA031",3.93,1.3445,120.4288
"FW08IA034",6.22,0.38805,187.2306
"FW08IA035",2.36,2.06697,52.853
"FW08IA036",5.28,0.21887,35.9075
"FW08IA037",4.17,1.818,235.4613
"FW08IA038",1.6,6.09736,138.5613
"FW08IA040",3.73,0,215.3375
"FW08IA041",1.28,5.08513,133.8256
"FW08IA042",1.42,2.92212,21.0144
"FW08IA043",2.15,0.73014,21.9563
"FW08IA044",2.47,2.18113,188.145
"FW08IA046",2.19,5.98198,21.7575
"FW08IA047",2.125,6.430425,441.0222
"FW08IA048",3.94,0.07088,98.1875
"FW08IA049",2.33,2.94335,255.72
"FW08IA052",2.74,0.04681,66.3363
"FW08IA053",3.89,1.54111,201.1888
"FW08IA054",2.05,4.03414,178.7263
"FW08IA055",3.85,0.05117,79.3175
"FW08IA057",2,5.90231,96.8525
"FW08IA062",1.65,7.17708,40.4925
"FW08IA063",1.29,15.5714,78.4875
"FW08IA065",2,6.39179,150.4325
"FW08IA083",1.71,10.38869,247.775
"FW08ID003",1.29,0.03272,3.28755
"FW08ID004",1.62,0.00297,2.0344
"FW08ID005",2.13,0.23197,90.8919
"FW08ID006",2.12,0.01532,46.2513
"FW08ID007",1.13,0.00576,11.1375
"FW08ID008",2.37,0,46.3238
"FW08ID010",2.76,0.00041,27.7438
"FW08ID013",2.375,0.105495,76.3147
"FW08ID014",1.55,0,20.1775
"FW08ID016",5.325,0.000695,126.7497
"FW08ID017",1.82,0,44.1425
"FW08ID019",1.19,0.02318,10.54
"FW08ID020",1.87,0.01057,31.8156
"FW08ID021",1.04,0.00073,22.5756
"FW08ID023",1.15,0.00231,25.6763
"FW08ID024",1.39,0.04363,53.5763
"FW08ID026",1.35,0.00058,34.155
"FW08ID029",2.52,0.00599,35.6744
"FW08ID032",2.04,0.3496,94.7975
"FW08ID033",3.86,0.00954,132.19
"FW08ID034",0.82,0.07283,14.9119
"FW08ID036",0.65,0.0809,14.0225
"FW08ID037",1.23,0,29.415
"FW08ID042",1.31,0.00059,30.855
"FW08ID044",1.41,0.01794,36.84
"FW08ID045",1.46,0,10.1563
"FW08ID047",1.35,0,29.2575
"FW08ID048",1.9,0.52732,118.6013
"FW08ID049",1.88,0,59.425
"FW08ID053",1.85,0.00257,3.1763
"FW08ID057",1.18,0.85051,0.9431
"FW08ID061",0.23,0.02571,7.206
"FW08ID071",1.24,0.03446,9.8875
"FW08ID078",5.1,0.01095,96.575
"FW08ID085",NA,NA,NA
"FW08IL001",7.96,1.02696,432.29315
"FW08IL002",1.99,9.688485,153.01565
"FW08IL004",2.28,4.54322,89.345
"FW08IL005",4.42,1.38041,297.5975
"FW08IL006",3.04,0.07174,44.5663
"FW08IL007",3.12,3.9861,143.1256
"FW08IL008",6.64,0.00222,1468.05
"FW08IL009",3.76,3.44574,352.97065
"FW08IL010",5.34,0.0032,196.2838
"FW08IL011",3.815,3.122575,119.765
"FW08IL012",3.38,1.52875,220.2738
"FW08IL013",4.2,1.903,158.8613
"FW08IL017",1.96,7.4743,129.1463
"FW08IL018",7.21,0.78837,106.0269
"FW08IL020",4.04,0.56947,369.025
"FW08IL021",5.84,0.85022,263.2325
"FW08IL022",3.36,4.18056,184.3306
"FW08IL023",11.34,0.62401,280.8638
"FW08IL024",4.65,0,152.8763
"FW08IL025",2.31,1.37479,280.5888
"FW08IL027",7.95,0.41873,120.29
"FW08IL028",4.25,0.12821,133.2363
"FW08IL029",2.2,3.80575,474.605
"FW08IL030",6.88,0.21885,156.4706
"FW08IL031",4.59,3.41869,264.955
"FW08IL032",1.64,7.68923,104.5969
"FW08IL035",6.98,1.43711,153.0044
"FW08IL036",1.78,4.20809,119.0163
"FW08IL038",1.59,5.65378,64.4125
"FW08IL040",3.07,9.91442,90.625
"FW08IL041",4.27,4.67746,131.8988
"FW08IL042",2.96,0.0742,13.1288
"FW08IL043",7.73,0.04303,100.0469
"FW08IL044",3.49,1.55285,217.9963
"FW08IL045",5.36,0.2427,133.0969
"FW08IN001",3.16,4.75758,123.50345
"FW08IN002",2.835,3.09139,530.2078
"FW08IN003",2.41,2.3156,56.5269
"FW08IN004",2.49,3.88606,59.1806
"FW08IN005",9.44,0.23637,381.6769
"FW08IN006",3.62,2.078305,156.52595
"FW08IN007",2.32,3.55021,80.5063
"FW08IN008",2.125,1.337825,117.4322
"FW08IN009",3.97,1.2928,25.8138
"FW08IN010",3.06,0.0052,87.6275
"FW08IN011",5.85,2.62319,283.1063
"FW08IN012",2.07,8.19951,36.7138
"FW08IN013",3.82,1.32086,37.2175
"FW08IN014",2.31,5.70577,54.0963
"FW08IN015",4.35,1.40977,102.5063
"FW08IN016",1.55,0.09027,81.9475
"FW08IN017",5.32,1.94389,131.8575
"FW08IN018",5.53,0.544,386.5288
"FW08IN019",2.82,0.98646,27.96
"FW08IN020",4.17,0.80253,114.98
"FW08IN021",5.75,1.56277,98.4025
"FW08IN022",2.78,0.68011,173.1569
"FW08IN023",7.03,0.07914,185.3194
"FW08IN024",2.1,2.11381,112.8213
"FW08IN025",4.27,1.54003,53.9225
"FW08IN027",2.87,0,199.82
"FW08IN028",2.22,0.12116,43.2394
"FW08IN029",8.36,0.31135,39.2775
"FW08IN030",2.595,8.06423,218.03505
"FW08IN031",2.01,7.86484,21.3025
"FW08IN032",2.14,1.97,114.195
"FW08IN033",5.05,1.76928,126.1775
"FW08IN039",2.66,1.94823,77.5488
"FW08KS001",3.76,0.71185,218.1038
"FW08KS003",1.355,1.664825,59.50035
"FW08KS005",8.27,0.04569,387.3913
"FW08KS006",2.22,3.36978,138.0413
"FW08KS007",3.51,1.213265,544.25565
"FW08KS008",3.22,1.89711,284.53
"FW08KS009",2.56,2.60915,127.7738
"FW08KS010",8.97,0.41953,360.43005
"FW08KS011",3.64,2.4,1123.188
"FW08KS012",1.47,0.21067,36.69
"FW08KS015",3.26,0.58857,106.1413
"FW08KS016",4.19,0.01846,303.7688
"FW08KS017",15.35,0.02253,125.4375
"FW08KS018",2.34,0.04402,92.2663
"FW08KS019",8.03,0,15.8613
"FW08KS021",5.3,1.82607,254.8875
"FW08KS022",3.8,0.42652,308.225
"FW08KS023",4.38,1.56813,528.0363
"FW08KS024",2.49,0.59321,208.3138
"FW08KS025",5.01,0.0064,176.3925
"FW08KS028",2.69,0.35542,64.345
"FW08KS029",4.77,0.04383,103.8638
"FW08KS031",4.65,0.0261,103.3194
"FW08KS032",2.68,0.10826,231.5338
"FW08KS033",3.25,0.68561,169.1581
"FW08KS036",2.98,1.21562,32.6069
"FW08KS037",7.62,1.74948,822.425
"FW08KS038",1.84,1.03809,271.6356
"FW08KS039",2.02,0.05471,342.0175
"FW08KS040",3.64,1.10036,171.7125
"FW08KS042",1.91,0.58938,249.031
"FW08KS043",3.88,0,78.4888
"FW08KS044",7.02,0,115.0988
"FW08KS045",2.86,0.06863,29.5988
"FW08KS047",5.08,0.27065,110.8194
"FW08KS048",1.205,0.0841,46.1988
"FW08KS055",4.32,0,337.655
"FW08KS056",2.97,0.93222,64.4013
"FW08KS057",8.18,0,116.2363
"FW08KS058",6.43,0,257.075
"FW08KS059",3.98,0.36269,142.7669
"FW08KS060",4.12,0.37484,123.3506
"FW08KS061",3.96,1.44329,25.695
"FW08KS063",4.91,0.17895,92.0013
"FW08KY001",2.225,0.02579,12.98685
"FW08KY002",1.51,2.61064,63.1263
"FW08KY003",1.38,1.526,64.59
"FW08KY004",5.74,0.13557,200.5988
"FW08KY005",1.64,0.06937,16.2006
"FW08KY006",1.925,3.228415,41.715
"FW08KY007",2.99,0.07784,19.7063
"FW08KY008",1.45,0.12404,11.7538
"FW08KY009",1.63,0.01518,10.6475
"FW08KY011",3.42,0.21964,43.9331
"FW08KY012",1.9,0.66711,63.1056
"FW08KY013",2.885,0.88443,70.9372
"FW08KY014",2.41,0.31293,24.7456
"FW08KY016",2.92,0.93734,72.3063
"FW08KY017",2.89,0.47993,63.175
"FW08KY019",2.295,0.39456,37.88755
"FW08KY020",2.36,0.01313,30.0138
"FW08KY021",2.44,0.39779,36.5419
"FW08KY022",1.35,0.18988,40.78
"FW08KY023",1.91,0.23852,29.7381
"FW08KY024",1.35,1.76709,58.6731
"FW08KY025",1.38,0.0117,23.6825
"FW08KY026",2.12,0.36191,24.2406
"FW08KY029",2.49,0.47442,84.91
"FW08KY031",3.11,0.09226,78.9344
"FW08KY032",2.81,0.90343,45.035
"FW08KY033",2.63,0.12241,350.6875
"FW08KY034",2.51,0.36,80.5213
"FW08KY035",1.96,0.39101,25.2281
"FW08KY037",2.15,0.37,239.2588
"FW08KY039",1.59,0.01387,3.8075
"FW08KY040",1.51,1.64496,61.2313
"FW08KY041",1.96,0.24096,15.7863
"FW08KY042",2.37,1.04537,72.3281
"FW08KY050",2.25,0.92069,195.2213
"FW08KY056",2.1,0.08129,26.344
"FW08KY062",3.33,0.26979,161.6456
"FW08KY072",7.37,1.32158,244.8594
"FW08KY097",4.335810939,NA,240
"FW08KY209",3.790082964,NA,162
"FW08LA004",0.875,0.176825,52.9444
"FW08LA005",1.09,0.08169,38.6775
"FW08LA006",4.07,0.06789,56.31
"FW08LA009",6.76,0.01587,496.8113
"FW08LA011",3.85,0.049855,57.7697
"FW08LA013",5.4,0,61.4813
"FW08LA014",6.32,0.00043,191.6475
"FW08LA017",5.6,0.10724,176.5356
"FW08LA018",5.34,0.05359,80.6513
"FW08LA022",9.12,0.00054,58.1038
"FW08LA023",14.23,0.00102,260.3325
"FW08LA028",3.352596262,NA,225
"FW08LA029",5.38,0.01574,65.8263
"FW08LA030",5.81,0,40.455
"FW08LA032",5.99,0,134.5119
"FW08LA033",5.38,0.12744,136.8125
"FW08LA035",5.07,1.12961,233.7863
"FW08LA036",2.900532946,NA,211
"FW08LA037",5.25,0.03732,65.1513
"FW08LA039",3.055,0.05,134.2844
"FW08LA040",4.65,0.05124,68.9475
"FW08LA044",3.416609497,NA,206
"FW08LA045",7.09,0.06571,422.0131
"FW08LA049",6.29,0.00047,84.6581
"FW08LA050",11.97,0.19265,145.8494
"FW08LA051",2.844108068,NA,137
"FW08LA052",3.074180724,NA,147
"FW08LA059",7.35,0.54669,284.685
"FW08LA062",1.67,0.00411,20.0213
"FW08LA067",2.767230736,NA,134
"FW08LA068",3.28,0.94525,177.6713
"FW08LA070",2.815423198,NA,165
"FW08LA072",7.91,0.22691,196.8063
"FW08LA073",7.86,0,73.9463
"FW08LA079",13.41,0.00748,438.6944
"FW08LA088",3.565990295,NA,202
"FW08LA092",10.28,0.00172,307.1638
"FW08LA094",10.47,0.00099,121.9875
"FW08LA096",3.336377805,NA,160
"FW08LA097",12.18,0.11826,185.1081
"FW08LA099",12.44,0.00151,149.1331
"FW08LA100",3.458598786,NA,203
"FW08LA102",6.54,0.07806,130.8269
"FW08LA104",3.409940698,NA,130
"FW08LA108",4.368774238,NA,234
"FW08LA131",2.788091449,NA,149
"FW08LA134",3.174980724,NA,151
"FW08LA140",12.17,0.05359,980.175
"FW08LA151",2.882413846,NA,149
"FW08LA152",3.309246402,NA,189
"FW08LA160",6.01,0,202.38
"FW08LA164",1.8,0.0135,125.755
"FW08LA167",2.866756438,NA,13
"FW08LA173",6.83,0.03153,133.1088
"FW08LA180",3.27,0.93843,173.8375
"FW08LA182",2.863426181,NA,154
"FW08LA195",2.810522047,NA,128
"FW08LA198",2.937539668,NA,162
"FW08LA227",2.931407394,NA,151
"FW08LA228",2.752026052,NA,164
"FW08MA001",7.58,0.55014,130.89625
"FW08MA002",9.87,1.34496,79.8622
"FW08MA003",3.56,0.38818,65.0688
"FW08MA004",6.195,0.927015,40.88565
"FW08MA005",3.95,0.13843,20.5913
