"UniqueLakeName","Lat","Lon","DOC_Median","TN_Median","TP_Median","pH"
"L0125",-2.83305556,-79.34444444,0.0021,0.412,0.018,NA
"L0126",-2.82916667,-79.28944444,0.0029,0.497,0.025,NA
"L0127",-2.82583333,-79.25555556,0.0027,0.295,0.013,NA
"L0128",-2.81916667,-79.2575,0.005,0.217,0.005,NA
"L0129",-2.81888889,-79.29777778,0.0025,0.162,0.006,NA
"L0130",-2.80777778,-79.21333333,0.0021,0.301,0.01,NA
"L0131",-2.80166667,-79.26722222,0.002,0.252,0.005,NA
"L0132",-2.79916667,-79.25111111,0.0033,0.736,0.028,NA
"L0133",-2.79333333,-79.245,0.0029,0.375,0.019,NA
"L0134",-2.79333333,-79.20194444,0.0012,0.315,0.009,NA
"L0135",-2.78194444,-79.20888889,0.0055,0.402,0.013,NA
"L0136",-2.78055556,-79.22,0.006,0.373,0.009,NA
"L0138",-2.77916667,-79.23111111,0.0061,0.164,0.004,NA
"L0139",-2.77916667,-79.22472222,0.0057,0.407,0.01,NA
"L0140",-2.77138889,-79.23388889,0.0044,0.445,0.013,NA
"L0141",-2.77,-79.19916667,0.0066,0.52,0.014,NA
"L0143",-2.76555556,-79.23111111,0.0041,0.736,0.021,NA
"L0144",-2.75388889,-79.23194444,0.0069,0.72,0.025,NA
"L0149",-0.7558,33.4384,NA,NA,NA,NA
"L0152",-0.5746,30.9893,NA,NA,NA,NA
"L0154",0.0161,30.182,NA,NA,NA,NA
"L0155",0.517,30.3028,NA,NA,NA,NA
"L0157",0.701,30.2167,NA,NA,NA,NA
"L0158",1.25039,103.8137,NA,NA,0.02,NA
"L0159",1.4139,110.1511,NA,NA,0.044,NA
"L0161",1.668,30.95,NA,NA,NA,NA
"L0165",3.113,101.5833,NA,NA,0.453,NA
"L0166",3.2268,101.6491,NA,NA,0.0043,NA
"L0167",3.45,101.6833,NA,NA,0.043,NA
"L0169",3.5536,101.65,NA,NA,0.0305,NA
"L0173",5.545,-72.928,NA,1.5,0.06,NA
"L0175",6.2,81.05,NA,NA,0.4399,NA
"L0176",6.2,81.12,NA,NA,0.419,NA
"L0177",6.2333,81.1,NA,NA,0.5791,NA
"L0178",6.2333,81.12,NA,NA,0.5238,NA
"L0179",6.2667,81.03,NA,NA,0.4859,NA
"L0180",6.3,81.02,NA,NA,0.4747,NA
"L0181",6.3167,81.03,NA,NA,0.2199,NA
"L0182",6.3167,81.12,NA,NA,0.2079,NA
"L0183",6.3167,81.18,NA,NA,0.3002,NA
"L0185",6.3333,81.02,NA,NA,0.3673,NA
"L0186",6.3333,81.12,NA,NA,0.2482,NA
"L0187",6.35,81.15,NA,NA,0.4724,NA
"L0188",6.3667,80.8,NA,NA,0.1588,NA
"L0189",6.4167,81.05,NA,NA,0.1956,NA
"L0190",6.4167,81.08,NA,NA,0.2901,NA
"L0191",6.4333,81.3,NA,NA,0.168,NA
"L0192",6.4333,81.32,NA,NA,0.4023,NA
"L0193",6.45,81.07,NA,NA,0.3194,NA
"L0194",6.505,-1.4083,NA,NA,NA,NA
"L0195",6.55,81.07,NA,NA,0.2171,NA
"L0196",6.55,81.12,NA,NA,0.2629,NA
"L0197",6.6833,81.1,NA,NA,0.1066,NA
"L0199",6.7333,81.13,NA,NA,0.168,NA
"L0200",6.77010478,79.90475505,NA,NA,NA,NA
"L0206",7.6,80.05,NA,NA,0.1797,NA
"L0207",7.6167,80.17,NA,NA,0.1861,NA
"L0208",7.7,80.13,NA,NA,0.172,NA
"L0209",7.8,80.27,NA,NA,0.2321,NA
"L0210",7.8167,80.42,NA,NA,0.2072,NA
"L0211",7.8333,80.4,NA,NA,0.1263,NA
"L0212",7.85,80.4,NA,NA,0.138,NA
"L0214",7.8833,80.52,NA,NA,0.4848,NA
"L0215",7.9,80.6,NA,NA,0.4898,NA
"L0216",7.9667,80.68,NA,NA,0.3273,NA
"L0217",8.0333,80.3,NA,NA,0.3894,NA
"L0218",8.0833,80.17,NA,NA,0.1647,NA
"L0219",8.15,80.52,NA,NA,0.2038,NA
"L0220",8.1667,80.52,NA,NA,0.1648,NA
"L0221",8.1667,80.55,NA,NA,0.203,NA
"L0222",8.1833,80.58,NA,NA,0.2799,NA
"L0223",8.2333,80.38,NA,NA,0.27,NA
"L0224",8.2833,80.35,NA,NA,0.3449,NA
"L0225",8.35,80.37,NA,NA,0.2108,NA
"L0226",8.5206,76.8857312,NA,NA,NA,6.4
"L0227",8.694,39.003,NA,NA,NA,9.385
"L0229",10.88333333,7.7,NA,NA,1.09,7.84
"L0230",11.13333333,7.71666667,NA,NA,0.575,7.81
"L0232",11.2,7.6,NA,NA,0.905,7.22
"L0233",11.2,7.63333333,NA,NA,0.76,7.75
"L0234",11.93800515,-85.90056075,NA,0.8647,0.068,NA
"L0235",12.0266,37.3035,NA,2.1,0.11,8
"L0241",14.6972714285714,-91.2087142857143,NA,0.2549,0.035,NA
"L0245",18.086925,-66.578098,NA,NA,NA,NA
"L0246",18.4,-95.13333333,NA,NA,0.37,7.41
"L0248",18.51666667,-95.38333333,NA,NA,0.57,9.14
"L0249",18.55,-95.35,NA,NA,0.72,8.25
"L0250",18.6,-95.333,NA,NA,0.79,8.87
"L0251",18.65,-95.3,NA,NA,0.35,7.09
"L0252",18.65,-95.23333333,NA,NA,0.47,7.44
"L0254",19.2846,-99.102,NA,1.92,1.8,7.84
"L0255",19.318036,-99.172625,NA,NA,NA,7.9
"L0257",19.622,-101.256,NA,NA,NA,NA
"L0261",21.490902335,-158.0340457,NA,0.295,0.0452,NA
"L0264",22.8135,108.3484,NA,8.259,0.346,NA
"L0265",23.1317694,113.3443333,NA,3.3,0.1757,NA
"L0266",23.1516,113.2793,NA,0.641,0.031,NA
"L0267",23.5805,103.3037,NA,6.073,0.205,NA
"L0268",23.674094,102.569463,NA,5.66,0.14,8.7
"L0269",23.983333,117.55,NA,4.6571,0.011,7.81
"L0270",24.016666,32.8833333,NA,NA,NA,7.58
"L0271",24.0666666,117.2833333,NA,6.4936,0.0323,9.26
"L0272",24.15,102.783333,NA,3.52,0.065,9.45
"L0273",24.15,117.75,NA,4.7486,0.1595,7.5
"L0274",24.2666666,117.8666666,NA,4.8112,0.0209,8.27
"L0275",24.341853,102.787838,NA,2.265,0.4,9.27
"L0277",24.5,118.1666667,NA,1.08,0.0139,9.27
"L0278",24.602049,102.870873,NA,0.175,0.01,8.56
"L0279",24.66666666,118.0166666,NA,6.0665,0.0235,9.09
"L0280",24.7837644966667,102.661050166667,NA,0.1245,0.16,8.585
"L0281",24.7,118,NA,5.5037,0.0243,8.46
"L0282",24.76666666,118.35,NA,8.4018,0.2089,9.01
"L0283",24.8,118.1333333,NA,5.5623,0.0182,7.89
"L0284",24.85,118.4333333,NA,9.5917,0.1016,7.68
"L0285",24.9,118.35,NA,5.0173,0.1697,7.67
"L0286",24.909444,103.004444,NA,0.51,0.035,8.24
"L0287",25.807311,100.192791,NA,0.565,0.02,8.68
"L0290",26.4922222,106.4125,NA,1.4,0.029,8.1
"L0291",26.53765458,106.40433045,NA,1.6,0.0255,8.1
"L0292",26.53512274,106.6484712,NA,2.615,0.0475,8.05
"L0293",26.5452778,106.4244444,NA,1.44,0.026,8.1
"L0294",26.557095,100.675287,NA,0.58,0.025,9.39
"L0296",26.6319444,106.4991667,NA,1.86,0.03,8.2
"L0297",26.6522222,106.5338889,NA,1.94,0.026,8
"L0298",26.6765278,106.54777775,NA,2.245,0.0255,8.2
"L0299",26.8944686969697,-80.7773251818182,0.01326,NA,0.1,8.5
"L0301",27.377646,-81.287628,NA,NA,NA,NA
"L0302",27.3884,119.4984,NA,0.9,0.05,NA
"L0303",27.4841,120.2848,NA,0.536,0.048,NA
"L0304",27.725645,100.789125,NA,0.135,0.01,8.41
"L0305",27.74199,-81.49933,0.00566,NA,NA,8.4
"L0306",27.819759,-81.415883,NA,NA,NA,NA
"L0308",27.84729,-82.77867,0.01541,NA,NA,8.8
"L0309",27.919535,-81.276553,NA,NA,NA,NA
"L0310",27.94019,-81.65127,0.01215,NA,NA,6.4
"L0311",27.9839,-81.702495,NA,NA,0.19,9.9
"L0312",28.02626,-81.90969,0.00963,NA,NA,8.7
"L0314",28.04774,-97.85987,0.005935,NA,NA,8.4
"L0315",28.06127,-82.27729,0.01415,NA,NA,9.4
"L0316",28.0921,-81.70713,0.01423,NA,NA,8.9
"L0317",28.1083009411765,-82.7186395882353,0.01072,NA,0.08,6.7
"L0318",28.1121,112.4951,NA,3.9,0.14,NA
"L0319",28.16664,-81.83272,0.00513,NA,NA,6.9
"L0320",28.201245,-81.391054,NA,NA,NA,NA
"L0321",28.219013,-81.203569,NA,NA,NA,NA
"L0322",28.3232,-81.22725,0.00455,NA,NA,6.7
"L0323",28.50312,-98.38997,0.00595,NA,NA,NA
"L0324",28.5141,116.3646,NA,0.61,0.033,NA
"L0325",28.5324253,76.5517132,NA,5.03,NA,NA
"L0326",28.56369,-81.43795,0.01248,NA,NA,8.4
"L0329",28.5734085,-81.76993,0.01964,NA,NA,5.8
"L0330",28.62097,-81.62199,0.02511,NA,NA,8.9
"L0331",28.57556,-100.1251,0.00813,NA,NA,8.4
"L0333",28.63214,-81.35534,0.00816,NA,NA,8.2
"L0334",28.63736,-81.1376,0.01534,NA,NA,6.15
"L0335",28.784073,-81.800147,NA,NA,NA,NA
"L0336",28.790415,-81.704013,NA,NA,NA,NA
"L0337",28.8253,-81.83672,0.01781,NA,NA,8.7
"L0338",28.83934,-81.27047,0.01172,NA,NA,8.3
"L0339",28.859884,-81.949154,NA,NA,NA,NA
"L0340",28.86654,-81.68246,0.01581,NA,NA,7.5
"L0341",28.906153,-82.123482,NA,NA,NA,NA
"L0342",28.91617,-81.73899,0.0148,NA,NA,8.6
"L0344",29.109647475,116.295080475,0.00248,1.49,0.09,7.85
"L0346",29.09294,-97.08741,0.00655,NA,NA,7.5
"L0349",29.17488,-100.6327,0.00487,NA,NA,7.9
"L0350",29.1979,112.7402,NA,1.091,0.1145,7.83
"L0351",29.20566,-95.35918,0.00626,NA,NA,8.7
"L0352",29.2591766666667,-98.3758733333333,0.01,NA,0.4685,9.2
"L0354",29.4680125,-81.5003055,0.01131,NA,NA,8.3
"L0355",29.459979,-82.173143,NA,NA,NA,NA
"L0356",29.49147,-101.1563,0.00293,NA,NA,8.4
"L0357",29.515674,-82.127354,NA,NA,NA,NA
"L0358",29.5530941,118.9353968,NA,1.04,0.025,NA
"L0360",29.739041,-82.076831,NA,NA,NA,NA
"L0362",29.85467,-95.16668,NA,NA,0.1,7.1
"L0364",29.927098,-82.187819,NA,NA,NA,NA
"L0365",29.9725,116.1384,NA,0.615,0.042,NA
"L0366",30.0079,-97.82233,0.00824,NA,NA,7.9
"L0370",30.223,114.197,NA,1.28,0.0803,8.24
"L0371",30.2731666666667,114.492555566667,NA,0.25,0.02,8.555
"L0372",30.24052,-96.81149,0.01364,NA,NA,7
"L0374",30.29009,-96.59781,0.00849,NA,NA,7.9
"L0375",30.42130345,-91.16577925,NA,NA,0.44,8.6
"L0376",30.414833,-91.1731929,NA,NA,NA,NA
"L0377",30.43252,-84.5445,0.00702,NA,NA,8.8
"L0378",31.51366941,117.562242596296,NA,2.517,0.436,8.18
"L0379",30.4264,114.238,NA,2.514,0.293,NA
"L0380",30.47159,-88.61259,0.00507,NA,NA,7.31
"L0381",30.48766667,114.384,NA,8.17,0.73,8.21
"L0382",30.55733333,114.4023333,NA,0.74,0.023,8.3
"L0383",30.5078,114.1048,NA,2.038,0.059,NA
"L0385",30.5328,114.2995,NA,1.032,0.048,NA
"L0386",30.53714,-92.4431,0.00588,NA,NA,7.1
"L0387",30.54233333,114.3503333,NA,1.36,0.23,8.49
"L0388",30.5449,114.219,NA,6.848,1.05,NA
"L0390",30.6409,114.6111,NA,0.633,0.046,NA
"L0391",30.6483,114.6973,NA,0.717,0.049,NA
"L0392",30.65,111.516,NA,NA,NA,NA
"L0393",30.666261,90.635117,NA,NA,NA,NA
"L0394",30.75107,-93.1114,0.00676,NA,NA,6.52
"L0396",30.75593,-98.68391,0.00236,NA,NA,8.4
"L0398",30.9856369533333,109.7580439,NA,NA,NA,NA
"L0400",30.83484,-93.43655,0.00932,NA,NA,NA
"L0401",30.85368,-95.34226,0.00677,NA,NA,8.6
"L0402",31.2510422972619,120.089988853571,0.00447,2.12,0.154,8.41
"L0404",30.96113,-83.65566,0.0095,NA,NA,7.23
"L0408",31.017,115.9533,NA,0.918,0.04,NA
"L0409",31.018497,109.463989,NA,3.4049,0.1805,NA
"L0410",31.05988,-81.41309,0.00478,NA,NA,8.17
"L0412",31.10387,-92.47015,0.00477,NA,NA,6.39
"L0413",31.11223335,120.97148335,0.00772,4.7565,0.351,8.54
"L0416",31.14849,-97.74533,0.00429,NA,NA,8.25
"L0417",31.16378,-83.5419,0.01056,NA,NA,8.7
"L0418",31.18087431,108.4634846,NA,NA,NA,NA
"L0419",31.1936,-94.30727,0.00514,NA,NA,7.1
"L0420",31.19633,-89.30336,0.00421,NA,NA,7.36
"L0421",31.20627,-91.5469,0.01418,NA,NA,9.72
"L0422",31.26784,-86.94776,0.00593,NA,NA,8.6
"L0424",31.29345,-92.74143,0.00575,NA,NA,7.7
"L0425",31.30046,-89.43473,0.00314,NA,NA,7.6
"L0427",31.37317,-92.74402,0.0065,NA,NA,6.87
"L0428",31.40138,-111.087,0.01024,NA,NA,8.6
"L0429",31.421938,120.355347,NA,1.2,0.0519,NA
"L0430",31.4311,120.8132,NA,2.452,0.094,NA
"L0431",31.44842,-86.43728,0.00449,NA,NA,7.1
"L0433",31.4822,118.8815,NA,0.536,0.089,NA
"L0439",31.5878,119.8113,NA,7.882,0.384,NA
"L0440",31.5883,119.8114,NA,3.197,0.218,NA
"L0442",31.66684,-91.50917,0.008045,NA,NA,8.36
"L0443",31.70974,-91.37125,0.00348,NA,NA,8.14
"L0445",31.77845,-99.4868,0.00657,NA,NA,8.1
"L0447",31.82397,-96.04333,NA,NA,0.082,8.8
"L0449",31.89214,-90.60094,0.00729,NA,NA,6.77
"L0453",31.95537,-91.22047,0.00443,NA,NA,7.77
"L0454",32.02986,-97.62567,0.00654,NA,NA,8
"L0455",32.0373,-99.51439,0.00475,NA,NA,8.4
"L0456",32.02071,-94.42549,NA,NA,0.062,7.65
"L0459",32.07004,-84.297,0.00316,NA,NA,6.55
"L0462",32.08989,-95.89426,0.01541,NA,NA,6.8
"L0463",32.09046,-93.48976,0.00704,NA,NA,7.4
"L0465",32.1166,-96.14918,0.00761,NA,NA,7.7
"L0466",32.12205,-95.48843,0.009025,NA,NA,8
"L0469",32.1911926,35.8191331,NA,NA,NA,NA
"L0471",32.23706,-101.3182,0.00574,NA,NA,8.4
"L0472",32.23766,-98.40515,0.00926,NA,NA,9.9
"L0473",32.25404,-95.80077,0.01233,NA,NA,6.2
"L0476",32.35269,-86.49043,0.00255,NA,NA,7.9
"L0477",32.40169,-93.387,0.01345,NA,NA,NA
"L0478",32.37834,-82.06485,0.01067,NA,NA,6.45
"L0481",32.44658,-99.01292,NA,NA,NA,8
"L0482",32.45275,-96.06121,0.00937,NA,NA,7.6
"L0484",32.47737,-81.83069,0.01305,NA,NA,7.03
"L0485",32.48419,-83.65078,0.00293,NA,NA,5.68
"L0486",32.49,111.49,NA,NA,0.0257,NA
"L0488",32.51233,-87.85257,0.00239,NA,NA,7.4
"L0489",32.515661,-93.8749723333333,0.009335,NA,0.05,7.2
"L0491",32.58957,-99.68353,0.00514,NA,0.095,8.4
"L0493",32.585255,-101.16555,NA,NA,0.048,8.4
"L0494",32.59301,-98.31569,0.01266,NA,NA,7.7
"L0495",32.60301,-84.81808,0.004055,NA,NA,7.275
"L0496",32.6274333,120.0954139,NA,1.3,0.0663,NA
"L0499",32.67018,-94.0772,0.01169,NA,NA,8.2
"L0500",32.71216,-91.70158,0.00722,NA,NA,7.1
"L0501",32.7146,-92.44502,0.01118,NA,NA,6.86
"L0502",32.7163,35.56855,NA,NA,NA,NA
"L0503",32.737583,-85.833231,NA,NA,NA,NA
"L0505",32.75599,-86.38311,0.00312,NA,NA,9
"L0506",32.7839675,-94.58974,0.00954,NA,0.01,7.6
"L0509",32.83666,-96.71956,0.00343,NA,NA,8.05
"L0510",32.83,119.33,NA,0.74,0.08,7.81
"L0515",32.9458,-96.453615,0.00664,NA,0.011,8.25
"L0516",33.00711,-107.2748,0.003645,NA,NA,8.1
"L0518",33.03606,-79.98379,0.01391,NA,NA,NA
"L0519",33.0448525,-96.4887,0.00511,NA,NA,8.2
"L0520",33.06586,-96.98715,0.00533,NA,NA,8.7
"L0522",33.07333,-115.5092,0.01272,NA,NA,7.9
"L0525",33.1035733333333,-97.0084833333333,NA,NA,NA,8.6
"L0526",33.0978,-86.48006,0.00404,NA,NA,8
"L0527",33.14558,-90.35508,0.01074,NA,NA,7.03
"L0528",33.15857,-107.2214,0.00369,NA,NA,7.9
"L0531",33.24145,-116.7467,0.01557,NA,NA,8.6
"L0535",33.28828,-87.14105,0.00232,NA,NA,7.4
"L0536",33.291341075,118.7189368,NA,1.67,0.13,9.005
"L0537",33.29231,-84.47502,0.00746,NA,NA,8.78
"L0538",33.29944,-81.89268,0.01285,NA,NA,6.43
"L0540",33.32111,-85.81491,0.0013,NA,NA,7.3
"L0542",33.3667,43.35,NA,NA,NA,8.005
"L0544",33.37648,-111.9196,0.00405,NA,NA,8.6
"L0546",33.39339,-114.7186,0.00727,NA,NA,8.19
"L0547",33.403965,-99.3844175,0.00605,NA,0.087,8.35
"L0548",33.45374,-87.35442,0.00252,NA,NA,8
"L0550",33.4765566666667,-86.6340633333333,0.00278,NA,0.07,8.5
"L0551",33.49585,-96.95937,0.00609,NA,NA,7.6
"L0554",33.55658,-111.5104,0.00524,NA,NA,8.7
"L0555",33.55681,-86.14385,0.0029,NA,NA,8.7
"L0557",33.55541,-97.01498,NA,NA,0.083,8.8
"L0558",33.57,35.69,NA,NA,0,7.6
"L0560",33.58147,-111.2821,0.00384,NA,NA,8.5
"L0561",33.58413,-84.20753,0.00322,NA,NA,7.48
"L0563",33.6693,-97.58547,0.00436,NA,NA,7.3
"L0565",33.72025,-94.00429,0.0052,NA,NA,8
"L0566",33.73044,-96.7758,0.00668,NA,NA,8.1
"L0567",33.73939,-99.232,0.00466,NA,NA,8.2
"L0568",33.74733,-117.4402,0.00596,NA,NA,7.7
"L0573",33.84097,-81.67207,0.00583,NA,NA,6.3
"L0574",33.84157,-97.25083,0.00821,NA,NA,7.9
"L0576",33.83653,-95.6393,NA,NA,0.069,8.3
"L0577",33.85862,-90.5421,0.00691,NA,NA,7.87
"L0579",33.88536,-94.93952,0.00625,NA,NA,7.34
"L0580",33.8962029,-96.6484426,NA,NA,NA,NA
"L0582",33.98048,-98.70993,0.00882,NA,NA,7.7
"L0585",34.00633,-87.3161,0.00171,NA,NA,6.7
"L0587",34.03321,-109.4367,0.00403,NA,NA,7.6
"L0588",34.12004,-91.56105,0.00536,NA,NA,8.35
"L0589",34.13761,-84.64324,0.00191,NA,NA,8.36
"L0590",34.14749,-85.79186,0.00313,NA,NA,8.6
"L0591",34.15365,-109.3064,0.011,NA,NA,9.2
"L0592",34.16579,-89.91162,0.00372,NA,NA,NA
"L0593",34.1775,-85.6287141,NA,0.46,0.102,NA
"L0594",34.18075,-110.0008,0.0074,NA,NA,8.4
"L0595",34.2382296226415,-94.2188711320755,0.00251,NA,0.03,7.1
"L0596",34.22691,-86.84234,0.00366,NA,NA,8.6
"L0598",34.2435636666667,-6.67270933333333,NA,NA,NA,8
"L0599",34.24558,-113.5794,0.006305,NA,NA,8.2
"L0600",34.25648,-117.1854,0.00318,NA,NA,7.7
"L0601",34.27511,-110.0619,0.00872,NA,NA,8.5
"L0602",34.2848325,-97.169255,0.00458,NA,0.03,7.33
"L0604",34.32056,-80.62827,0.00581,NA,NA,NA
"L0606",34.36024,-109.3628,0.00617,NA,NA,8.52
"L0607",34.367275,-97.2844325,0.00229,NA,0.06,7.25
"L0608",34.375365,-98.3350725,0.00637,NA,0.1,7.48
"L0609",34.47617,-89.66898,0.00289,NA,NA,7.34
"L0610",34.42023,-111.0897,0.00693,NA,NA,8.4
"L0611",34.44592,-93.11174,0.00335,NA,NA,7.3
"L0612",34.45198,-92.93825,0.00312,NA,NA,7.5
"L0613",34.45201,-84.28783,0.00193,NA,NA,7.1
"L0614",34.4899533333333,-96.98474,0.005,NA,0.02,8.24
"L0616",34.51375,-98.8853875,0.0059,NA,0.03,8.52
"L0617",34.5215125,-97.8116225,0.00575,NA,0.03,8.03
"L0618",34.5242,-96.50308,0.00857,NA,NA,7.73
"L0619",34.53937,-92.27375,0.01186,NA,NA,6.1
"L0620",34.53808,-111.2045,0.00497,NA,NA,8.3
"L0622",34.55064,-118.1208,0.00323,NA,NA,8.08
"L0623",34.56755,-96.87938,0.00817,NA,NA,NA
"L0624",34.5708233333333,-96.2337133333333,0.00957,NA,0.105,7.42
"L0625",34.5792366,117.2440957,NA,NA,NA,NA
"L0626",34.58721,-112.4185,0.01017,NA,NA,9.4
"L0627",34.58938,-96.60528,0.00751,NA,NA,8.17
"L0628",34.5988725,-97.67349,0.00535,NA,0.025,NA
"L0630",34.60518,-112.4389,0.01775,NA,NA,10.2
"L0631",34.62968,-97.08994,0.01047,NA,NA,8.75
"L0635",34.72,32.99,NA,0.6,0.19,NA
"L0636",34.72092,-90.0717,0.00388,NA,NA,7.29
"L0637",34.7223,-83.11205,0.00208,NA,NA,7.1
"L0638",34.72903,-97.77308,0.00572,NA,NA,7.82
"L0639",34.73429,-99.69531,0.01225,NA,NA,9.81
"L0640",34.73955556,32.55866667,NA,0.5,0.25,NA
