"SITE_ID","DOC_Median","NO3_Median","TP_Median"
"NRS18_CO_11124",1.76,0.3287,82.918
"NRS18_CO_11274",4.98,0.0021,39.968
"NRS18_CO_11276",1.97,0.0012,144.805
"NRS18_CO_11278",8.43,0.0123,45.676
"NRS18_CO_11423",5.03,3.5891,483.225
"NRS18_CO_11424",3.28,2.2885,209.275
"NRS18_CO_11425",3.78,2.2541,330.281
"NRS18_CO_11725",3.25,1.1304,136.963
"NRS18_CO_RF001",1.14,0.0388,11.418
"NRS18_CO_RF002",0.86,0.0989,6.966
"NRS18_CO_RF003",0.91,0.0429,6.151
"NRS18_CO_RF004",0.46,0.165,10.866
"NRS18_CO_RF005",0.96,0.0193,4.449
"NRS18_CO_RF006",0.84,0.1595,9.008
"NRS18_CO_RF007",0.85,0.2908,8.648
"NRS18_CO_RF011",1.51,0.0016,5.585
"NRS18_CO_RF015",1.5,0.0261,8.589
"NRS18_CO_RF016",2.24,0.1008,9.304
"NRS18_CO_RF017",2.16,0.0268,5.079
"NRS18_CO_RF018",0.56,0.0435,4.228
"NRS18_CO_RF019",1.65,0.0044,7.284
"NRS18_CO_RF020",1.36,0.002,3.191
"NRS18_CT_10001",1.34,0.2494,11.731
"NRS18_CT_10002",4.715,0.3432,61.5745
"NRS18_CT_10003",5.63,0.8119,65.578
"NRS18_CT_10004",5.39,0.2902,35.298
"NRS18_CT_10005",2.9,0.3573,60.598
"NRS18_CT_10006",7.06,0.1894,33.6235
"NRS18_CT_10007",2.65,0.36215,76.4915
"NRS18_CT_10008",4.22,0.7649,67.216
"NRS18_CT_10009",3.64,0.598,62.29
"NRS18_CT_10010",2.83,0.1145,18.585
"NRS18_CT_10011",2.95,0.326,62.084
"NRS18_CT_10017",5.99,0.9904,37.32
"NRS18_CT_10018",2.51,0.213,23.805
"NRS18_CT_10019",2.99,0.3944,37.523
"NRS18_CT_10020",2.56,0.247,75.296
"NRS18_CT_10030",2.04,0.2466,11.124
"NRS18_CT_10031",1.14,0.5822,25.176
"NRS18_CT_10032",2.36,1.0541,46.706
"NRS18_CT_10036",1.59,1.2974,54.68
"NRS18_CT_10037",4.66,0.1922,14.685
"NRS18_DE_10002",5.575,1.6563,187.5095
"NRS18_DE_10003",4.81,1.359,224.325
"NRS18_DE_10004",1.83,2.9262,79.063
"NRS18_DE_10005",2.97,1.30155,42.6425
"NRS18_DE_10006",2.39,3.7852,36.3285
"NRS18_DE_10007",1.51,1.0552,17.278
"NRS18_DE_10008",2.9,1.3499,79.371
"NRS18_DE_10009",4.24,0.4738,119.645
"NRS18_DE_10010",2.85,1.3435,71.019
"NRS18_DE_10012",3.71,3.6569,141.701
"NRS18_DE_10014",2.09,5.3776,70.315
