"SITE_ID","Lat","Lon","DOC_Median","TN_Median","TP_Median"
"NLA06608-0280",32.0898949,-95.8942635,15.41,1229,81
"NLA06608-0281",35.4945748,-80.5755984,5.36,639,44
"NLA06608-0283",32.512331,-87.8525746,2.39,381,33
"NLA06608-0284",34.9138437,-98.7302798,4.37,865,79
"NLA06608-0285",38.5594875,-75.5622731,3.67,4222,138
"NLA06608-0286",46.1522509,-88.8297036,4.46,413,5
"NLA06608-0290",42.1956515,-120.5256858,5.74,752,403.5
"NLA06608-0291",43.8138206,-88.9978482,4.33,553,13
"NLA06608-0293",41.3842605,-73.5031636,4.31,759,30
"NLA06608-0294",44.9522307,-72.1151732,2.33,343,1
"NLA06608-0295",45.1874723,-97.6317641,17.18,2026,242
"NLA06608-0297",33.8409705,-81.6720716,5.83,587,31
"NLA06608-0299",41.4566006,-85.2449775,8.07,915,18
"NLA06608-0302",45.9170388,-97.0242615,38.4,6934,1871
"NLA06608-0303",41.0880567,-82.7283796,6.45,1523,79
"NLA06608-0306",43.4178827,-119.4133477,9.64,1525,271
"NLA06608-0312",38.8171746,-95.5463905,5.83,355,35
"NLA06608-0313",34.8860267,-79.6893777,5.03,279,24
"NLA06608-0318",47.4614856,-92.4346949,8.57,847,43
"NLA06608-0319",34.7222982,-83.1120486,2.08,251,16
"NLA06608-0324",36.944209,-82.2027152,2.72,248,21
"NLA06608-0325",28.5636945,-81.4379489,12.48,814,50
"NLA06608-0326",41.3571949,-72.0401264,3.38,225,5
"NLA06608-0327",31.7097369,-91.3712494,3.48,281,13
"NLA06608-0328",32.515555,-93.8702343,9.305,1085.5,77.5
"NLA06608-0330",45.0629159,-83.4569855,4.37,289,13
"NLA06608-0332",35.6405438,-94.9696952,2.16,260,11
"NLA06608-0333",40.6280332,-74.8505684,3.03,282,15
"NLA06608-0334",48.3140559,-100.758717,17.18,1834,142
"NLA06608-0337",48.3938239,-122.6562431,14.08,586,23
