"SITE_ID","Lat","Lon","DOC_Median","TN_Median","TP_Median","TNtoTP_Median"
"NVS9-0926",41.8773,-115.6285,1.485,177,64,2.870027181
"NVSS-1104",41.95777,-115.8638,2.48,590,266,2.218045113
"NYLS-1115",41.29257,-74.47551,3.65,750,127,5.905511811
"NYLS-1116",43.73873,-74.9586,4.5,303,18,16.83333333
"NYLS-1117",42.61359,-74.08873,3.8,280,33,8.484848485
"NYLS-1118",42.97868,-77.5953,3.26,703,75,9.373333333
"NYLS-1119",44.87431,-74.14309,3.83,443,29,15.27586207
"NYLS-1120",42.97827,-74.82221,3.18,680,103,6.601941748
"NYLS-1121",42.79641,-75.86431,1.79,1389,26,53.42307692
"NYLS-1122",42.54145,-76.30084,2.97,1719,24,71.625
"NYLS-1123",44.50581,-75.04351,5.68,616,105,5.866666667
"NYLS-1124",43.66568,-75.29471,8.66,489,36,13.58333333
"NYLS-1125",42.19853,-77.4111,2.7,723,59,12.25423729
"NYR9-0901",42.42297,-75.63217,3.09,1045,67,16.25572344
"NYR9-0902",42.14603,-77.05409,2.475,455.5,43.5,12.475210083
"NYR9-0903",42.82852,-73.98933,2.44,733,35,20.94285714
"NYR9-0904",42.16144,-75.85678,3.42,785,67,11.71641791
"NYR9-0905",43.24866,-73.74077,3.4,293,13.5,21.7037037
"NYR9-0906",44.25928,-75.76743,8.46,605,71,8.521126761
"NYR9-0907",42.47413,-73.78702,3.95,885,107,8.271028037
"NYR9-0908",42.08065,-78.42363,3.04,673,74,9.094594595
"NYR9-0909",42.06591,-78.46922,2.13,346,43,8.046511628
"NYR9-0910",43.13767,-76.29551,3.66,789,61,12.93442623
"NYR9-0911",42.02896,-76.39831,3.02,816,66,12.36363636
"NYR9-0912",42.93558,-74.19445,3.3,961,69,13.92753623
"NYR9-0913",42.34775,-75.69644,2.82,809,47,17.21276596
"NYR9-0914",43.25553,-73.5864,4.78,404,23,17.56521739
"NYR9-0915",42.85984,-77.84331,2.14,691,53,13.03773585
"NYR9-0916",42.05576,-73.93195,3.86,563,35,16.08571429
