SITE_ID,DOC_Median,TN_Median,NO3_Median,TP_Median,TNtoTP_Median,NO3toTP_Median,TPtoTN
WORP99-0515,0.51,53,0,31,1.709677419,0,0.58490566
WORP99-0518,2.01,166,5.7,76,2.184210526,0.075,0.457831325
WORP99-0520,1.47,228,11.4,9,25.33333333,1.266666667,0.039473684
WORP99-0522,1.34,211,5,25,8.44,0.2,0.118483412
WORP99-0523,1.74,520,22.1,88,5.909090909,0.251136364,0.169230769
WORP99-0528,1.74,85,2.1,48,1.770833333,0.04375,0.564705882
WORP99-0529,1.16,250,2.9,26,9.615384615,0.111538462,0.104
WORP99-0530,0.64,25,0,34,0.735294118,0,1.359999999
WORP99-0538,1.5,105,2.1,5,21,0.42,0.047619048
WORP99-0541,1.24,78,0,9,8.666666667,0,0.115384615
WORP99-0542,3.54,348,0,53,6.566037736,0,0.152298851
WORP99-0547,1.52,125,0,22,5.681818182,0,0.176
WORP99-0548,2.11,141,2.1,5,28.2,0.42,0.035460993
WORP99-0551,0.75,74,0,4,18.5,0,0.054054054
WORP99-0554,1.25,76,2.1,10,7.6,0.21,0.131578947
WORP99-0559,0.77,39,0,37,1.054054054,0,0.948717949
WORP99-0560,2.29,424,0,37,11.45945946,0,0.087264151
WORP99-0605,0.62,63,2.9,6,10.5,0.483333333,0.095238095
WORP99-0606,2.78,339,2.1,100,3.39,0.021,0.294985251
WORP99-0607,0.45,35,0,39,0.897435897,0,1.114285715
WORP99-0608,0.78,46,0,35,1.314285714,0,0.760869565
WORP99-0613,1.65,164,2.9,63,2.603174603,0.046031746,0.384146341
WORP99-0622,0.81,79,0,17,4.647058824,0,0.215189873
WORP99-0625,1.62,191,2.9,13,14.69230769,0.223076923,0.068062827
WORP99-0626,1.85,156,0,22,7.090909091,0,0.141025641
WORP99-0630,2.45,260,0,7,37.14285714,0,0.026923077
WORP99-0657,0.85,55,2.1,3,18.33333333,0.7,0.054545455
WORP99-0659,1.4,120,5,23,5.217391304,0.217391304,0.191666667
WORP99-0661,1.68,535,17.1,6,89.16666667,2.85,0.011214953
WORP99-0662,4.87,1096,17.1,227,4.828193833,0.075330396,0.207116788
WORP99-0665,2.33,133,0,153,0.869281046,0,1.15037594
WORP99-0666,2.47,275,5.7,25,11,0.228,0.090909091
WORP99-0667,1.79,314,4.3,7,44.85714286,0.614285714,0.022292994
WORP99-0677,0.64,55,0,5,11,0,0.090909091
WORP99-0685,2.91,259,0,58,4.465517241,0,0.223938224
WORP99-0691,1.59,115,3.6,16,7.1875,0.225,0.139130435
WORP99-0692,2.22,140,3.6,72,1.944444444,0.05,0.514285714
WORP99-0698,0.95,45,0,3,15,0,0.066666667
WORP99-0701,0.78,66,0,7,9.428571429,0,0.106060606
WORP99-0704,2.19,95,1.4,29,3.275862069,0.048275862,0.305263158
WORP99-0710,0.72,193,9.3,7,27.57142857,1.328571429,0.03626943
WORP99-0721,1.63,41,0,11,3.727272727,0,0.268292683
WORP99-0724,1.64,134,0,11,12.18181818,0,0.082089552
WORP99-0728,3.83,459,1.4,73,6.287671233,0.019178082,0.159041394
WORP99-0734,1.86,68,0,9,7.555555556,0,0.132352941
WORP99-0735,1.97,645,35.7,18,35.83333333,1.983333333,0.027906977
WORP99-0739,0.87,744,50,9,82.66666667,5.555555556,0.012096774
WORP99-0740,2.47,156,0,14,11.14285714,0,0.08974359
WORP99-0745,1.81,219,4.3,75,2.92,0.057333333,0.342465753
WORP99-0748,2.93,346,13.6,32,10.8125,0.425,0.092485549
WORP99-0762,1.59,133,0,12,11.08333333,0,0.090225564
WORP99-0768,1.42,134,0,19,7.052631579,0,0.141791045
WORP99-0769,1.81,76,0,22,3.454545455,0,0.289473684
WORP99-0775,4.19,190,0,39,4.871794872,0,0.205263158
WORP99-0780,2.3,250,2.1,18,13.88888889,0.116666667,0.072
WORP99-0787,1.52,155,7.1,7,22.14285714,1.014285714,0.04516129
WORP99-0792,1.2,166,0,52,3.192307692,0,0.313253012
WORP99-0794,1.48,174,0,26,6.692307692,0,0.149425287
WORP99-0800,1.61,135,2.1,4,33.75,0.525,0.02962963
WORP99-0803,0.97,35,0,10,3.5,0,0.285714286
WORP99-0806,1.49,124,0,5,24.8,0,0.040322581
WORP99-0813,0.72,259,15,18,14.38888889,0.833333333,0.069498069
WORP99-0815,2.17,292,0,20,14.6,0,0.068493151
WORP99-0819,0.87,219,1.4,9,24.33333333,0.155555556,0.04109589
WORP99-0821,0.64,67,3.6,6,11.16666667,0.6,0.089552239
WORP99-0823,1.38,527,26.4,40,13.175,0.66,0.075901328
WORP99-0825,1.6,265,7.9,8,33.125,0.9875,0.030188679
WORP99-0830,0.82,80,0,3,26.66666667,0,0.0375
WORP99-0841,1.79,211,3.6,15,14.06666667,0.24,0.071090047
WORP99-0842,1.88,137,1.4,44,3.113636364,0.031818182,0.321167883
WORP99-0851,0.21,24,1.4,9,2.666666667,0.155555556,0.375
WORP99-0852,3.19,500,11.4,63,7.936507937,0.180952381,0.126
WORP99-0854,0.84,37,0,9,4.111111111,0,0.243243243
WORP99-0856,2.63,198,1.4,39,5.076923077,0.035897436,0.196969697
WORP99-0860,0.88,68,1.4,4,17,0.35,0.058823529
WORP99-0864,2.84,148,0,17,8.705882353,0,0.114864865
WORP99-0866,1.18,108,2.9,27,4,0.107407407,0.25
WORP99-0871,1.47,128,1.4,31,4.129032258,0.04516129,0.2421875
WORP99-0877,0.94,73,1.4,18,4.055555556,0.077777778,0.246575342
WORP99-0879,0.56,168,6.7,9,18.66666667,0.744444444,0.053571429
WORP99-0883,1.67,102,1.4,5,20.4,0.28,0.049019608
WORP99-0885,1.91,209,4.3,23,9.086956522,0.186956522,0.110047847
WORP99-0888,2.25,219,1.9,25,8.76,0.076,0.114155251
WORP99-0890,0.99,284,1.7,3,94.66666667,0.566666667,0.01056338
WORP99-0891,0.67,176,2.1,52,3.384615385,0.040384615,0.295454545
WORP99-0892,1.87,169,3.1,10,16.9,0.31,0.059171598
WORP99-0893,1.13,141,4.3,19,7.421052632,0.226315789,0.134751773
WORP99-0917,1.04,78,2.1,53,1.471698113,0.039622642,0.67948718
WORP99-0923,2.03,220,3.6,60,3.666666667,0.06,0.272727273
WORP99-0924,1.76,84,0,82,1.024390244,0,0.976190476
WORP99-0928,1.45,166,0,22,7.545454545,0,0.13253012
WORP99-0929,2.32,333,2.9,66,5.045454545,0.043939394,0.198198198
WORP99-0931,1.4,76,0,7,10.85714286,0,0.092105263
WORP99-0935,2.23,237,3.6,11,21.54545455,0.327272727,0.046413502
WORP99-0937,1.04,187,2.1,50,3.74,0.042,0.267379679
WORP99-0947,1.19,625,30.7,54,11.57407407,0.568518519,0.0864
WORP99-0948,1.47,132,0,17,7.764705882,0,0.128787879
WORP99-0952,1.59,128,7.1,4,32,1.775,0.03125
WORP99-0954,0.86,147,7.9,2,73.5,3.95,0.013605442
WORP99-0972,2.01,354,5,30,11.8,0.166666667,0.084745763
WORP99-0977,2.52,174,0,77,2.25974026,0,0.442528736
WORP99-0985,1.45,171,3.6,50,3.42,0.072,0.292397661
WORP99-0997,1.67,93,0,65,1.430769231,0,0.698924731
WORP99-1002,1.54,126,0,15,8.4,0,0.119047619
WORP99-1003,2.18,351,0,67,5.23880597,0,0.190883191
WORP99-1016,0.37,53,2.1,10,5.3,0.21,0.188679245
WORP99-1017,0.76,56,0,17,3.294117647,0,0.303571429
WORP99-1018,0.74,158,7.9,29,5.448275862,0.272413793,0.183544304
WORP99-1019,1.03,290,14.3,21,13.80952381,0.680952381,0.072413793
WORP99-1021,1.21,73,0,3,24.33333333,0,0.04109589
WSDP99-0501,4.26,1468,28.6,395,3.716455696,0.072405063,0.269073569
WSDP99-0502,1.92,209,5.7,20,10.45,0.285,0.09569378
WSDP99-0503,9.43,771,2.1,138,5.586956522,0.015217391,0.178988327
WSDP99-0505,11.16,3475,161.3,27,128.7037037,5.974074074,0.007769784
WSDP99-0506,7.19,1958,0,398,4.91959799,0,0.203268641
WSDP99-0507,4.41,920,14.3,101,9.108910891,0.141584158,0.109782609
WSDP99-0508,8.92,964,0,56,17.21428571,0,0.058091286
WSDP99-0509,7.86,718,3.6,84,8.547619048,0.042857143,0.116991643
WSDP99-0510,10.64,956,1.4,95,10.06315789,0.014736842,0.099372385
WSDP99-0512,14.01,15625,0,2244,6.963012478,0,0.143616
WSDP99-0514,4.94,525,3.6,127,4.133858268,0.028346457,0.241904762
WSDP99-0515,12.49,1135,0,46,24.67391304,0,0.040528634
WSDP99-0516,18.05,3070,4.3,982,3.126272912,0.004378819,0.319869707
WSDP99-0521,10.54,1166,4.3,150,7.773333333,0.028666667,0.12864494
WSDP99-0522,3.27,1613,38.6,430,3.751162791,0.089767442,0.266584005
WSDP99-0523,6.41,779,3.6,95,8.2,0.037894737,0.12195122
WSDP99-0525,7.93,1609,0,371,4.336927224,0,0.230577999
WSDP99-0526,9.79,947,0,195,4.856410256,0,0.205913411
WSDP99-0527,7.88,1016,0,55,18.47272727,0,0.054133858
WSDP99-0533,6.16,2728,112.1,291,9.374570447,0.385223368,0.106671554
WSDP99-0540,2.68,443,10.7,21,21.0952381,0.50952381,0.047404063
WSDP99-0541,5.02,1735,34.3,462,3.755411255,0.074242424,0.266282421
WSDP99-0543,4.66,444,0,52,8.538461538,0,0.117117117
WSDP99-0544,5.24,1748,67.8,110,15.89090909,0.616363636,0.062929062
WSDP99-0546,8.99,1186,0,90,13.17777778,0,0.075885329
WSDP99-0548,3.16,581,0,425,1.367058824,0,0.731497418
WSDP99-0579,5.09,783,0,240,3.2625,0,0.30651341
WSDP99-0580,2.68,144,0,26,5.538461538,0,0.180555556
WSDP99-0581,8.02,1034,0,190,5.442105263,0,0.183752418
WSDP99-0582,11.64,1273,0,54,23.57407407,0,0.042419482
WSDP99-0585,3.29,251,3.6,14,17.92857143,0.257142857,0.055776892
WSDP99-0586,2.8,246,0,16,15.375,0,0.06504065
WSDP99-0587,7.62,719,10.7,333,2.159159159,0.032132132,0.463143255
WSDP99-0588,7.38,1021,9.3,278,3.672661871,0.033453237,0.272282076
WSDP99-0589,12.66,3295,4.3,656,5.022865854,0.006554878,0.19908953
WSDP99-0590,6.27,1308,2.9,328,3.987804878,0.008841463,0.250764526
WSDP99-0593,6.39,353,0,34,10.38235294,0,0.09631728
WSDP99-0594,15.36,1289,2.1,35,36.82857143,0.06,0.027152832
WSDP99-0596,5.91,453,0,47,9.638297872,0,0.103752759
WSDP99-0599,5.43,556,3.6,51,10.90196078,0.070588235,0.091726619
WSDP99-0602,4.1,654,14.3,66,9.909090909,0.216666667,0.100917431
WSDP99-0603,20.99,1810,1.4,751,2.41011984,0.001864181,0.414917127
WSDP99-0604,1.3,134,0,7,19.14285714,0,0.052238806
WSDP99-0605,11.6,2028,15,561,3.614973262,0.026737968,0.276627219
WSDP99-0657,3.74,268,0,14,19.14285714,0,0.052238806
WSDP99-0658,5.27,750,0,1091,0.687442713,0,1.454666667
WSDP99-0660,10.18,1973,0,244,8.086065574,0,0.123669539
WSDP99-0664,8.45,693,0,90,7.7,0,0.12987013
WSDP99-0665,9.7,1139,5,151,7.543046358,0.033112583,0.132572432
WSDP99-0666,4.86,1831,0,62,29.53225806,0,0.033861278
WSDP99-0667,4.93,901,6.4,148,6.087837838,0.043243243,0.164261931
WSDP99-0669,10.59,866,0,113,7.663716814,0,0.130484988
WSDP99-0670,6.46,613,7.9,86,7.127906977,0.091860465,0.140293638
WSDP99-0672,9.06,803,0,48,16.72916667,0,0.059775841
WSDP99-0674,17.5,9481,0,964,9.835062241,0,0.101677038
WSDP99-0678,2.5,799,0,256,3.12109375,0,0.320400501
WSDP99-0679,3.56,2459,0,152,16.17763158,0,0.061813745
WSDP99-0681,9.21,1503,0,201,7.47761194,0,0.133732535
WSDP99-0695,2.81,734,12.2,22,33.36363636,0.554545455,0.029972752
WSDP99-0696,2.19,1041,30.7,232,4.487068966,0.132327586,0.222862632
WSDP99-0697,3.28,415,0,55,7.545454545,0,0.13253012
WSDP99-0698,13.23,949,2.9,37,25.64864865,0.078378378,0.038988409
WUTP99-0501,1.24,274,7.1,11,24.90909091,0.645454545,0.040145985
WUTP99-0505,3.88,1055,5.7,64,16.484375,0.0890625,0.060663507
WUTP99-0507,1.23,225,10,2,112.5,5,0.008888889
WUTP99-0512,2.21,579,25.7,19,30.47368421,1.352631579,0.032815199
WUTP99-0514,1.68,146,0,3,48.66666667,0,0.020547945
WUTP99-0516,1.07,316,12.9,23,13.73913043,0.560869565,0.07278481
WUTP99-0517,1.19,131,2.1,13,10.07692308,0.161538462,0.099236641
WUTP99-0518,2.94,185,2.1,139,1.330935252,0.015107914,0.751351351
WUTP99-0521,2.11,140,4.3,3,46.66666667,1.433333333,0.021428571
WUTP99-0542,3.6,286,0,9,31.77777778,0,0.031468531
WUTP99-0543,6.03,1383,67.8,105,13.17142857,0.645714286,0.075921909
WUTP99-0548,2.64,433,3.6,113,3.831858407,0.031858407,0.260969977
WUTP99-0559,1.58,219,0,66,3.318181818,0,0.301369863
WUTP99-0561,1.3,103,0,4,25.75,0,0.038834951
WUTP99-0562,1.07,249,14.3,1,249,14.3,0.004016064
WUTP99-0563,1.97,824,26.4,31,26.58064516,0.851612903,0.037621359
WUTP99-0565,2.45,6381,481.9,28,227.8928571,17.21071429,0.004388027
WUTP99-0586,2.22,541,17.1,70,7.728571429,0.244285714,0.129390018
WUTP99-0590,0.9,129,5,4,32.25,1.25,0.031007752
WUTP99-0591,4.43,191,2.1,73,2.616438356,0.028767123,0.382198953
WUTP99-0594,2.73,293,4.3,59,4.966101695,0.072881356,0.201365188
WUTP99-0597,2.65,293,2.9,119,2.462184874,0.024369748,0.406143345
WUTP99-0598,1.36,91,3.6,2,45.5,1.8,0.021978022
WUTP99-0602,2.45,181,5,9,20.11111111,0.555555556,0.049723757
WUTP99-0604,0.81,391,17.1,25,15.64,0.684,0.063938619
WUTP99-0605,1.89,605,29.3,5,121,5.86,0.008264463
WUTP99-0620,4.32,313,0,76,4.118421053,0,0.242811502
WUTP99-0629,1.38,179,5.7,4,44.75,1.425,0.022346369
WUTP99-0664,5.66,915,7.8,203,4.507389163,0.038423645,0.221857923
WUTP99-0665,2.24,459,4.1,84,5.464285714,0.048809524,0.183006536
WUTP99-0668,1.82,108,0,3,36,0,0.027777778
WUTP99-0670,6.84,679,0,94,7.223404255,0,0.138438881
WUTP99-0677,1.93,2784,79.6,1707,1.630931459,0.046631517,0.613146552
WUTP99-0692,1.82,863,0,282,3.060283688,0,0.326767092
WUTP99-0693,2.81,504,13.5,97,5.195876289,0.139175258,0.192460317
WUTP99-0694,1.64,456,13.8,8,57,1.725,0.01754386
WUTP99-0695,3.01,2251,11.5,593,3.795952782,0.019392917,0.263438472
WUTP99-0696,7.01,1478,0,1965,0.75216285,0,1.329499323
WUTP99-0698,1.1,811,43.7,26,31.19230769,1.680769231,0.032059186
WUTP99-0721,4.61,505,2.9,103,4.902912621,0.02815534,0.203960396
WUTP99-0723,1.13,123,2.1,2,61.5,1.05,0.016260163
WUTP99-0725,3.27,124,0,97,1.278350515,0,0.782258065
WUTP99-0728,1.65,165,0,17,9.705882353,0,0.103030303
WUTP99-0731,1.22,249,8.6,53,4.698113208,0.162264151,0.212851406
WUTP99-0732,1.37,165,2.9,10,16.5,0.29,0.060606061
WUTP99-0733,0.92,383,20.7,2,191.5,10.35,0.005221932
WUTP99-0734,7.83,1224,8.6,158,7.746835443,0.05443038,0.129084967
WUTP99-0735,3.27,1794,64.3,88,20.38636364,0.730681818,0.049052397
WUTP99-0737,4.39,963,0,191,5.041884817,0,0.198338525
WUTP99-0738,1.31,648,34.3,15,43.2,2.286666667,0.023148148
WWAP99-0501,0.7,33,2.1,18,1.833333333,0.116666667,0.545454546
WWAP99-0502,1.82,163,3.6,32,5.09375,0.1125,0.196319018
WWAP99-0504,1.54,63,2.9,4,15.75,0.725,0.063492063
WWAP99-0507,1.25,133,4.3,34,3.911764706,0.126470588,0.255639098
WWAP99-0508,0.66,43,2.1,10,4.3,0.21,0.23255814
WWAP99-0509,2.89,89,2.1,1,89,2.1,0.011235955
WWAP99-0512,1.25,150,7.1,47,3.191489362,0.15106383,0.313333333
WWAP99-0513,2.51,228,6.4,17,13.41176471,0.376470588,0.074561403
WWAP99-0515,1.26,326,15,13,25.07692308,1.153846154,0.039877301
WWAP99-0516,3.2,133,2.9,4,33.25,0.725,0.030075188
WWAP99-0517,4.11,201,2.1,27,7.444444444,0.077777778,0.134328358
WWAP99-0520,0.44,90,6.4,2,45,3.2,0.022222222
WWAP99-0521,2.73,229,3.6,16,14.3125,0.225,0.069868996
WWAP99-0522,1.34,86,2.9,51,1.68627451,0.056862745,0.593023256
WWAP99-0524,0.96,36,0,3,12,0,0.083333333
WWAP99-0526,0.72,49,1.4,1,49,1.4,0.020408163
WWAP99-0527,0.96,51,2.9,1,51,2.9,0.019607843
WWAP99-0529,0.63,50,3.6,2,25,1.8,0.04
WWAP99-0531,0.83,38,1.4,1,38,1.4,0.026315789
WWAP99-0532,0.62,66,2.9,1,66,2.9,0.015151515
WWAP99-0534,0.59,21,1.6,1,21,1.6,0.047619048
WWAP99-0535,0.34,39,2.1,2,19.5,1.05,0.051282051
WWAP99-0538,0.71,64,2.9,2,32,1.45,0.03125
WWAP99-0541,0.72,53,2.1,1,53,2.1,0.018867925
WWAP99-0542,0.57,75,0,5,15,0,0.066666667
WWAP99-0546,0.96,55,2.1,1,55,2.1,0.018181818
WWAP99-0560,0.9,95,5,2,47.5,2.5,0.021052632
WWAP99-0563,0.51,118,7.1,0,NA,NA,NA
WWAP99-0566,0.57,46,2.9,0,NA,NA,NA
WWAP99-0568,1.69,109,2.1,25,4.36,0.084,0.229357798
WWAP99-0593,0.77,143,7.1,44,3.25,0.161363636,0.307692308
WWAP99-0595,0.54,29,0,1,29,0,0.034482759
WWAP99-0598,1.38,144,6.4,22,6.545454545,0.290909091,0.152777778
WWAP99-0602,1.08,43,2.1,2,21.5,1.05,0.046511628
WWAP99-0604,0.76,80,5.7,5,16,1.14,0.0625
WWAP99-0608,3.3,300,16.4,13,23.07692308,1.261538462,0.043333333
WWAP99-0611,0.6,15,0,3,5,0,0.2
WWAP99-0612,0.66,23,0,1,23,0,0.043478261
WWAP99-0614,1.03,120,3.6,26,4.615384615,0.138461538,0.216666667
WWAP99-0617,1.6,83,2.9,12,6.916666667,0.241666667,0.144578313
WWAP99-0618,0.74,60,0,2,30,0,0.033333333
WWAP99-0622,0.57,84,3.6,4,21,0.9,0.047619048
WWAP99-0630,0.79,38,1.4,0,NA,NA,NA
WWAP99-0632,0.2,79,4.3,1,79,4.3,0.012658228
WWAP99-0633,1.07,45,0,1,45,0,0.022222222
WWAP99-0635,0.9,45,0,2,22.5,0,0.044444444
WWAP99-0636,0.96,79,2.9,3,26.33333333,0.966666667,0.037974684
WWAP99-0637,0.5,35,1.4,2,17.5,0.7,0.057142857
WWAP99-0639,1.47,100,5,7,14.28571429,0.714285714,0.07
WWAP99-0640,1.59,79,3.6,56,1.410714286,0.064285714,0.708860759
WWAP99-0641,0.85,65,3.6,29,2.24137931,0.124137931,0.446153846
WWAP99-0642,0.5,28,0,9,3.111111111,0,0.321428571
WWAP99-0676,0.51,46,2.9,3,15.33333333,0.966666667,0.065217391
WWAP99-0677,0.27,24,1.7,1,24,1.7,0.041666667
WWAP99-0681,1.58,5541,360.4,33,167.9090909,10.92121212,0.005955604
WWAP99-0682,0.32,28,0,0,NA,NA,NA
WWAP99-0688,0.82,64,0,8,8,0,0.125
WWAP99-0689,0.36,384,25.7,3,128,8.566666667,0.0078125
WWAP99-0692,3.8,1242,78.5,7,177.4285714,11.21428571,0.005636071
WWAP99-0695,1.72,50,0,4,12.5,0,0.08
WWAP99-0697,0.82,47,1.4,4,11.75,0.35,0.085106383
WWAP99-0700,0.67,41,1.4,4,10.25,0.35,0.097560976
WWAP99-0701,1.02,80,3.6,4,20,0.9,0.05
WWAP99-0702,1.41,40,0,5,8,0,0.125
WWAP99-0704,0.37,18,2.5,2,9,1.25,0.111111111
WWAP99-0705,0.39,88,6.4,1,88,6.4,0.011363636
WWAP99-0706,1.49,87,0,21,4.142857143,0,0.24137931
WWAP99-0712,0.92,34,2.1,3,11.33333333,0.7,0.088235294
WWAP99-0713,0.37,35,4,1,35,4,0.028571429
WWAP99-0714,0.79,43,0,2,21.5,0,0.046511628
WWAP99-0716,1.03,99,2.9,9,11,0.322222222,0.090909091
WWAP99-0719,0.88,66,3.4,9,7.333333333,0.377777778,0.136363636
WWAP99-0720,3.86,210,5,37,5.675675676,0.135135135,0.176190476
WWAP99-0721,1.46,73,3.1,16,4.5625,0.19375,0.219178082
WWAP99-0722,1.55,2004,117.5,86,23.30232558,1.36627907,0.042914172
WWAP99-0729,0.85,33,1.4,8,4.125,0.175,0.242424242
WWAP99-0730,0.75,46,0,3,15.33333333,0,0.065217391
WWAP99-0732,6.3,85,1.4,10,8.5,0.14,0.117647059
WWAP99-0733,0.75,44,1.8,1,44,1.8,0.022727273
WWAP99-0735,0.39,47,3.6,1,47,3.6,0.021276596
WWAP99-0736,0.52,55,4.3,1,55,4.3,0.018181818
WWAP99-0765,1.13,54,0,4,13.5,0,0.074074074
WWAP99-0766,0.91,82,2.9,1,82,2.9,0.012195122
WWAP99-0768,0.89,43,2.1,1,43,2.1,0.023255814
WWAP99-0770,1.08,46,0,9,5.111111111,0,0.195652174
WWAP99-0772,0.98,88,3.6,1,88,3.6,0.011363636
WWAP99-0776,0.44,46,2.1,1,46,2.1,0.02173913
WWAP99-0777,0.76,66,2.9,2,33,1.45,0.03030303
WWAP99-0778,2.69,173,0,31,5.580645161,0,0.179190751
WWAP99-0780,0.37,25,2.1,0,NA,NA,NA
WWYP99-0501,1.11,115,3.6,50,2.3,0.072,0.434782609
WWYP99-0504,2.01,228,0,74,3.081081081,0,0.324561404
WWYP99-0506,1.6,135,0,4,33.75,0,0.02962963
WWYP99-0508,2.46,173,2.1,20,8.65,0.105,0.115606936
WWYP99-0509,2.45,270,5,65,4.153846154,0.076923077,0.240740741
WWYP99-0511,0.28,184,12.1,4,46,3.025,0.02173913
WWYP99-0513,0.97,70,0,10,7,0,0.142857143
WWYP99-0515,3.33,238,0,14,17,0,0.058823529
WWYP99-0516,2.14,125,0,3,41.66666667,0,0.024
WWYP99-0524,0.78,319,0,48,6.645833333,0,0.150470219
WWYP99-0525,1.99,390,0,25,15.6,0,0.064102564
WWYP99-0526,0.93,65,2.9,73,0.890410959,0.039726027,1.123076923
WWYP99-0530,6.24,424,5.7,98,4.326530612,0.058163265,0.231132075
WWYP99-0531,4.32,569,2.9,14,40.64285714,0.207142857,0.024604569
WWYP99-0533,1.47,174,6.4,32,5.4375,0.2,0.183908046
WWYP99-0535,6.13,721,15,81,8.901234568,0.185185185,0.112343967
WWYP99-0537,0.75,39,0,19,2.052631579,0,0.487179487
WWYP99-0538,2.92,180,0,18,10,0,0.1
WWYP99-0540,1.92,115,0,3,38.33333333,0,0.026086957
WWYP99-0553,1.38,131,4.3,22,5.954545455,0.195454545,0.167938931
WWYP99-0556,1.01,66,0,5,13.2,0,0.075757576
WWYP99-0582,1.24,98,3.6,3,32.66666667,1.2,0.030612245
WWYP99-0585,1.02,76,2.9,2,38,1.45,0.026315789
WWYP99-0586,2.5,148,2.1,5,29.6,0.42,0.033783784
WWYP99-0587,1.77,353,13.6,4,88.25,3.4,0.011331445
WWYP99-0589,3.93,296,0,25,11.84,0,0.084459459
WWYP99-0590,1.19,361,17.1,21,17.19047619,0.814285714,0.058171745
WWYP99-0591,0.75,50,2.1,3,16.66666667,0.7,0.06
WWYP99-0592,1.26,78,0,11,7.090909091,0,0.141025641
WWYP99-0594,1.21,38,0,72,0.527777778,0,1.894736841
WWYP99-0598,2.52,343,0,41,8.365853659,0,0.119533528
WWYP99-0599,1.43,119,3.6,32,3.71875,0.1125,0.268907563
WWYP99-0600,1.27,531,25.7,23,23.08695652,1.117391304,0.043314501
WWYP99-0603,1.5,95,0,36,2.638888889,0,0.378947368
WWYP99-0604,8.64,691,0,83,8.325301205,0,0.120115774
WWYP99-0605,4.22,296,4.3,79,3.746835443,0.05443038,0.266891892
WWYP99-0606,5.72,18775,1219.4,2549,7.365633582,0.47838368,0.135765646
WWYP99-0607,1.07,109,3.6,20,5.45,0.18,0.183486239
WWYP99-0608,2.87,125,0,32,3.90625,0,0.256
WWYP99-0609,2.48,149,0,16,9.3125,0,0.10738255
WWYP99-0610,2.37,209,0,7,29.85714286,0,0.033492823
WWYP99-0612,0.9,115,2.9,3,38.33333333,0.966666667,0.026086957
WWYP99-0613,2.54,121,0,10,12.1,0,0.082644628
WWYP99-0614,1.48,141,3.6,7,20.14285714,0.514285714,0.04964539
WWYP99-0615,1.43,113,0,89,1.269662921,0,0.78761062
WWYP99-0616,1.28,79,2.1,2,39.5,1.05,0.025316456
WWYP99-0651,0.77,181,5.7,9,20.11111111,0.633333333,0.049723757
WWYP99-0652,3.52,1735,102.1,6,289.1666667,17.01666667,0.003458213
WWYP99-0653,1.24,395,15,5,79,3,0.012658228
WWYP99-0655,1.74,182,1.4,30,6.066666667,0.046666667,0.164835165
WWYP99-0656,1.24,137,2.1,3,45.66666667,0.7,0.02189781
WWYP99-0657,0.91,131,2.1,3,43.66666667,0.7,0.022900763
WWYP99-0659,0.91,351,20,26,13.5,0.769230769,0.074074074
WWYP99-0660,4.43,401,1.4,56,7.160714286,0.025,0.139650873
WWYP99-0661,3.13,419,2.1,143,2.93006993,0.014685315,0.341288783
WWYP99-0662,1.49,158,0,14,11.28571429,0,0.088607595
WWYP99-0665,3.24,338,1.4,29,11.65517241,0.048275862,0.085798817
WWYP99-0669,2.18,104,2.9,1,104,2.9,0.009615385
WWYP99-0670,1.61,189,0,75,2.52,0,0.396825397
WWYP99-0671,10.26,1494,17.1,191,7.821989529,0.089528796,0.127844712
WWYP99-0707,2.05,109,0,3,36.33333333,0,0.027522936
WWYP99-0708,4.53,305,0,16,19.0625,0,0.052459016
WWYP99-0710,1.43,125,2.1,26,4.807692308,0.080769231,0.208
WWYP99-0713,3.69,229,0,9,25.44444444,0,0.03930131
WWYP99-0715,0.68,476,27.1,63,7.555555556,0.43015873,0.132352941
WWYP99-0716,2.29,198,0,8,24.75,0,0.04040404
WWYP99-0717,1.24,679,32.1,35,19.4,0.917142857,0.051546392
WWYP99-0719,3.16,258,0,136,1.897058824,0,0.527131783
WWYP99-0720,3.55,425,0,92,4.619565217,0,0.216470588
WWYP99-0721,1.16,68,0,12,5.666666667,0,0.176470588
WWYP99-0722,8.25,856,6.4,39,21.94871795,0.164102564,0.045560748
