"SITECODE","SDATE","FIELDNAME","VALUE"
"T08",02-SEP-04,"CALCIUM",3.23
"T08",02-SEP-04,"CHLORIDE",9.5
"T08",02-SEP-04,"CONDY",62.4
"T08",02-SEP-04,"DOC",6.5
"T08",02-SEP-04,"IRON",0.32
"T08",02-SEP-04,"MAGNESIUM",1.91
"T08",02-SEP-04,"NH4N",0.66
"T08",02-SEP-04,"NO3N",0.522
"T08",02-SEP-04,"PH",5.27
"T08",02-SEP-04,"PHAQCS",3.96
"T08",02-SEP-04,"PHAQCU",4
"T08",02-SEP-04,"PO4P",0.143
"T08",02-SEP-04,"POTASSIUM",2.85
"T08",02-SEP-04,"SO4S",1.64
"T08",02-SEP-04,"SODIUM",2.8
"T08",02-SEP-04,"TOTALN",1.06
"T02",02-SEP-04,"ALUMINIUM",0.3
"T06",14-SEP-04,"CONDY",64.5
"T06",14-SEP-04,"CHLORIDE",9.34
"T06",14-SEP-04,"MAGNESIUM",2.627
"T06",14-SEP-04,"NH4N",0.64
"T06",14-SEP-04,"NO3N",0.71
"T06",14-SEP-04,"PH",5.39
"T06",14-SEP-04,"PHAQCS",5.38
"T06",14-SEP-04,"PHAQCU",5.39
"T06",14-SEP-04,"PO4P",0.107
"T06",14-SEP-04,"POTASSIUM",4.066
"T06",14-SEP-04,"SO4S",1.947
"T06",14-SEP-04,"SODIUM",4.212
"T06",14-SEP-04,"ALUMINIUM",0.425
"T06",14-SEP-04,"CALCIUM",4.368
"T06",14-SEP-04,"IRON",0.393
"T04",15-SEP-04,"MAGNESIUM",2
"T04",15-SEP-04,"NH4N",0.61
"T04",15-SEP-04,"NO3N",0.632
"T04",15-SEP-04,"PHAQCS",4.04
"T04",15-SEP-04,"PHAQCU",4.06
"T04",15-SEP-04,"PO4P",0.107
"T04",15-SEP-04,"POTASSIUM",3.05
"T04",15-SEP-04,"SO4S",1.7
"T04",15-SEP-04,"SODIUM",3.02
"T04",15-SEP-04,"TOTALN",1.29
"T04",15-SEP-04,"TOTALP",0.081
"T03",15-SEP-04,"CALCIUM",3.31
"T03",15-SEP-04,"CHLORIDE",11.4
"T03",15-SEP-04,"CONDY",53
"T03",15-SEP-04,"DOC",6.126
"T03",15-SEP-04,"MAGNESIUM",2.43
"T03",15-SEP-04,"NH4N",7.431
"T03",15-SEP-04,"NO3N",0.81
"T03",15-SEP-04,"PH",5.8
"T03",15-SEP-04,"PHAQCS",5.78
"T03",15-SEP-04,"PHAQCU",5.82
"T03",15-SEP-04,"PO4P",0.081
"T03",15-SEP-04,"POTASSIUM",4.302
"T03",15-SEP-04,"SO4S",1.77
"T03",15-SEP-04,"SODIUM",3.714
"T05",15-SEP-04,"CALCIUM",4.168
"T05",15-SEP-04,"CHLORIDE",11.869
"T05",15-SEP-04,"MAGNESIUM",2.598
"T05",15-SEP-04,"NH4N",0.054
"T05",15-SEP-04,"NO3N",0.785
"T05",15-SEP-04,"PHAQCS",5.23
"T05",15-SEP-04,"PHAQCU",5.52
"T05",15-SEP-04,"POTASSIUM",4.371
"T05",15-SEP-04,"SO4S",1.764
"T05",15-SEP-04,"SODIUM",4.369
"T04",15-SEP-04,"ALUMINIUM",0.33
"T04",15-SEP-04,"CALCIUM",3.44
"T04",15-SEP-04,"CHLORIDE",11
"T04",15-SEP-04,"COLOUR",0
"T04",15-SEP-04,"DOC",9.2
"T04",15-SEP-04,"IRON",0.34
"T09",15-SEP-04,"PH",5.47
"T09",15-SEP-04,"PHAQCS",4.03
"T09",15-SEP-04,"PHAQCU",4.04
"T09",15-SEP-04,"PO4P",0.02
"T09",15-SEP-04,"POTASSIUM",4.126
"T09",15-SEP-04,"SO4S",1.802
"T09",15-SEP-04,"SODIUM",4.104
"T09",15-SEP-04,"TOTALN",1.16
"T09",15-SEP-04,"ALUMINIUM",0.422
"T09",15-SEP-04,"CALCIUM",4.114
"T09",15-SEP-04,"CHLORIDE",11.701
"T09",15-SEP-04,"CONDY",53.9
"T09",15-SEP-04,"IRON",0.406
"T09",15-SEP-04,"MAGNESIUM",2.495
"T09",15-SEP-04,"NH4N",0.54
"T09",15-SEP-04,"NO3N",0.72
"T02",16-SEP-04,"NO3N",0.766
"T06",16-SEP-04,"SODIUM",4.24
"T02",16-SEP-04,"PO4P",0.285
"T02",16-SEP-04,"POTASSIUM",3.14
"T02",16-SEP-04,"SO4S",1.9
"T02",16-SEP-04,"SODIUM",3
"T02",16-SEP-04,"TOTALN",1.58
"T02",16-SEP-04,"ALKY",0
"T02",16-SEP-04,"ALUMINIUM",0.325
"T02",16-SEP-04,"CALCIUM",3.53
"T02",16-SEP-04,"CHLORIDE",12.17
"T02",16-SEP-04,"CONDY",64.2
"T02",16-SEP-04,"DOC",10.48
"T02",16-SEP-04,"IRON",0.324
"T02",16-SEP-04,"MAGNESIUM",2.07
"T02",16-SEP-04,"NH4N",0.475
"T06",16-SEP-04,"ALUMINIUM",0.428
"T06",16-SEP-04,"CALCIUM",4.395
"T06",16-SEP-04,"CHLORIDE",10.03
"T06",16-SEP-04,"CONDY",61.9
"T06",16-SEP-04,"IRON",0.391
"T06",16-SEP-04,"MAGNESIUM",2.616
"T06",16-SEP-04,"NH4N",0.61
"T08",16-SEP-04,"ALUMINIUM",0.28
"T08",16-SEP-04,"CALCIUM",3.24
"T08",16-SEP-04,"CHLORIDE",11.1
"T08",16-SEP-04,"CONDY",65.4
"T08",16-SEP-04,"DOC",9.6
"T08",16-SEP-04,"IRON",0.32
"T08",16-SEP-04,"MAGNESIUM",1.92
"T08",16-SEP-04,"NH4N",0.6
"T08",16-SEP-04,"NO3N",0.732
"T08",16-SEP-04,"PH",5.09
"T08",16-SEP-04,"PHAQCS",3.95
"T08",16-SEP-04,"PHAQCU",4
"T08",16-SEP-04,"PO4P",0.089
"T08",16-SEP-04,"POTASSIUM",2.85
"T08",16-SEP-04,"SO4S",1.69
"T08",16-SEP-04,"SODIUM",2.82
"T08",16-SEP-04,"TOTALN",1.44
"T08",16-SEP-04,"TOTALP",0.015
"T06",16-SEP-04,"NO3N",0.74
"T06",16-SEP-04,"PH",5.28
"T06",16-SEP-04,"PHAQCS",5.28
"T06",16-SEP-04,"PHAQCU",5.28
"T06",16-SEP-04,"PO4P",0.092
"T06",16-SEP-04,"POTASSIUM",4.101
"T06",16-SEP-04,"SO4S",1.882
"T02",16-SEP-04,"PH",4.41
"T06",22-SEP-04,"ALUMINIUM",0.424
"T09",22-SEP-04,"TOTALN",1.16
"T06",22-SEP-04,"CHLORIDE",13.14
"T06",22-SEP-04,"CONDY",71
"T06",22-SEP-04,"IRON",0.372
"T06",22-SEP-04,"MAGNESIUM",2.618
"T06",22-SEP-04,"NH4N",0.66
"T06",22-SEP-04,"NO3N",0.73
"T06",22-SEP-04,"PH",5.54
"T06",22-SEP-04,"PHAQCS",5.53
"T06",22-SEP-04,"PHAQCU",5.54
"T06",22-SEP-04,"PO4P",0.157
"T06",22-SEP-04,"POTASSIUM",4.122
"T06",22-SEP-04,"SO4S",1.799
"T06",22-SEP-04,"SODIUM",4.224
"T09",22-SEP-04,"ALUMINIUM",0.436
"T09",22-SEP-04,"CALCIUM",4.143
"T09",22-SEP-04,"CHLORIDE",11.774
"T09",22-SEP-04,"CONDY",62.6
"T09",22-SEP-04,"IRON",0.405
"T09",22-SEP-04,"MAGNESIUM",2.499
"T09",22-SEP-04,"NH4N",0.57
"T09",22-SEP-04,"NO3N",0.795
"T09",22-SEP-04,"PH",5.19
"T09",22-SEP-04,"PHAQCS",4.07
"T09",22-SEP-04,"PHAQCU",4.07
"T09",22-SEP-04,"PO4P",0.032
"T09",22-SEP-04,"POTASSIUM",4.102
"T09",22-SEP-04,"SO4S",1.836
"T09",22-SEP-04,"SODIUM",4.197
"T06",22-SEP-04,"CALCIUM",4.627
"T11",29-SEP-04,"IRON",0.39
"T11",29-SEP-04,"MAGNESIUM",2.49
"T11",29-SEP-04,"NH4N",0.58
"T11",29-SEP-04,"NO3N",0.84
"T11",29-SEP-04,"PH",5.77
"T11",29-SEP-04,"PHAQCS",5.77
"T11",29-SEP-04,"PHAQCU",5.92
"T11",29-SEP-04,"PO4P",0.15
"T11",29-SEP-04,"POTASSIUM",3.97
"T11",29-SEP-04,"SO4S",1.8
"T11",29-SEP-04,"SODIUM",4.01
"T11",29-SEP-04,"TOTALN",1.53
"T11",29-SEP-04,"ALKY",-0.49
"T11",29-SEP-04,"ALUMINIUM",0.41
"T11",29-SEP-04,"CALCIUM",3.89
"T11",29-SEP-04,"CHLORIDE",11.4
"T11",29-SEP-04,"CONDY",54.8
"T11",29-SEP-04,"DOC",5.75
"T09",29-SEP-04,"ALUMINIUM",0.459
"T09",29-SEP-04,"CALCIUM",4.155
"T09",29-SEP-04,"CHLORIDE",11.535
"T09",29-SEP-04,"CONDY",58.1
"T09",29-SEP-04,"IRON",0.409
"T09",29-SEP-04,"MAGNESIUM",2.51
"T09",29-SEP-04,"NH4N",0.6
"T09",29-SEP-04,"NO3N",0.718
"T09",29-SEP-04,"PH",5.51
"T09",29-SEP-04,"PHAQCS",4.06
"T09",29-SEP-04,"PHAQCU",4.06
"T09",29-SEP-04,"PO4P",0.029
"T09",29-SEP-04,"POTASSIUM",4.1
"T09",29-SEP-04,"SO4S",1.809
"T09",29-SEP-04,"SODIUM",4.102
"T09",29-SEP-04,"TOTALN",1.58
"T05",29-SEP-04,"PHAQCS",5.22
"T04",29-SEP-04,"NH4N",0.63
"T04",29-SEP-04,"NO3N",0.645
"T04",29-SEP-04,"PHAQCS",4.03
"T04",29-SEP-04,"PHAQCU",4.06
"T04",29-SEP-04,"PO4P",0.095
"T04",29-SEP-04,"POTASSIUM",3.04
"T04",29-SEP-04,"SO4S",1.72
"T04",29-SEP-04,"SODIUM",2.99
"T04",29-SEP-04,"TOTALN",1.31
"T04",29-SEP-04,"TOTALP",0.105
"T04",29-SEP-04,"ALUMINIUM",0.31
"T04",29-SEP-04,"CALCIUM",3.5
"T04",29-SEP-04,"CHLORIDE",11
"T04",29-SEP-04,"COLOUR",0
"T04",29-SEP-04,"DOC",10.7
"T04",29-SEP-04,"IRON",0.32
"T04",29-SEP-04,"MAGNESIUM",2.05
"T08",30-SEP-04,"PO4P",0.084
"T02",30-SEP-04,"TOTALN",1.58
"T08",30-SEP-04,"SO4S",1.72
"T08",30-SEP-04,"SODIUM",2.81
"T08",30-SEP-04,"TOTALN",1.4
"T08",30-SEP-04,"TOTALP",0.1
"T08",30-SEP-04,"ALUMINIUM",0.29
"T08",30-SEP-04,"CALCIUM",3.28
"T08",30-SEP-04,"CHLORIDE",11.3
"T08",30-SEP-04,"CONDY",63.1
"T08",30-SEP-04,"DOC",9.8
"T08",30-SEP-04,"IRON",0.33
"T08",30-SEP-04,"MAGNESIUM",1.93
"T08",30-SEP-04,"NH4N",0.66
"T08",30-SEP-04,"NO3N",0.744
"T08",30-SEP-04,"PH",5.28
"T08",30-SEP-04,"PHAQCS",4
"T08",30-SEP-04,"PHAQCU",4.04
"T07",30-SEP-04,"ALKY",3
"T07",30-SEP-04,"ALUMINIUM",0.414
"T07",30-SEP-04,"CALCIUM",4.13
"T07",30-SEP-04,"CHLORIDE",11.16
"T07",30-SEP-04,"CONDY",68.3
"T07",30-SEP-04,"DOC",11
"T07",30-SEP-04,"IRON",0.395
"T07",30-SEP-04,"MAGNESIUM",2.56
"T07",30-SEP-04,"NH4N",0.451
"T07",30-SEP-04,"NO3N",0.714
"T07",30-SEP-04,"PH",4.35
"T07",30-SEP-04,"PO4P",0.089
"T07",30-SEP-04,"POTASSIUM",4.05
"T07",30-SEP-04,"SO4S",1.76
"T07",30-SEP-04,"SODIUM",3.99
"T07",30-SEP-04,"TOTALN",1.71
"T03",30-SEP-04,"SO4S",1.78
"T03",30-SEP-04,"SODIUM",3.651
"T03",30-SEP-04,"CALCIUM",3.99
"T03",30-SEP-04,"CHLORIDE",10.98
"T03",30-SEP-04,"CONDY",53.5
"T03",30-SEP-04,"DOC",6.418
"T03",30-SEP-04,"MAGNESIUM",2.484
"T03",30-SEP-04,"NH4N",1.346
"T03",30-SEP-04,"NO3N",0.75
"T03",30-SEP-04,"PH",5.84
"T03",30-SEP-04,"PHAQCS",5.83
"T03",30-SEP-04,"PHAQCU",5.86
"T03",30-SEP-04,"PO4P",0.078
"T03",30-SEP-04,"POTASSIUM",4.018
"T02",30-SEP-04,"ALKY",0
"T02",30-SEP-04,"ALUMINIUM",0.313
"T02",30-SEP-04,"CALCIUM",3.54
"T02",30-SEP-04,"CHLORIDE",11.27
"T02",30-SEP-04,"CONDY",63.1
"T02",30-SEP-04,"DOC",10.39
"T02",30-SEP-04,"IRON",0.337
"T02",30-SEP-04,"MAGNESIUM",2.07
"T02",30-SEP-04,"NH4N",0.474
"T02",30-SEP-04,"NO3N",0.711
"T02",30-SEP-04,"PH",5.28
"T02",30-SEP-04,"PO4P",0.094
"T02",30-SEP-04,"POTASSIUM",3.02
"T02",30-SEP-04,"SO4S",1.79
"T02",30-SEP-04,"SODIUM",3.09
"T08",30-SEP-04,"POTASSIUM",2.85
"T09",06-OCT-04,"ALUMINIUM",0.434
"T09",06-OCT-04,"TOTALN",1.469
"T09",06-OCT-04,"CHLORIDE",11.169
"T09",06-OCT-04,"CONDY",56.7
"T09",06-OCT-04,"IRON",0.417
"T09",06-OCT-04,"MAGNESIUM",2.506
"T09",06-OCT-04,"NH4N",0.54
"T09",06-OCT-04,"NO3N",0.711
"T09",06-OCT-04,"PH",5.98
"T09",06-OCT-04,"PHAQCS",4.08
"T09",06-OCT-04,"PHAQCU",4.07
"T09",06-OCT-04,"PO4P",0.033
"T09",06-OCT-04,"POTASSIUM",3.897
"T09",06-OCT-04,"SO4S",1.789
"T09",06-OCT-04,"SODIUM",4.066
"T09",06-OCT-04,"CALCIUM",4.161
"T04",13-OCT-04,"TOTALP",0.164
"T09",13-OCT-04,"PHAQCS",4.09
"T03",13-OCT-04,"CHLORIDE",11
"T03",13-OCT-04,"CONDY",53.7
"T03",13-OCT-04,"DOC",6.216
"T03",13-OCT-04,"MAGNESIUM",2.188
"T03",13-OCT-04,"NH4N",1.158
"T03",13-OCT-04,"NO3N",0.75
"T03",13-OCT-04,"PH",5.87
"T03",13-OCT-04,"PHAQCS",5.86
"T03",13-OCT-04,"PHAQCU",5.88
"T03",13-OCT-04,"PO4P",0.083
"T03",13-OCT-04,"POTASSIUM",3.942
"T03",13-OCT-04,"SO4S",1.77
"T03",13-OCT-04,"SODIUM",3.576
"T05",13-OCT-04,"CALCIUM",4.144
"T05",13-OCT-04,"CHLORIDE",11.653
"T05",13-OCT-04,"MAGNESIUM",2.591
"T05",13-OCT-04,"NH4N",0.075
"T05",13-OCT-04,"NO3N",0.797
"T05",13-OCT-04,"PHAQCS",5.57
"T05",13-OCT-04,"PHAQCU",5.7
"T05",13-OCT-04,"POTASSIUM",4.791
"T05",13-OCT-04,"SO4S",1.835
"T05",13-OCT-04,"SODIUM",4.247
"T04",13-OCT-04,"ALUMINIUM",0.31
"T04",13-OCT-04,"CALCIUM",3.57
"T04",13-OCT-04,"CHLORIDE",10.6
"T04",13-OCT-04,"COLOUR",0
"T04",13-OCT-04,"DOC",9.6
"T04",13-OCT-04,"IRON",0.32
"T04",13-OCT-04,"MAGNESIUM",2.03
"T04",13-OCT-04,"NH4N",0.56
"T04",13-OCT-04,"NO3N",0.626
"T04",13-OCT-04,"PHAQCS",4.04
"T04",13-OCT-04,"PHAQCU",4.08
"T04",13-OCT-04,"PO4P",0.108
"T04",13-OCT-04,"POTASSIUM",3.07
"T04",13-OCT-04,"SO4S",1.57
"T04",13-OCT-04,"SODIUM",2.97
"T04",13-OCT-04,"TOTALN",1.28
"T09",13-OCT-04,"PHAQCU",4.08
"T09",13-OCT-04,"PO4P",0.034
"T09",13-OCT-04,"POTASSIUM",3.943
"T09",13-OCT-04,"SO4S",1.784
"T09",13-OCT-04,"SODIUM",4.166
"T09",13-OCT-04,"TOTALN",1.532
"T09",13-OCT-04,"ALUMINIUM",0.439
"T09",13-OCT-04,"CALCIUM",4.263
"T09",13-OCT-04,"CHLORIDE",11.209
"T09",13-OCT-04,"CONDY",55
"T09",13-OCT-04,"IRON",0.413
"T09",13-OCT-04,"MAGNESIUM",2.536
"T09",13-OCT-04,"NH4N",0.53
"T09",13-OCT-04,"NO3N",0.715
"T09",13-OCT-04,"PH",5.36
"T03",13-OCT-04,"CALCIUM",4.02
"T02",14-OCT-04,"ALKY",0
"T08",14-OCT-04,"TOTALP",0.105
"T02",14-OCT-04,"CALCIUM",3.52
"T02",14-OCT-04,"CHLORIDE",12.07
"T02",14-OCT-04,"CONDY",64
"T02",14-OCT-04,"DOC",10.91
"T02",14-OCT-04,"IRON",0.325
"T02",14-OCT-04,"MAGNESIUM",2.04
"T02",14-OCT-04,"NH4N",0.463
"T02",14-OCT-04,"NO3N",0.765
"T02",14-OCT-04,"PH",4.95
"T02",14-OCT-04,"PO4P",0.277
"T02",14-OCT-04,"POTASSIUM",3.01
"T02",14-OCT-04,"SO4S",1.89
"T02",14-OCT-04,"SODIUM",2.99
"T02",14-OCT-04,"TOTALN",1.72
"T08",14-OCT-04,"ALUMINIUM",0.29
"T08",14-OCT-04,"CALCIUM",3.25
"T08",14-OCT-04,"CHLORIDE",11.1
"T08",14-OCT-04,"CONDY",63.7
"T08",14-OCT-04,"DOC",9.6
"T08",14-OCT-04,"IRON",0.33
"T08",14-OCT-04,"MAGNESIUM",1.92
"T08",14-OCT-04,"NH4N",0.79
"T08",14-OCT-04,"NO3N",0.747
"T08",14-OCT-04,"PH",5.38
"T08",14-OCT-04,"PHAQCS",3.91
"T08",14-OCT-04,"PHAQCU",3.92
"T08",14-OCT-04,"PO4P",0.096
"T08",14-OCT-04,"POTASSIUM",2.84
"T08",14-OCT-04,"SO4S",1.7
"T08",14-OCT-04,"SODIUM",2.8
"T08",14-OCT-04,"TOTALN",1.41
"T02",14-OCT-04,"ALUMINIUM",0.329
"T05",20-OCT-04,"CALCIUM",4.195
"T05",20-OCT-04,"CHLORIDE",11.697
"T05",20-OCT-04,"MAGNESIUM",2.617
"T05",20-OCT-04,"NH4N",0.062
"T05",20-OCT-04,"NO3N",0.957
"T05",20-OCT-04,"PHAQCS",5.72
"T05",20-OCT-04,"PHAQCU",5.3
"T05",20-OCT-04,"POTASSIUM",4.171
"T05",20-OCT-04,"SO4S",1.769
"T05",20-OCT-04,"SODIUM",4.27
"T07",20-OCT-04,"ALKY",0
"T07",20-OCT-04,"ALUMINIUM",0.429
"T07",20-OCT-04,"CALCIUM",4.14
"T07",20-OCT-04,"CHLORIDE",32.12
"T07",20-OCT-04,"CONDY",64.2
"T07",20-OCT-04,"DOC",10.9
"T07",20-OCT-04,"IRON",0.38
"T07",20-OCT-04,"MAGNESIUM",2.56
"T07",20-OCT-04,"NH4N",0.474
"T07",20-OCT-04,"NO3N",2.093
"T07",20-OCT-04,"PH",4.79
"T07",20-OCT-04,"PO4P",0.088
"T07",20-OCT-04,"POTASSIUM",4.02
"T07",20-OCT-04,"SO4S",2.24
"T07",20-OCT-04,"SODIUM",4.05
"T07",20-OCT-04,"TOTALN",1.77
"T09",20-OCT-04,"ALUMINIUM",0.439
"T09",20-OCT-04,"CALCIUM",4.146
"T09",20-OCT-04,"CHLORIDE",11.415
"T09",20-OCT-04,"CONDY",53.2
"T09",20-OCT-04,"IRON",0.423
"T09",20-OCT-04,"MAGNESIUM",2.49
"T09",20-OCT-04,"NH4N",0.59
"T09",20-OCT-04,"NO3N",0.734
"T09",20-OCT-04,"PH",5.38
"T09",20-OCT-04,"PHAQCS",4.02
"T09",20-OCT-04,"PHAQCU",4
"T09",20-OCT-04,"PO4P",0.024
"T09",20-OCT-04,"POTASSIUM",3.998
"T09",20-OCT-04,"SO4S",1.827
"T09",20-OCT-04,"SODIUM",4.05
"T09",20-OCT-04,"TOTALN",1.534
"T06",22-OCT-04,"POTASSIUM",3.739
"T06",22-OCT-04,"PO4P",0.083
"T06",22-OCT-04,"SODIUM",4.347
"T06",22-OCT-04,"ALUMINIUM",0.426
"T06",22-OCT-04,"CALCIUM",4.37
"T06",22-OCT-04,"CHLORIDE",10.8
"T06",22-OCT-04,"CONDY",56.9
"T06",22-OCT-04,"IRON",0.364
"T06",22-OCT-04,"MAGNESIUM",2.64
"T06",22-OCT-04,"NH4N",0.61
"T06",22-OCT-04,"NO3N",0.72
"T06",22-OCT-04,"PH",5.75
"T06",22-OCT-04,"PHAQCS",5.81
"T06",22-OCT-04,"PHAQCU",5.7
"T06",22-OCT-04,"SO4S",2.2
"T04",27-OCT-04,"ALUMINIUM",0.32
"T09",27-OCT-04,"TOTALN",1.479
"T04",27-OCT-04,"CHLORIDE",10.7
"T04",27-OCT-04,"COLOUR",0
"T04",27-OCT-04,"DOC",8.6
"T04",27-OCT-04,"IRON",0.31
"T04",27-OCT-04,"MAGNESIUM",2.08
"T04",27-OCT-04,"NH4N",0.51
"T04",27-OCT-04,"NO3N",0.638
"T04",27-OCT-04,"PHAQCS",4.02
"T04",27-OCT-04,"PHAQCU",4.05
"T04",27-OCT-04,"PO4P",0.092
"T04",27-OCT-04,"POTASSIUM",3.14
"T04",27-OCT-04,"SO4S",1.61
"T04",27-OCT-04,"SODIUM",3
"T04",27-OCT-04,"TOTALN",1.29
"T04",27-OCT-04,"TOTALP",0.234
"T03",27-OCT-04,"CALCIUM",4.08
"T03",27-OCT-04,"CHLORIDE",11.04
"T03",27-OCT-04,"CONDY",53.8
"T03",27-OCT-04,"DOC",6.564
"T03",27-OCT-04,"MAGNESIUM",2.39
"T03",27-OCT-04,"NH4N",1.112
"T03",27-OCT-04,"NO3N",0.74
"T03",27-OCT-04,"PH",5.88
"T03",27-OCT-04,"PHAQCS",5.87
"T03",27-OCT-04,"PHAQCU",5.89
"T03",27-OCT-04,"PO4P",0.076
"T03",27-OCT-04,"POTASSIUM",3.982
"T03",27-OCT-04,"SO4S",1.75
"T03",27-OCT-04,"SODIUM",3.691
"T05",27-OCT-04,"CALCIUM",4.198
"T05",27-OCT-04,"CHLORIDE",11.728
"T05",27-OCT-04,"MAGNESIUM",2.625
"T05",27-OCT-04,"NH4N",0.067
"T05",27-OCT-04,"NO3N",0.953
"T05",27-OCT-04,"PHAQCS",5.85
"T05",27-OCT-04,"PHAQCU",5.97
"T05",27-OCT-04,"POTASSIUM",4.283
"T05",27-OCT-04,"SO4S",1.835
"T05",27-OCT-04,"SODIUM",4.398
"T09",27-OCT-04,"ALUMINIUM",0.429
"T09",27-OCT-04,"CALCIUM",4.102
"T09",27-OCT-04,"CHLORIDE",11.404
"T09",27-OCT-04,"CONDY",56.6
"T09",27-OCT-04,"IRON",0.423
"T09",27-OCT-04,"MAGNESIUM",2.479
"T09",27-OCT-04,"NH4N",0.57
"T09",27-OCT-04,"NO3N",0.736
"T09",27-OCT-04,"PH",5.46
"T09",27-OCT-04,"PHAQCS",4.05
"T09",27-OCT-04,"PHAQCU",4.05
"T09",27-OCT-04,"PO4P",0.026
"T09",27-OCT-04,"POTASSIUM",3.693
"T09",27-OCT-04,"SO4S",1.84
"T09",27-OCT-04,"SODIUM",3.986
"T04",27-OCT-04,"CALCIUM",3.68
"T02",28-OCT-04,"CALCIUM",3.55
"T08",28-OCT-04,"TOTALP",0.09
"T02",28-OCT-04,"CONDY",65.7
"T02",28-OCT-04,"DOC",10.89
"T02",28-OCT-04,"IRON",0.34
"T02",28-OCT-04,"MAGNESIUM",2.09
"T02",28-OCT-04,"NH4N",0.478
"T02",28-OCT-04,"NO3N",0.732
"T02",28-OCT-04,"PH",4.58
"T02",28-OCT-04,"PO4P",0.093
"T02",28-OCT-04,"POTASSIUM",3.04
"T02",28-OCT-04,"SO4S",1.81
"T02",28-OCT-04,"SODIUM",3.07
"T02",28-OCT-04,"TOTALN",1.62
"T02",28-OCT-04,"ALKY",0
"T02",28-OCT-04,"ALUMINIUM",0.318
"T06",28-OCT-04,"ALUMINIUM",0.423
"T06",28-OCT-04,"CALCIUM",4.6
"T06",28-OCT-04,"CHLORIDE",10.82
"T06",28-OCT-04,"CONDY",64.4
"T06",28-OCT-04,"IRON",0.381
"T06",28-OCT-04,"MAGNESIUM",2.615
"T06",28-OCT-04,"NH4N",0.61
"T06",28-OCT-04,"NO3N",0.71
"T06",28-OCT-04,"PH",5.64
"T06",28-OCT-04,"PHAQCS",5.63
"T06",28-OCT-04,"PHAQCU",5.64
"T06",28-OCT-04,"PO4P",0.099
"T06",28-OCT-04,"POTASSIUM",4.066
"T06",28-OCT-04,"SO4S",1.854
"T06",28-OCT-04,"SODIUM",4.187
"T08",28-OCT-04,"ALUMINIUM",0.29
"T08",28-OCT-04,"CALCIUM",3.24
"T08",28-OCT-04,"CHLORIDE",11.1
"T08",28-OCT-04,"CONDY",62.8
"T08",28-OCT-04,"DOC",9.4
"T08",28-OCT-04,"IRON",0.32
"T08",28-OCT-04,"MAGNESIUM",1.91
"T08",28-OCT-04,"NH4N",0.65
"T08",28-OCT-04,"NO3N",0.751
"T08",28-OCT-04,"PH",5.62
"T08",28-OCT-04,"PHAQCS",3.91
"T08",28-OCT-04,"PHAQCU",3.96
"T08",28-OCT-04,"PO4P",0.095
"T08",28-OCT-04,"POTASSIUM",2.83
"T08",28-OCT-04,"SO4S",1.69
"T08",28-OCT-04,"SODIUM",2.78
"T08",28-OCT-04,"TOTALN",1.41
"T02",28-OCT-04,"CHLORIDE",11.57
"T05",03-NOV-04,"CALCIUM",4.2
"T09",03-NOV-04,"TOTALN",1.417
"T05",03-NOV-04,"MAGNESIUM",2.622
"T05",03-NOV-04,"NH4N",0.068
"T05",03-NOV-04,"NO3N",0.961
"T05",03-NOV-04,"PHAQCS",5.87
"T05",03-NOV-04,"PHAQCU",5.99
"T05",03-NOV-04,"POTASSIUM",4.281
"T05",03-NOV-04,"SO4S",1.852
"T05",03-NOV-04,"SODIUM",4.367
"T09",03-NOV-04,"ALUMINIUM",0.469
"T09",03-NOV-04,"CALCIUM",4.153
"T09",03-NOV-04,"CHLORIDE",11.373
"T09",03-NOV-04,"CONDY",56
"T09",03-NOV-04,"IRON",0.413
"T09",03-NOV-04,"MAGNESIUM",2.557
"T09",03-NOV-04,"NH4N",0.57
"T09",03-NOV-04,"NO3N",0.729
"T09",03-NOV-04,"PH",5.43
"T09",03-NOV-04,"PHAQCS",4.08
"T09",03-NOV-04,"PHAQCU",4.07
"T09",03-NOV-04,"PO4P",0.044
"T09",03-NOV-04,"POTASSIUM",4.073
"T09",03-NOV-04,"SO4S",1.859
"T09",03-NOV-04,"SODIUM",4.129
"T05",03-NOV-04,"CHLORIDE",11.916
"T06",04-NOV-04,"ALUMINIUM",0.419
"T06",04-NOV-04,"SODIUM",4.364
"T06",04-NOV-04,"CHLORIDE",10.91
"T06",04-NOV-04,"CONDY",61
"T06",04-NOV-04,"IRON",0.366
"T06",04-NOV-04,"MAGNESIUM",2.669
"T06",04-NOV-04,"NH4N",0.47
"T06",04-NOV-04,"NO3N",0.71
"T06",04-NOV-04,"PH",5.96
"T06",04-NOV-04,"PHAQCS",5.95
"T06",04-NOV-04,"PHAQCU",5.97
"T06",04-NOV-04,"PO4P",0.086
"T06",04-NOV-04,"POTASSIUM",4.017
"T06",04-NOV-04,"SO4S",1.818
"T06",04-NOV-04,"CALCIUM",4.81
"T03",10-NOV-04,"CHLORIDE",11.86
"T09",10-NOV-04,"NO3N",0.718
"T03",10-NOV-04,"DOC",6.409
"T03",10-NOV-04,"MAGNESIUM",2.385
"T03",10-NOV-04,"NH4N",1.141
"T03",10-NOV-04,"NO3N",0.73
"T03",10-NOV-04,"PH",5.64
"T03",10-NOV-04,"PHAQCS",5.66
"T03",10-NOV-04,"PHAQCU",5.62
"T03",10-NOV-04,"PO4P",0.08
