UID,SITE_ID,YEAR,VISIT_NO,DATE_COL,SITETYPE,PSTL_CODE,LAT_DD83,LON_DD83,AG_ECO9_NM,INDEX_VISIT,ANC,DOC,PH,NTL,PTL,NtoP
1002110,COS9-0924,2013,1,6/18/2013,PROB,CO,39.0766,-106.0064,Western Mountains,Y,2027.81,2.4,8.27,209,48,4.354166667
1002111,GAS9-0919,2013,1,6/19/2013,PROB,GA,34.30315,-84.47051,Southern Appalachians,Y,336.09,2.01,7.26,431,58,7.431034483
1002112,NDSS-1106,2013,1,6/20/2013,PROB,ND,47.18226,-101.7943,Northern Plains,Y,5654.88,10.08,8.06,604,74,8.162162162
1002113,UTRF-0004,2013,1,6/20/2013,HAND,UT,40.49275,-112.5816,Xeric,Y,1477.15,1.28,8.18,346,43,8.046511628
1002114,OHSS-1125,2013,1,6/20/2013,PROB,OH,39.57122,-84.66835,Temperate Plains,Y,5545.85,1.53,8.18,5125,91,56.31868132
1002115,OHRO-1031,2013,1,6/20/2013,PROB,OH,40.52083,-81.30616,Southern Appalachians,Y,1496.64,2.25,7.78,1055,74,14.25675676
1002116,MIRF-0002,2013,1,6/20/2013,HAND,MI,44.14272,-86.01193,Upper Midwest,Y,2853.9,2.13,8.27,211,44,4.795454545
1002117,MORF-0005,2013,1,6/20/2013,HAND,MO,40.11646,-92.76208,Temperate Plains,Y,3183.58,3.89,8.06,345,69,5
1002118,MIS9-0923,2013,1,6/19/2013,PROB,MI,42.5695,-84.5928,Upper Midwest,Y,5118.62,18.84,8.01,7225,94,76.86170213
1002119,MISS-1136,2013,1,6/20/2013,PROB,MI,42.82857,-85.6665,Upper Midwest,Y,5772.4,3.58,8.25,1120,93,12.04301075
1002120,TXS9-0926,2013,2,6/20/2013,PROB,TX,29.91047,-95.49178,Coastal Plains,N,3177.84,6.01,7.73,9963,2559,3.893317702
1002121,MDRO-1014,2013,1,6/21/2013,PROB,MD,39.31389,-77.4119,Southern Appalachians,Y,1859.18,3.17,7.92,2341,159,14.72327044
1002122,ALS9-0918,2013,1,6/20/2013,PROB,AL,32.93231611,-86.36246869,Southern Appalachians,Y,168.46,0.95,7.01,84,40,2.1
1002123,ALSS-1064,2013,1,6/21/2013,PROB,AL,33.11467,-87.11905,Southern Appalachians,Y,988.31,1.78,7.78,368,39,9.435897436
1002124,MNS9-0929,2013,1,6/20/2013,PROB,MN,44.04151,-92.33874,Upper Midwest,Y,4025.6,1.53,8.24,15325,112,136.8303571
1002125,NVS9-0921,2013,1,6/18/2013,PROB,NV,40.7413,-115.5544,Xeric,Y,2689.72,0.94,8.2,373,125,2.984
1002126,NVR9-0920,2013,1,6/20/2013,PROB,NV,41.88666,-114.6866,Xeric,Y,2429.95,3.7,8.22,345,220,1.568181818
1002127,OHS9-0922,2013,1,6/19/2013,PROB,OH,39.97946,-82.38165,Northern Appalachians,Y,2486.22,3.68,7.96,3731,360,10.36388889
1002128,WASS-1140,2013,1,6/19/2013,PROB,WA,46.30527,-123.781,Western Mountains,Y,167.95,1.13,6.97,300,70,4.285714286
1002129,COS9-0925,2013,1,6/19/2013,PROB,CO,37.06135,-105.9829,Xeric,Y,1544,8.05,7.92,619,253,2.446640316
1002130,MIRF-0005,2013,1,6/21/2013,HAND,MI,43.43006,-85.71988,Upper Midwest,Y,2653.09,8.05,8.24,888,39,22.76923077
1002131,WAS9-0919,2013,1,6/20/2013,PROB,WA,46.83757,-123.3863,Western Mountains,Y,382.27,1.76,6.95,251,121,2.074380165
1002132,OHR9-0907,2013,1,6/23/2013,PROB,OH,41.02829,-83.21295,Temperate Plains,Y,3922.57,4.32,8.21,7863,177,44.42372881
1002133,OHRO-1035,2013,1,6/23/2013,PROB,OH,40.63326,-81.54266,Southern Appalachians,Y,2897.27,3.32,8.01,3800,237,16.03375527
1002134,COS9-0922,2013,1,6/20/2013,PROB,CO,37.71407,-106.8382,Western Mountains,Y,459.42,1.96,7.61,179,108,1.657407407
1002135,OHS9-0915,2013,1,6/20/2013,PROB,OH,39.74567,-81.84162,Southern Appalachians,Y,5055.01,3,7.77,235,40,5.875
