LAT_DD83	LON_DD83
31.9829	-91.1396
46.1589	-112.9051
35.6260	-89.8793
45.5098	-101.0848
47.9787	-103.8253
47.8414	-103.9661
44.6867	-92.6913
37.8523	-111.4473
41.2887	-77.3412
41.5166	-81.2232
36.4938	-83.6188
35.7177	-96.3770
37.4704	-88.0964
43.6150	-122.7665
40.9715	-107.0196
37.8503	-89.3357
42.8232	-84.9388
44.8066	-93.0116
35.6763	-89.9377
45.7711	-101.2770
48.0634	-100.9209
36.4587	-82.4214
37.7814	-88.0382
37.5964	-121.1288
37.5255	-89.1879
42.5417	-84.6280
44.4215	-69.7056
45.6207	-102.3782
46.7621	-97.1933
36.5233	-81.9567
37.8250	-87.1513
43.1012	-122.8297
37.8524	-89.1918
33.8813	-93.4905
46.7078	-96.9532
35.6785	-84.8915
43.6495	-124.0956
43.3270	-86.0056
42.1155	-79.2664
47.2502	-96.8441
35.3970	-84.2766
38.8163	-123.0112
43.8751	-123.5026
43.4208	-85.7934
42.6175	-91.2899
31.4311	-91.5056
47.4144	-111.4986
42.0659	-78.4692
44.5011	-69.6761
47.5022	-97.3389
40.9023	-96.6063
43.8274	-91.2719
39.8978	-98.1577
39.3065	-110.4052
37.3103	-80.6812
40.3184	-123.7710
43.6756	-85.4699
42.5608	-90.9403
31.0897	-91.5947
47.4516	-111.3013
42.0807	-78.4236
44.8918	-70.3844
48.1197	-97.1740
42.4491	-102.9990
43.6673	-91.2588
38.3709	-110.7567
41.2085	-80.8106
39.0032	-81.9842
38.9677	-82.0923
39.0766	-106.0064
40.6735	-95.3122
30.9972	-91.6424
44.5204	-101.9941
43.9160	-99.8195
48.4389	-97.4396
42.5314	-90.6412
39.3616	-111.0437
46.7993	-121.0911
43.4989	-70.4642
41.3185	-123.5280
40.8713	-94.9103
44.0031	-70.0986
44.0459	-99.1581
48.9211	-98.0748
36.1793	-105.8292
42.6591	-90.8070
39.4660	-81.4806
35.7493	-97.1343
41.4564	-123.9356
43.8218	-99.4519
48.8391	-98.0057
41.5393	-123.5267
34.4272	-92.3803
43.4399	-70.5563
36.9311	-105.7357
41.8433	-122.8997
45.5651	-92.7953
48.8292	-100.0674
