"","DATE_COL","SITE_ID","LAT","LON","ECO_TYPE","DOC","NO3 as N","PO4 as P","UNITS"
"127",2011,"EU_1414","48.26102","13.03435","River/Stream",2.15556,1.830938568219,0.0205556,"mg/L"
"128",2012,"EU_1414","48.26102","13.03435","River/Stream",1.4625,1.525920481719,0.021,"mg/L"
"129",2011,"EU_1416","48.55699","13.43859","River/Stream",1.9875,1.2470739471,0.0225238,"mg/L"
"130",2012,"EU_1416","48.55699","13.43859","River/Stream",1.46364,1.229242889781,0.0257778,"mg/L"
"131",2010,"EU_1415","49.6483","6.98697","River/Stream",2.82727,1.320078276,0.02,"mg/L"
"132",2011,"EU_1415","49.6483","6.98697","River/Stream",2.48333,1.35258020325,0.02,"mg/L"
"133",2012,"EU_1415","49.6483","6.98697","River/Stream",3.21667,1.338999397956,0.02,"mg/L"
"134",2010,"EU_1417","49.6361","7.00514","River/Stream",2.7,0.9505113619815,0.02,"mg/L"
"135",2011,"EU_1417","49.6361","7.00514","River/Stream",2.61667,0.91255411125,0.02,"mg/L"
"136",2009,"EU_1418","48.34667","13.40754","River/Stream",3.3417,2.385061425756,0.0879167,"mg/L"
"137",2010,"EU_1418","48.34667","13.40754","River/Stream",2.7,2.80766648475,0.1205,"mg/L"
"138",2011,"EU_1418","48.34667","13.40754","River/Stream",4.33,2.645986897719,0.13825,"mg/L"
"139",2012,"EU_1418","48.34667","13.40754","River/Stream",3.93636,2.981846813031,0.1385,"mg/L"
"140",2010,"EU_1419","49.19693","7.02831","River/Stream",4.39231,2.691699608322,0.146769,"mg/L"
"141",2011,"EU_1419","49.19693","7.02831","River/Stream",4.22308,2.473996699305,0.166154,"mg/L"
"142",2012,"EU_1419","49.19693","7.02831","River/Stream",4.07692,2.580463012383,0.166154,"mg/L"
"143",2009,"EU_1420","48.52066","13.70222","River/Stream",2.505,1.9751171175,0.0289167,"mg/L"
"144",2010,"EU_1420","48.52066","13.70222","River/Stream",2.55,2.723491493469,0.0382083,"mg/L"
"145",2011,"EU_1420","48.52066","13.70222","River/Stream",2.62222,2.258463918969,0.0378333,"mg/L"
"146",2012,"EU_1420","48.52066","13.70222","River/Stream",2.28889,2.114675392815,0.0361667,"mg/L"
"147",2010,"EU_1422","49.40935","6.64741","River/Stream",4.63846,2.768624169678,0.171462,"mg/L"
"148",2011,"EU_1422","49.40935","6.64741","River/Stream",4.63846,2.591693678322,0.174615,"mg/L"
"149",2012,"EU_1422","49.40935","6.64741","River/Stream",4.44615,2.935554068034,0.177692,"mg/L"
"150",2009,"EU_1423","48.35795","13.9936","River/Stream",4.3442,3.141016251219,0.0644167,"mg/L"
"151",2010,"EU_1423","48.35795","13.9936","River/Stream",3.75,3.464375425281,0.0821667,"mg/L"
"152",2011,"EU_1423","48.35795","13.9936","River/Stream",3.46364,4.966654505148,0.0799091,"mg/L"
"153",2012,"EU_1423","48.35795","13.9936","River/Stream",3.77273,3.753862590852,0.091,"mg/L"
"154",2009,"EU_1425","48.24742","14.32475","River/Stream",1.9833,1.801936848519,0.0121667,"mg/L"
"155",2010,"EU_1425","48.24742","14.32475","River/Stream",1.74167,2.0151194895,0.0123125,"mg/L"
"156",2011,"EU_1425","48.24742","14.32475","River/Stream",1.87143,2.004668869815,0.0198571,"mg/L"
"157",2012,"EU_1425","48.24742","14.32475","River/Stream",1.6875,1.649327799339,0.0122273,"mg/L"
"158",2010,"EU_1426","49.34215","6.59291","River/Stream",4.78462,3.373280023644,0.159154,"mg/L"
"159",2011,"EU_1426","49.34215","6.59291","River/Stream",4.54615,2.762473804983,0.155385,"mg/L"
"160",2012,"EU_1426","49.34215","6.59291","River/Stream",4.76154,3.748372265295,0.171538,"mg/L"
"161",2009,"EU_1428","48.08597","13.83805","River/Stream",2.1892,1.530090729,0.00620833,"mg/L"
"162",2010,"EU_1428","48.08597","13.83805","River/Stream",1.93333,1.62759651075,0.0167708,"mg/L"
"163",2011,"EU_1428","48.08597","13.83805","River/Stream",2.2,1.837378950111,0.02075,"mg/L"
"164",2012,"EU_1428","48.08597","13.83805","River/Stream",2.0125,1.574263348281,0.01975,"mg/L"
"165",2010,"EU_1427","53.145","11.2643","River/Stream",7.85417,1.0550625615,0.041875,"mg/L"
"166",2009,"EU_1429","48.19949","14.26613","River/Stream",2.1008,4.113573920469,0.03225,"mg/L"
"167",2010,"EU_1429","48.19949","14.26613","River/Stream",2.03333,4.29775484175,0.0465833,"mg/L"
"168",2011,"EU_1429","48.19949","14.26613","River/Stream",2.09,4.244801701815,0.0485455,"mg/L"
"169",2012,"EU_1429","48.19949","14.26613","River/Stream",2.04,3.893560874469,0.0461538,"mg/L"
"170",2010,"EU_1430","49.13579","7.1822","River/Stream",3.38461,3.214040581305,0.146154,"mg/L"
"171",2011,"EU_1430","49.13579","7.1822","River/Stream",3.44615,2.995557626034,0.15,"mg/L"
"172",2012,"EU_1430","49.13579","7.1822","River/Stream",3.33846,2.909252508444,0.152308,"mg/L"
"173",2009,"EU_1431","48.23985","14.51108","River/Stream",2.3058,2.011789292031,0.0137917,"mg/L"
"174",2010,"EU_1431","48.23985","14.51108","River/Stream",1.75,3.970235421,0.0225833,"mg/L"
"175",2011,"EU_1431","48.23985","14.51108","River/Stream",2.2125,2.286285568695,0.03305,"mg/L"
"176",2012,"EU_1431","48.23985","14.51108","River/Stream",2.24444,2.04762141675,0.0336,"mg/L"
"177",2009,"EU_1432","48.26595","14.44966","River/Stream",4.4617,3.51270829125,0.0755,"mg/L"
"178",2010,"EU_1432","48.26595","14.44966","River/Stream",4.06667,4.378589634969,0.0933333,"mg/L"
"179",2011,"EU_1432","48.26595","14.44966","River/Stream",3.95556,4.108573623969,0.124833,"mg/L"
"180",2012,"EU_1432","48.26595","14.44966","River/Stream",4,3.823866741852,0.102,"mg/L"
"181",2009,"EU_1436","47.28474","12.87638","River/Stream",1.0208,0.3483536561469,0.0095625,"mg/L"
"182",2010,"EU_1436","47.28474","12.87638","River/Stream",0.598333,0.36652173345,0.00341667,"mg/L"
"183",2011,"EU_1436","47.28474","12.87638","River/Stream",0.75,0.376272311625,0.0045,"mg/L"
"184",2012,"EU_1436","47.28474","12.87638","River/Stream",0.81,0.3946904037531,0.004875,"mg/L"
"185",2009,"EU_1437","47.16323","13.10776","River/Stream",0.65,0.38252268225,0.00460417,"mg/L"
"186",2010,"EU_1437","47.16323","13.10776","River/Stream",0.384167,0.3626045011719,0.00233333,"mg/L"
"187",2009,"EU_1439","47.58507","13.17595","River/Stream",1.6125,0.4733610686469,0.0076875,"mg/L"
"188",2010,"EU_1439","47.58507","13.17595","River/Stream",0.925833,0.5744510629281,0.00229167,"mg/L"
"189",2011,"EU_1439","47.58507","13.17595","River/Stream",1.5825,0.6027627417111,0.00225,"mg/L"
"190",2012,"EU_1439","47.58507","13.17595","River/Stream",1.2825,0.5574500548281,0.00383333,"mg/L"
"191",2009,"EU_1440","47.58084","13.1744","River/Stream",0.9708,0.41752475775,0.0112292,"mg/L"
"192",2010,"EU_1440","47.58084","13.1744","River/Stream",0.605833,0.4686107869719,0.00433333,"mg/L"
"193",2011,"EU_1440","47.58084","13.1744","River/Stream",0.891818,0.4522088143926,0.0053,"mg/L"
"194",2012,"EU_1440","47.58084","13.1744","River/Stream",0.89,0.4911961262031,0.00821429,"mg/L"
"195",2009,"EU_1442","47.752","13.07933","River/Stream",1.2208,0.5208638853969,0.00991667,"mg/L"
"196",2010,"EU_1442","47.752","13.07933","River/Stream",1.10833,0.5198638260969,0.004625,"mg/L"
"197",2011,"EU_1442","47.752","13.07933","River/Stream",1.3725,0.5516687120148,0.00316667,"mg/L"
"198",2012,"EU_1442","47.752","13.07933","River/Stream",1.17545,0.5580330894,0.0074375,"mg/L"
"199",2010,"EU_1446","47.62942","9.5978","River/Stream",3.48462,2.1751289775,0.019731,"mg/L"
"200",2011,"EU_1446","47.62942","9.5978","River/Stream",4.12308,2.277055021356,0.0345,"mg/L"
"201",2012,"EU_1446","47.62942","9.5978","River/Stream",3.18461,1.638557160678,0.016692,"mg/L"
"202",2010,"EU_1447","47.67201","9.53494","River/Stream",6.48461,3.892540813983,0.048385,"mg/L"
"203",2011,"EU_1447","47.67201","9.53494","River/Stream",5.92308,3.40020162,0.053615,"mg/L"
"204",2012,"EU_1447","47.67201","9.53494","River/Stream",6.26154,3.361739339322,0.042923,"mg/L"
"205",2010,"EU_1448","47.6588","9.49639","River/Stream",3.63077,3.669447585339,0.042462,"mg/L"
"206",2011,"EU_1448","47.6588","9.49639","River/Stream",3.53846,2.930943794661,0.054231,"mg/L"
"207",2012,"EU_1448","47.6588","9.49639","River/Stream",3.5,3.169417935339,0.043615,"mg/L"
"208",2012,"EU_1496","57.32242","-7.3297","Lake",8.7355,0.0740043882,0.004,"mg/L"
"209",2012,"EU_1499","56.92936","-4.53599","Lake",4.5901,0.11150661195,0.0045,"mg/L"
"210",2012,"EU_1501","57.11643","-3.92172","Lake",7.9965,0.18231081039,0.0045,"mg/L"
"211",2012,"EU_1505","57.16694","-3.70322","Lake",6.2002,0.09770579361,0.0045,"mg/L"
"212",2012,"EU_1507","57.07874","-2.92544","Lake",5.5414,0.17281024704,0.0051,"mg/L"
"213",2012,"EU_1513","57.60924","-1.86285","Lake",14.7308,0.91495425357,0.005,"mg/L"
"214",2012,"EU_1514","56.17034","-4.27187","Lake",6.4412,0.09680574024,0.007,"mg/L"
