"","DATE_COL","SITE_ID","DOC","NO3 as N","TP","LAT","LON","ECO_TYPE","UNITS"
"108","2008-07-09","NLA_108",0.41,0.05805,0.0148975,45.3005,-123.4775,"River/Stream","mg/L"
"109","2008-07-09","NLA_109",3.15,0.00478,0.0824225,37.0614,-105.9829,"River/Stream","mg/L"
"110","2008-07-09","NLA_110",0.8,0.04572,0.0046613,32.2804,-97.9706,"River/Stream","mg/L"
"111","2008-07-09","NLA_111",6.64,2.51326,0.035199,43.3415,-83.6244,"River/Stream","mg/L"
"112","2008-07-09","NLA_112",2.15,0.92866,0.1101063,32.0083,-83.2955,"River/Stream","mg/L"
"113","2008-07-09","NLA_113",33.59,0.04078,0.05752,38.2701,-75.2766,"River/Stream","mg/L"
"114","2008-07-09","NLA_114",11.84,0,0.1771763,46.9902,-102.8888,"River/Stream","mg/L"
"115","2008-07-09","NLA_115",2.12,0.02555,0.018745,37.5063,-88.5368,"River/Stream","mg/L"
"116","2008-07-09","NLA_116",3.59,0,0.0376013,37.5519,-113.4091,"River/Stream","mg/L"
"117","2008-07-09","NLA_117",4.54,0.80007,0.1044188,39.7343,-93.9403,"River/Stream","mg/L"
"118","2008-07-09","NLA_118",2.68,2.2192,0.210653,37.4297,-93.2445,"River/Stream","mg/L"
"119","2008-07-09","NLA_119",5.26,0.05413,0.0763113,39.7379,-101.8769,"River/Stream","mg/L"
"120","2008-07-09","NLA_120",2.67,0.64682,0.0271063,42.4497,-103.2627,"River/Stream","mg/L"
"121","2008-07-09","NLA_121",1.86,0.71147,0.05562,40.4803,-101.5834,"River/Stream","mg/L"
"122","2008-07-09","NLA_122",1.13,0.00576,0.0111375,45.0232,-114.4462,"River/Stream","mg/L"
"123","2008-07-09","NLA_123",1.97,0.0038,0.0072763,48.9561,-119.6933,"River/Stream","mg/L"
"124","2008-07-10","NLA_124",0.93,0,0.0243888,40.3949,-116.1207,"River/Stream","mg/L"
"125","2008-07-10","NLA_125",5.32,1.94389,0.1318575,41.1572,-86.5854,"River/Stream","mg/L"
"126","2008-07-10","NLA_126",7.44,1.84089,0.1068425,43.0563,-85.5942,"River/Stream","mg/L"
"127","2008-07-10","NLA_127",4.79,1.56395,0.074915,38.6891,-75.7699,"River/Stream","mg/L"
"128","2008-07-10","NLA_128",8.89,0.15922,0.0487763,47.0152,-108.165,"River/Stream","mg/L"
"129","2008-07-10","NLA_129",2.5,0.02842,0.0095538,43.4326,-71.65,"River/Stream","mg/L"
"130","2008-07-10","NLA_130",7.31,0.73675,0.15696,38.5904,-88.748,"River/Stream","mg/L"
"131","2008-07-10","NLA_131",0.74,0.91833,0.0334175,37.3186,-113.7169,"River/Stream","mg/L"
"132","2008-07-11","NLA_132",6.4,0,0.04554,37.3659,-108.5933,"River/Stream","mg/L"
"133","2008-07-11","NLA_133",5.05,1.76928,0.1261775,41.1726,-86.517,"River/Stream","mg/L"
"134","2008-07-11","NLA_134",6.78,1.78662,0.1363238,43.0223,-86.024,"River/Stream","mg/L"
"135","2008-07-11","NLA_135",3.61,0.60699,0.11327,42.0905,-71.2976,"River/Stream","mg/L"
"136","2008-07-11","NLA_136",3.17,1.71472,0.0152163,37.0769,-113.597,"River/Stream","mg/L"
"137","2008-07-11","NLA_137",9.12,0.00054,0.0581038,32.5481,-93.781,"River/Stream","mg/L"
"138","2008-07-11","NLA_138",3.26,1.00325,0.071585,40.3946,-82.5034,"River/Stream","mg/L"
"139","2008-07-11","NLA_139",3.29,0.10085,0.0274188,38.4803,-93.6143,"River/Stream","mg/L"
"140","2008-07-12","NLA_140",5.34,0.05359,0.0806513,32.0662,-93.4141,"River/Stream","mg/L"
"141","2008-07-13","NLA_141",4.35,1.40977,0.1025063,40.9064,-86.7115,"River/Stream","mg/L"
"142","2008-07-14","NLA_143",4.74,0.06413,0.1630613,39.9881,-108.778,"River/Stream","mg/L"
"143","2008-07-14","NLA_144",17.62,0,0.2481663,30.1884,-83.6082,"River/Stream","mg/L"
"144","2008-07-14","NLA_145",2.96,0.96396,0.0448163,39.4573,-77.7981,"River/Stream","mg/L"
"145","2008-07-14","NLA_146",0.74,0.0018,0.002305,46.5856,-111.2657,"River/Stream","mg/L"
"146","2008-07-14","NLA_147",3.57,0.20065,0.010135,43.4303,-72.395,"River/Stream","mg/L"
"147","2008-07-14","NLA_149",6.51,0.15683,0.0686763,43.3496,-104.2957,"River/Stream","mg/L"
"148","2008-07-14","NLA_150",6.32,0.00043,0.1916475,32.7846,-91.9574,"River/Stream","mg/L"
"149","2008-07-14","NLA_151",1.15,0.21795,0.0086488,38.5881,-80.8945,"River/Stream","mg/L"
"150","2008-07-14","NLA_152",7.73,0.03008,0.0870788,39.2088,-92.5346,"River/Stream","mg/L"
"151","2008-07-14","NLA_153",5.64,1.36328,0.1062713,39.3588,-75.6755,"River/Stream","mg/L"
"152","2008-07-15","NLA_154",1.47,0.21067,0.03669,37.7866,-96.43,"River/Stream","mg/L"
"153","2008-07-15","NLA_155",1,0.00363,0.0288438,41.7152,-115.229,"River/Stream","mg/L"
"154","2008-07-15","NLA_156",2.71,0.0953,0.002425,39.7309,-108.6747,"River/Stream","mg/L"
"155","2008-07-15","NLA_157",3.11,7.90571,0.2459038,39.9689,-87.4721,"River/Stream","mg/L"
"156","2008-07-15","NLA_158",3.17,0.55653,0.03042,39.5986,-77.8846,"River/Stream","mg/L"
"157","2008-07-15","NLA_159",3.04,0,0.0342188,46.4577,-110.3713,"River/Stream","mg/L"
"158","2008-07-15","NLA_161",3.15,0.24388,0.0185313,42.204,-72.5905,"River/Stream","mg/L"
"159","2008-07-15","NLA_162",4.37,0,0.0133113,44.3869,-104.6773,"River/Stream","mg/L"
"160","2008-07-15","NLA_163",1.28,0.48879,0.0544213,41.7978,-113.7102,"River/Stream","mg/L"
"161","2008-07-15","NLA_164",4.64,0.14712,0.0366013,44.7831,-72.859,"River/Stream","mg/L"
"162","2008-07-15","NLA_165",6.74,2.36542,0.05872,39.3098,-82.9643,"River/Stream","mg/L"
"163","2008-07-15","NLA_166",0.89,0.02868,0.00326,48.2525,-120.1167,"River/Stream","mg/L"
"164","2008-07-15","NLA_167",0.88,0.03421,0.0041963,37.7783,-91.0322,"River/Stream","mg/L"
"165","2008-07-15","NLA_168",4.66,2.40595,0.3022338,40.1107,-97.0579,"River/Stream","mg/L"
"166","2008-07-15","NLA_169",1.33,0.03632,0.0040863,46.8603,-116.039,"River/Stream","mg/L"
"167","2008-07-15","NLA_170",3.53,0,0.15484,35.0468,-98.3083,"River/Stream","mg/L"
"168","2008-07-16","NLA_171",4.06,0.05639,0.0715725,32.9748,-92.0764,"River/Stream","mg/L"
"169","2008-07-16","NLA_172",4.25,0.00361,0.1325113,41.1316,-115.4998,"River/Stream","mg/L"
"170","2008-07-16","NLA_173",0.76,0.18297,0.0121963,39.643,-107.711,"River/Stream","mg/L"
"171","2008-07-16","NLA_174",2.31,5.70577,0.0540963,40.3174,-87.3004,"River/Stream","mg/L"
"172","2008-07-16","NLA_175",2.55,0.96129,0.0473175,39.1799,-77.5074,"River/Stream","mg/L"
"173","2008-07-16","NLA_176",1.63,0.01483,0.0416313,46.9309,-110.8698,"River/Stream","mg/L"
"174","2008-07-16","NLA_177",2.29,1.46216,0.0467613,41.0421,-74.0473,"River/Stream","mg/L"
"175","2008-07-16","NLA_178",3.47,0.18053,0.0098288,43.3512,-72.3934,"River/Stream","mg/L"
"176","2008-07-16","NLA_180",5.28,0.12703,0.3223538,44.7331,-106.1027,"River/Stream","mg/L"
"177","2008-07-16","NLA_181",10.38,0,0.0654525,44.6254,-105.3017,"River/Stream","mg/L"
"178","2008-07-16","NLA_182",1.56,0,0.0789863,41.7932,-113.837,"River/Stream","mg/L"
"179","2008-07-16","NLA_183",0.59,0.00474,0.0051913,47.4629,-120.6611,"River/Stream","mg/L"
"180","2008-07-17","NLA_184",1.01,0.00226,0.0257963,38.7815,-117.3402,"River/Stream","mg/L"
"181","2008-07-17","NLA_185",1.02,0.00337,0.0127788,45.1145,-116.8564,"River/Stream","mg/L"
"182","2008-07-17","NLA_186",5.85,2.62319,0.2831063,40.8675,-85.6082,"River/Stream","mg/L"
"183","2008-07-17","NLA_187",8.99,0.19121,0.0386425,44.0295,-85.0382,"River/Stream","mg/L"
"184","2008-07-17","NLA_188",2.61,1.09439,0.0490113,39.0664,-77.3896,"River/Stream","mg/L"
"185","2008-07-17","NLA_189",3.04,0.16567,0.0405438,47.499,-110.7164,"River/Stream","mg/L"
"186","2008-07-17","NLA_191",3.95,0.24807,0.0326225,42.1588,-72.5767,"River/Stream","mg/L"
"187","2008-07-17","NLA_192",11.34,0,0.0405675,47.2558,-101.8084,"River/Stream","mg/L"
"188","2008-07-17","NLA_193",6.37,0.33838,0.1287875,40.5821,-94.1479,"River/Stream","mg/L"
"189","2008-07-17","NLA_194",4.48,0.24981,0.11561,40.8346,-93.8599,"River/Stream","mg/L"
"190","2008-07-17","NLA_195",1.42,0.00385,0.00248,45.0792,-116.0948,"River/Stream","mg/L"
"191","2008-07-18","NLA_196",2.18,0.00734,0.023405,45.1931,-118.7041,"River/Stream","mg/L"
"192","2008-07-18","NLA_197",3.46,0.01743,0.01432,44.6475,-84.0945,"River/Stream","mg/L"
"193","2008-07-18","NLA_198",2.45,0.17413,0.0227388,41.1105,-74.8429,"River/Stream","mg/L"
"194","2008-07-18","NLA_199",5.38,0.01574,0.0658263,31.3742,-92.5609,"River/Stream","mg/L"
"195","2008-07-19","NLA_200",1.22,0.00206,0.0083375,44.9015,-118.477,"River/Stream","mg/L"
"196","2008-07-19","NLA_201",0.35,1.73081,0.0140738,40.8149,-75.0403,"River/Stream","mg/L"
"197","2008-07-19","NLA_202",5.25,0.03732,0.0651513,31.8147,-93.0575,"River/Stream","mg/L"
"198","2008-07-20","NLA_203",0.58,0.00136,0.0042788,44.8515,-118.1429,"River/Stream","mg/L"
"199","2008-07-20","NLA_204",6.86,0.01845,0.01777,45.0829,-83.4906,"River/Stream","mg/L"
"200","2008-07-20","NLA_205",5.8,1.18162,0.0531263,42.6317,-72.129,"River/Stream","mg/L"
"201","2008-07-20","NLA_206",5.4,0,0.0614813,31.6265,-92.9092,"River/Stream","mg/L"
"202","2008-07-21","NLA_207",1.79,0.07922,0.0888413,44.8984,-117.4242,"River/Stream","mg/L"
"203","2008-07-21","NLA_208",6.8,0.54476,0.0185013,38.828,-76.9811,"River/Stream","mg/L"
"204","2008-07-21","NLA_209",1.15,0.00388,0.00179,46.1668,-110.5491,"River/Stream","mg/L"
"205","2008-07-21","NLA_210",24.72,0.19006,0.1948663,47.3046,-102.1929,"River/Stream","mg/L"
"206","2008-07-21","NLA_211",3.6,0.06607,0.0259325,39.2106,-81.1528,"River/Stream","mg/L"
"207","2008-07-21","NLA_212",2.12,0.01532,0.0462513,42.0073,-115.2197,"River/Stream","mg/L"
"208","2008-07-22","NLA_213",8.27,0.04569,0.3873913,38.1989,-95.4277,"River/Stream","mg/L"
"209","2008-07-22","NLA_214",2.3,0,0.02351,40.7024,-116.5235,"River/Stream","mg/L"
"210","2008-07-22","NLA_215",5.63,0.01902,0.1004963,40.4102,-118.3154,"River/Stream","mg/L"
"211","2008-07-22","NLA_216",3.34,0.19943,0.2936513,45.3681,-119.4463,"River/Stream","mg/L"
"212","2008-07-22","NLA_217",28.8,0.07783,0.0335663,46.5548,-85.1166,"River/Stream","mg/L"
"213","2008-07-22","NLA_218",3.73,0.09623,0.1179463,38.4407,-76.6971,"River/Stream","mg/L"
"214","2008-07-22","NLA_219",1.08,0,0.0103325,34.5573,-119.2497,"River/Stream","mg/L"
"215","2008-07-22","NLA_220",9.05,0,4.864513,41.2537,-103.6114,"River/Stream","mg/L"
"216","2008-07-22","NLA_221",3.3,0.04339,0.044865,36.1106,-105.7319,"River/Stream","mg/L"
"217","2008-07-22","NLA_222",1.78,0.90447,0.0792838,46.2712,-119.5705,"River/Stream","mg/L"
"218","2008-07-22","NLA_223",4.07,0.06789,0.05631,31.1524,-92.809,"River/Stream","mg/L"
"219","2008-07-22","NLA_224",2.46,0.00677,0.0196675,39.1314,-81.3443,"River/Stream","mg/L"
"220","2008-07-22","NLA_225",4.19,0.01174,0.0372138,40.6078,-91.6834,"River/Stream","mg/L"
"221","2008-07-22","NLA_226",1.39,0.04363,0.0535763,42.179,-114.222,"River/Stream","mg/L"
"222","2008-07-22","NLA_227",6.46,0.00035,0.049375,31.9345,-95.4334,"River/Stream","mg/L"
"223","2008-07-22","NLA_228",8.78,0.00673,0.1501,47.3791,-102.7053,"River/Stream","mg/L"
"224","2008-07-23","NLA_229",2.26,0,0.0277113,40.6497,-116.779,"River/Stream","mg/L"
"225","2008-07-23","NLA_230",2.56,0,0.08122,41.0056,-117.3393,"River/Stream","mg/L"
"226","2008-07-23","NLA_231",1.58,1.06641,0.0539375,44.6232,-119.6383,"River/Stream","mg/L"
"227","2008-07-23","NLA_232",8.48,0.29614,0.0236863,43.4299,-85.7194,"River/Stream","mg/L"
"228","2008-07-23","NLA_233",2.96,0.82295,0.0915913,38.6517,-77.1246,"River/Stream","mg/L"
"229","2008-07-23","NLA_234",2.25,0,0.0455825,46.2509,-109.7696,"River/Stream","mg/L"
"230","2008-07-23","NLA_235",3.29,0.53615,0.0903075,42.8138,-71.001,"River/Stream","mg/L"
"231","2008-07-23","NLA_236",2.79,0,0.197325,34.7477,-120.054,"River/Stream","mg/L"
"232","2008-07-23","NLA_237",10.29,0.3542,0.976256,47.1296,-102.2342,"River/Stream","mg/L"
"233","2008-07-23","NLA_238",3.73,0.00292,0.0194063,36.4358,-105.2366,"River/Stream","mg/L"
"234","2008-07-23","NLA_239",1.21,0.16768,0.0726,46.2762,-118.1925,"River/Stream","mg/L"
"235","2008-07-23","NLA_240",2.07,0.01538,0.0252638,39.4783,-80.8802,"River/Stream","mg/L"
"236","2008-07-23","NLA_241",1.84,0,0.022595,37.8895,-93.7208,"River/Stream","mg/L"
"237","2008-07-23","NLA_242",2.37,0,0.0463238,42.0475,-114.4203,"River/Stream","mg/L"
"238","2008-07-23","NLA_243",5.9,0.00058,0.0241938,30.8817,-93.5725,"River/Stream","mg/L"
"239","2008-07-24","NLA_244",2.91,0.00411,0.1334188,40.91,-117.9097,"River/Stream","mg/L"
"240","2008-07-24","NLA_245",2.47,0,0.0681388,40.7882,-117.0442,"River/Stream","mg/L"
"241","2008-07-24","NLA_246",8.64,0.03588,0.0259538,46.8843,-88.5344,"River/Stream","mg/L"
"242","2008-07-24","NLA_247",3.54,0.0924,0.0092288,44.2682,-85.9963,"River/Stream","mg/L"
"243","2008-07-24","NLA_248",2.91,0.76315,0.0768075,38.6158,-77.1686,"River/Stream","mg/L"
"244","2008-07-24","NLA_249",1.07,0.00536,0.0732013,45.8377,-110.0458,"River/Stream","mg/L"
"245","2008-07-24","NLA_250",0.99,0.01989,0.0213475,37.3288,-121.6749,"River/Stream","mg/L"
"246","2008-07-24","NLA_251",5.51,1.82226,1.572669,41.5408,-102.716,"River/Stream","mg/L"
"247","2008-07-25","NLA_252",4.44,0.132,0.0122425,44.5908,-85.0781,"River/Stream","mg/L"
"248","2008-07-25","NLA_253",3.54,0.64638,0.085885,41.0955,-74.1483,"River/Stream","mg/L"
"249","2008-07-25","NLA_254",4.32,0.01901,0.0914638,36.5977,-106.5009,"River/Stream","mg/L"
"250","2008-07-25","NLA_255",5.61,0.00913,0.0363788,46.6064,-90.6885,"River/Stream","mg/L"
"251","2008-07-26","NLA_256",1.69,0.06722,0.0091663,44.8453,-84.8329,"River/Stream","mg/L"
"252","2008-07-27","NLA_257",5,0.8937,0.0905788,40.6246,-74.4744,"River/Stream","mg/L"
"253","2008-07-27","NLA_259",10.38,0.03529,0.0265763,45.666,-91.1797,"River/Stream","mg/L"
"254","2008-07-28","NLA_260",2.41,0,0.0815581,40.6972,-118.1007,"River/Stream","mg/L"
"255","2008-07-28","NLA_261",5.15,0,0.0417881,37.7972,-103.3775,"River/Stream","mg/L"
"256","2008-07-28","NLA_262",4.36,0.0429,0.0080019,44.6125,-84.4574,"River/Stream","mg/L"
