"","DATE_COL","SITE_ID","DOC","NO3 as N","PO4 as P","UNITS","LAT","LON","ECO_TYPE"
"80",2018-08-29,"QU02OD3004",5.94,0.025,0.036,"mg/L",46.2454,-72.6512,"River/Stream"
"81",2018-08-29,"QU02OF3004",8.23,0.42,0.036,"mg/L",46.0664,-72.8122,"River/Stream"
"82",2018-08-29,"QU02OG3007",7.7,0.025,0.0405,"mg/L",46.0051,-72.9101,"River/Stream"
"83",2018-09-04,"QU02LB9001",6.72,0.15,0.038,"mg/L",45.5676,-74.3799,"River/Stream"
"84",2018-09-05,"QU02OD3004",5.93,0.025,0.036,"mg/L",46.2454,-72.6512,"River/Stream"
"85",2018-09-05,"QU02OF3004",7.18,0.39,0.036,"mg/L",46.0664,-72.8122,"River/Stream"
"86",2018-09-05,"QU02OG3007",7.46,0.91,0.064,"mg/L",46.0051,-72.9101,"River/Stream"
"87",2018-09-05,"QU02OJ0052",3.93,0.12,0.037,"mg/L",46.034,-73.1176,"River/Stream"
"88",2018-09-06,"QU02OB9004",5.87,0.42,0.0415,"mg/L",45.8744,-73.2806,"River/Stream"
"89",2018-09-17,"QU02NG3013",6.55,0.08,0.0365,"mg/L",46.382,-72.6105,"River/Stream"
"90",2018-09-17,"QU02OD9009",3.1,0.09,0.0365,"mg/L",46.3116,-72.546,"River/Stream"
"91",2018-09-19,"QU02PH9024",3.12,0.14,0.037,"mg/L",46.8071,-71.19,"River/Stream"
"92",2018-09-25,"QU02NG3020",3.3,0.08,0.0365,"mg/L",46.6776,-72.8652,"River/Stream"
