Master_Site,Site_Code,Date,Rep,CaQual,Ca,MgQual,Mg,NaQual,Na,KQual,K,SO4Qual,SO4,ClQual,Cl,NO3Qual,NO3,NH4Qual,NH4,NO2Qual,NO2,DOCQual,DOC,pHQual,pH,AlkalinityQual,Alkalinity,AlQual,Al,Total_NQual,Total_N,TONQual,TON,PO4_PQual,PO4_P,ConductivityQual,Conductivity,SiQual,Si,FeQual,Fe,POMQual,POM,POCQual,POC,SalinityQual,Salinity,FQual,F,BrQual,Br,TDPQual,TDP,LiQual,Li,BeQual,Be,Al27Qual,Al27,ScQual,Sc,VQual,V,CrQual,Cr,MnQual,Mn,Fe57Qual,Fe57,Ni58Qual,Ni58,CoQual,Co,Ni60Qual,Ni60,CuQual,Cu,ZnQual,Zn,AsQual,As,SeQual,Se,RbQual,Rb,SrQual,Sr,MoQual,Mo,CdQual,Cd,SbQual,Sb,CsQual,Cs,BaQual,Ba,PbQual,Pb,UQual,U,BQual,B,SQual,S,LaQual,La,CeQual,Ce,PrQual,Pr,WQual,W,TiQual,Ti,SnQual,Sn
Coed y Brain,CC59,10-Dec-08,1,,1285,,446.667,,330,,65.641,,277.5,,360.563,,225.714,<,0.714,,,,3.44,,7.17,,1350,<,2,,3.4,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coed y Brain,CC59,06-Mar-09,1,,1520,,527.5,,406.087,,59.744,,313.125,,507.042,,262.143,<,0.714,<,0.005,,2.51,,7.61,,1500,<,2,,3.93,,,,0.023,,263,,2.67,,6,,,,,,,,0.041,,0.059,,0.047,,0.888,,0.007,,8.28,,0.729,,0.111,,0.123,,1.18,<,1,,0.494,,0.041,,0.311,,26.8,,5.33,,0.22,,0.23,,0.83,,110,,0.063,,0.006,,0.012,<,0.002,,8.49,<,0.06,,0.061,,11.4,,5.32,,0.003,,-0.006,,0.001,<,0.01,,0.707,<,0.006
Coed y Brain,CC59,10-Jun-09,1,,1595,,610.833,,366.087,,57.949,,371.875,,436.62,,229.286,,2.071,,0.013,,1.77,,7.8,,1700,,9,,3.22,,,,0.045,,276,,2.96,,5,,,,,,,,0.043,,0.061,,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,6.23,,,,,,,,,,,,
Coed y Brain,CC59,10-Sep-09,1,,1545,,555,,387.391,,76.41,,321.25,,394.366,,220.714,,1.429,,,,6.9,,7.67,,1820,,12,,3,,,,,,256,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coed y Brain,CC59,09-Dec-09,1,,1115,,361.667,,331.739,,64.872,,202.5,,383.099,,218.571,,1.071,,,,2.66,,6.82,,1210,,21,,3.2,,,,,,195,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coed y Brain,CC59,04-Mar-10,1,,1455,,516.667,,355.652,,62.564,,293.75,,422.535,,242.143,,10.357,,,,1.85,,7.44,,1810,,12,,3.8,,,,,,240,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coed y Brain,CC59,02-Jun-10,1,,1635,,596.667,,371.304,,77.949,,316.25,,450.704,,254.286,,2.143,,,,1.9,,7.57,,1600,<,33,,3.7,,,,,,274,,,<,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,25-Sep-07,1,,122,,56.667,,163.913,,10.256,,56.25,,174.648,,11.143,<,0.714,,,,8,,6.56,,70,,110,,0.68,,,,,,,,,,260,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,08-Oct-07,1,,284,,113.333,,258.696,,16.487,,91.875,,259.718,,36.071,,3.5,,,,3.5,,7.07,,229,,29,,0.697,,,,,,,,,,147,,1.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,24-Oct-07,1,,281.5,,112.5,,246.087,,15.026,,91.875,,259.437,,28.929,,2.929,,,,3.9,,7.3,,245,,27,,0.532,,,,,,,,,,159,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,07-Nov-07,1,,243,,98.333,,232.609,,15.128,,86.875,,249.859,,28.714,,1.143,,,,4,,7.17,,220,,26,,0.505,,,,,,,,,,198,,0.4,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,20-Nov-07,1,,225,,91.667,,238.696,,15.205,,76.875,,267.887,,24.5,,1.214,,,,4.6,,6.72,,152,,40,,0.503,,,,,,,,,,160,,0.87,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,05-Dec-07,1,,154.5,,67,,203.478,,22.333,,57.5,,249.014,,32,,1.357,,,,5.8,,6.23,,74.4,,86,,0.823,,,,,,,,,,160,,5.6,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,18-Dec-07,1,,316,,120,,281.739,,20.256,,111.875,,321.127,,78.571,,1.429,,,,1.9,,6.68,,228,,25,,1.1,,,,,,,,,,62,,1.2,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,03-Jan-08,1,,280,,106.667,,271.304,,18.974,,93.75,,309.859,,70,,0.714,,,,2.21,,6.87,,179,,35,,1.1,,,,,,,,,,69,,3.2,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,14-Jan-08,1,,181.5,,75,,233.913,,18.462,,68.75,,269.577,,44.214,,1.429,,,,3.5,,6.27,,91.6,,67,,0.71,,,,,,,,,,89,,1.2,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,29-Jan-08,1,,285.5,,109.167,,286.522,,21.538,,98.125,,329.577,,70,,4.286,,,,2.63,,6.69,,180,,39,,1.1,,,,,,,,,,77,,3.6,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,12-Feb-08,1,,290.5,,120.833,,323.043,,19.487,,103.125,,380.282,,64.786,<,0.714,,,,1.83,,6.87,,189,,16,,1,,,,,,,,,,36,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,26-Feb-08,1,,116,,58.333,,226.087,,15.385,,56.875,,264.789,,19.786,,1.429,,,,4.4,,6.08,,50,,79,,0.56,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,10-Mar-08,1,,133,,62.5,,230,,16.41,,49.375,,276.056,,17.286,,0.714,,,,4.4,,6.2,,69.4,,71,,0.5,,,,,,,,,,94,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,27-Mar-08,1,,206.5,,93.333,,292.609,,13.846,,80,,366.197,,28.286,,0.714,,,,2.1,,6.52,,128,,31,,0.52,,,,,,,,,,55,,1.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,08-Apr-08,1,,233.5,,95,,290.435,,13.333,,77.5,,366.197,,30.643,<,0.714,,,,4.5,,7.03,,163,,32,,0.71,,,,,,,,,,370,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,23-Apr-08,1,,300,,115,,291.739,,16.923,,101.25,,366.197,,36.5,<,0.714,,,,2.3,,7.09,,231,,22,,0.71,,,,,,,,,,61,,0.4,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,08-May-08,1,,293,,113.333,,285.652,,15.385,,100,,338.028,,27.643,,1.429,,,,2.5,,7.06,,243,,14,,0.56,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,03-Jun-08,1,,348,,141.667,,314.348,,20.333,,114.375,,377.465,,48.286,<,0.714,,,,2.66,,7.09,,325,,7,,0.76,,,,,,,,,,64,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,01-Jul-08,1,,188,,83.333,,220.87,,9.385,,106.25,,240.563,,16.429,,1.714,,,,4.73,,6.75,,116,,40,,0.37,,,,,,,,,,91,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,04-Aug-08,1,,198,,79.25,,212.174,,9.769,,78.125,,225.352,,8,<,0.714,,,,8.53,,6.53,,134,,93,,0.39,,,,,,,,,,259,,1.2,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,03-Sep-08,1,,182,,79.333,,190.435,,13.359,,41.25,,191.549,,0.786,,2.5,,,,15.4,,6.44,,98.8,,144,,0.76,,,,,,,,,,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,03-Oct-08,1,,163,,78.333,,216.087,,20.513,,56.25,,253.521,,13.786,,3.571,,,,7.7,,6.35,,75.6,,86,,0.61,,,,,,,,,,230,,1.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,06-Nov-08,1,,262,,95.833,,231.739,,17.513,,90,,241.69,,39.429,,5.214,,,,3.61,,6.75,,11.2,,26,,0.92,,,,,,,,,,72,,1.6,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,10-Dec-08,1,,196.5,,78,,239.565,,15.487,,66.875,,287.324,,26.786,<,0.714,,,,4.09,,7.12,,134,,40,,0.6,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,05-Feb-09,1,,308.5,,111.667,,376.957,,19.077,,110.625,,447.887,,57.857,,1.286,,,,2.27,,6.81,,213,,24,,0.94,,,,,,,,,,34,,1.2,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,06-Mar-09,1,,204.5,,87.5,,268.696,,13.077,,121.25,,323.944,,24.357,,1.143,<,0.005,,3.5,,6.7,,142,,23,,0.63,,,<,0.005,,68.2,,1.16,,67,,,,,,,,0.028,,0.021,,0.012,,0.657,,0.012,,36.3,,0.326,,0.046,,0.074,,9.05,,58.9,,0.404,,0.104,,0.423,,23.8,,7.78,,0.419,,0.151,,0.431,,10.7,<,0.03,,0.011,,0.045,,0.003,,2.65,,0.291,,0.009,,4.02,,1.43,,0.073,,0.077,,0.019,<,0.01,,0.299,<,0.006
Conwy at Betws,CC6,02-Apr-09,1,,220.5,,95,,265.652,,12.769,,84.375,,318.31,,24.714,<,0.714,<,0.005,,2.52,,7.06,,175,,17,,0.45,,,<,0.005,,72.5,,0.722,,26,,0.8,,0.4,,,,0.024,,0.025,,0.007,,0.637,,0.01,,17.4,,0.149,,0.057,,0.04,,0.58,,19.1,,0.326,,0.022,,0.309,,0.522,,5.02,,0.411,,0.128,,0.403,,10.1,<,0.03,,0.005,,0.016,,0.003,,3.42,<,0.06,,0.004,,4.83,,1.42,,0.03,,0.022,,0.008,<,0.01,,0.193,<,0.006
Conwy at Betws,CC6,07-May-09,1,,97,,53.333,,174.348,,7.667,,45,,204.789,,11.929,,1.357,<,0.005,,7.7,,6.2,,51,,93,,0.49,,,<,0.005,,43.5,,0.523,,181,,1.6,,0.8,,,,0.018,,0.011,,0.011,,0.591,,0.019,,89.6,,0.098,,0.076,,0.133,,1.02,,156,,0.588,,0.033,,0.512,,1.07,,8.14,,0.563,,0.139,,0.313,,5.57,<,0.03,,0.013,,0.029,<,0.002,,4.14,<,0.06,,0.006,,4.62,,0.818,,0.164,,0.248,,0.044,<,0.01,,0.376,<,0.006
Conwy at Betws,CC6,10-Jun-09,1,,272,,108.333,,253.478,,14.051,,90,,284.507,,26.571,,7.214,<,0.005,,4.25,,6.78,,230,,25,,0.63,,,<,0.005,,78.1,,0.961,,99,,,,,,,,0.025,,0.017,<,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.46,,1.51,,,,,,,,,,,,
Conwy at Betws,CC6,09-Jul-09,1,,175.5,,81.667,,194.348,,9.744,,66.25,,205.07,,14.929,,1.429,<,0.005,,8.88,,6.9,,132,,85,,0.48,,,,0.006,,52.6,,0.908,,290,,1.6,,0.8,,,,0.022,,0.017,,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.66,,1.17,,,,,,,,,,,,
Conwy at Betws,CC6,05-Aug-09,1,,172.5,,71.833,,179.13,,9.026,,56.25,,190.704,,15.571,,1,<,0.005,,7.12,,6.99,,135,,90,,0.49,,,<,0.005,,49.6,,0.925,,244,,,,,,,,0.018,,0.027,,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.53,,0.986,,,,,,,,,,,,
Conwy at Betws,CC6,10-Sep-09,1,,214.5,,87.5,,215.652,,12.308,,73.125,,222.535,,6.786,,4.286,,,,6.9,,7.12,,148,,71,,0.66,,,,,,60.8,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,01-Oct-09,1,,340.5,,136.667,,265.652,,17.436,,89.375,,281.69,,18.357,,2.143,,,,4.6,,7.71,,345,,35,,0.46,,,,,,98.9,,,,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,05-Nov-09,1,,142,,68.333,,195.217,,21.538,,50,,233.803,,14.786,,1.429,,,,8.2,,6.66,,123,,110,,0.52,,,,,,53.9,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,09-Dec-09,1,,187,,78.5,,227.826,,15.103,,70,,264.789,,31.357,,0.857,,,,3.99,,6.48,,114,,59,,0.52,,,,,,59.9,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,07-Jan-10,1,,330,,120,,465.217,,18.513,,104.375,,535.211,,57,,2.857,,,,2.38,,7.03,,180,,22,,0.87,,,,,,111.3,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,03-Feb-10,1,,160.5,,67.833,,250,,14.231,,65.625,,280,,32.143,,1.286,,,,5.4,,6.55,,75.7,,73,,0.57,,,,,,59.6,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,04-Mar-10,1,,275,,106.667,,300,,15.487,,93.75,,338.028,,40.786,,1.143,,,,2.86,,7.52,,208,,27,,0.66,,,,,,81.6,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,06-Apr-10,1,,196.5,,78.333,,249.565,,13.333,,81.25,,281.69,,32.143,,1.429,,,,3.9,,6.78,,123,,49,,0.49,,,,,,63.3,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,06-May-10,1,,317.5,,123.333,,311.739,,17.692,,104.375,,338.028,,24.786,,1.429,,,,3.2,,7.34,,277,<,33,,0.38,,,,,,91.6,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,02-Jun-10,1,,330,,132.5,,313.478,,24.359,,96.875,,338.028,,28.286,,2.857,,,,3.5,,6.95,,324,<,33,,0.61,,,,,,88,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,02-Jul-10,1,,110,,56.667,,156.957,,7.692,,86.875,,146.479,,13.286,,1.429,,,,7,,6.28,,95.5,,69,,0.43,,,,,,41.3,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,04-Aug-10,1,,209,,88.333,,220,,10.744,,85,,224.507,,19.286,,3.214,,,,6,,6.61,,183.8,,51,,0.48,,,,0.014,,62.6,,1.02,,159,,,,,,,,,,,,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18,,1.39,,,,,,,,,,,,
Conwy at Betws,CC6,07-Sep-10,1,,299,,121.667,,274.783,,16.103,,82.5,,298.592,,19.214,,2.5,,,,3.98,,6.46,,13.4,,22,,0.56,,,,0.001,,78.4,,1.12,,100,,,,,,,,,,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.69,,1.58,,,,,,,,,,,,
Conwy at Betws,CC6,04-Oct-10,1,,185,,72,,188.261,,12.026,,73.75,,201.972,,19.286,,2.286,,,,9.76,,6.2,,6.24,,95,,0.57,,,,0.001,,51.2,,1.07,,274,,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65,,1.12,,,,,,,,,,,,
Conwy at Betws,CC6,09-Dec-10,1,,329,,124.167,,330.87,,18,,99.375,,360.563,,41.071,,1.286,,,,2.4,,7.13,,254,<,33,,0.75,,,<,0.005,,,,1.8,,76,,,,,,,,,,,,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.98,,1.81,,,,,,,,,,,,
Conwy at Betws,CC6,07-Jan-11,1,,250.5,,95,,303.043,,18.154,,80,,326.761,,40.571,,1.357,,,,3.65,,7.25,,157,,45,,0.88,,,<,0.005,,76.9,,1.34,,88,,,,,,,,,,,,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04,,1.53,,,,,,,,,,,,
Conwy at Betws,CC6,09-Feb-11,1,,221.5,,94.167,,299.565,,19.974,,79.375,,377.465,,47.643,,1.286,,,,2.58,,6.93,,110,,44,,0.78,,,,,,74,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Betws,CC6,08-Mar-11,1,,304,,115.833,,296.087,,17.744,,100,,349.296,,54.714,,3.071,,,,2.03,,7.16,,232,<,33,,0.9,,,,,,83.9,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Dylasau,CC88,03-Sep-08,1,,211.5,,89.167,,199.13,,16,,35,,195.775,,8.857,,4.214,,,,21.1,,6.25,,129,,167,,1.1,,,,,,,,,,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Dylasau,CC88,10-Dec-08,1,,241.5,,90.833,,239.565,,20.667,,64.375,,295.775,,37.929,,1.071,,,,5.11,,6.54,,176,,34,,0.77,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Dylasau,CC88,06-Mar-09,1,,271.5,,110,,272.174,,18.513,,77.5,,332.394,,35.071,<,0.714,<,0.005,,4.95,,6.78,,218,,35,,0.71,,,<,0.005,,77.5,,1.39,,154,,,,,,,,0.025,,0.022,,0.041,,0.81,,0.01,,36.3,,0.353,,0.087,,0.159,,22.2,,150,,0.581,,0.169,,0.44,,48.7,,6.84,,0.548,,0.116,,0.515,,12.2,<,0.03,,0.009,,0.026,<,0.002,,2.92,,0.247,,0.009,,4.74,,1.35,,0.029,,0.045,,0.011,<,0.01,,0.399,<,0.006
Conwy at Dylasau,CC88,10-Jun-09,1,,343.5,,140,,270.87,,17.795,,80.625,,307.042,,33.143,,1.286,,0.009,,5.61,,6.9,,330,,33,,0.66,,,,0.006,,83.8,,1.14,,168,,,,,,,,0.029,,0.017,,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.02,,1.43,,,,,,,,,,,,
Conwy at Dylasau,CC88,10-Sep-09,1,,286.5,,115.833,,237.826,,16.923,,53.75,,256.338,,29.929,,2.857,,,,9,,6.89,,244,,62,,0.69,,,,,,68.5,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Dylasau,CC88,09-Dec-09,1,,230,,85,,220.87,,23.436,,60.625,,263.099,,44,,3.5,,,,5.33,,6.67,,206,,46,,0.91,,,,,,63.7,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Dylasau,CC88,04-Mar-10,1,,341,,133.333,,320,,22.179,,95.625,,363.38,,60.214,,1.357,,,,3.8,,6.82,,379,,22,,0.94,,,,,,91.2,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Dylasau,CC88,02-Jun-10,1,,386.5,,170.833,,344.348,,31.282,,90.625,,366.197,,33.071,,1.429,,,,4.5,,6.91,,446,<,33,,0.78,,,,,,102,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Dylasau,CC88,07-Sep-10,1,,322,,143.333,,273.478,,29.744,,81.875,,312.676,,29.571,,1.214,,,,6.49,,6.6,,15.7,,30,,0.73,,,,0.023,,86.2,,1.42,,286,,,,,,,,,,,,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.06,,1.36,,,,,,,,,,,,
Conwy at Dylasau,CC88,04-Oct-10,1,,252,,92.5,,216.522,,18.282,,59.375,,220.282,,26.786,,2.357,,,,13.1,,6.54,,11.6,,85,,0.86,,,,0.007,,63.4,,1.25,,421,,,,,,,,,,,,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.63,,1.14,,,,,,,,,,,,
Conwy at Dylasau,CC88,09-Dec-10,1,,415,,157.5,,391.304,,25.897,,103.75,,425.352,,60,,0.929,,,,3.04,,7.32,,333,<,33,,1.1,,,<,0.005,,107.5,,2.24,,129,,,,,,,,,,,,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.27,,1.87,,,,,,,,,,,,
Conwy at Dylasau,CC88,07-Jan-11,1,,320,,116.667,,370,,26.667,,91.25,,416.901,,66.571,,1.286,,,,4.3,,6.87,,220,,37,,1.2,,,<,0.005,,100.7,,1.61,,145,,,,,,,,,,,,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09,,1.59,,,,,,,,,,,,
Conwy at Dylasau,CC88,09-Feb-11,1,,81,,52.75,,193.913,,6.846,,38.125,,255.211,,15,,1.143,,,,1.25,,6.81,,156,,92,,0.19,,,,,,79,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy at Dylasau,CC88,08-Mar-11,1,,364,,140,,315.652,,23.872,,94.375,,360.563,,78.571,,1.214,,,,2.87,,7.31,,286,<,33,,1.2,,,,,,92,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy Harbour,CC15,24-Oct-07,1,,14550,,99166.667,,443478.261,,8846.154,,,,,<,0.714,,1.429,,,,1.64,,,,,<,2,,0.18,,,,,,,,,,10,,6.78,,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conwy Harbour,CC15,07-Nov-07,1,,13250,,96666.667,,443478.261,,8871.795,,,,,<,0.714,,1.429,,,,1.5,,7.77,,2150,<,2,,0.2,,,,,,,,,,1,,11.6,,5.8,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
