"","DATE_COL","SITE_ID","LAT","LON","ECO_TYPE","VARIABLE","UNIT","RESULT","TROPHIC_STATE"
"66","2018-02-21T09:30:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.53534260261427,NA
"67","2018-03-21T08:15:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.505370077429023,NA
"68","2018-04-19T06:55:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.533677462326201,NA
"69","2018-05-09T08:55:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.528682041461993,NA
"70","2018-06-06T08:00:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.446257597202564,NA
"71","2018-07-24T07:50:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.449587877778703,NA
"72","2018-08-28T07:30:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.328032636749646,NA
"73","2018-09-25T07:45:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.276413287819499,NA
"74","2018-10-10T08:15:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.370493714095413,NA
"75","2018-11-07T08:15:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.438764465906253,NA
"76","2018-12-12T08:10:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.444592456914495,NA
"77","2019-01-09T08:20:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.590292232120556,NA
"78","2019-02-06T08:30:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.532012322038132,NA
"79","2019-03-07T08:30:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.493714095412539,NA
"80","2019-04-10T08:25:00Z","QU02NG3020",46.6776,-72.8652,"River/Stream","TC as C","mg/L",0.478727832819915,NA
