"","DATE_COL","UNIT","SITE_ID","ECO_TYPE","LAT","LON","VARIABLE","RESULT"
"70","2008-06-06","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"TDN",48.7349796325045
"71","2008-06-06","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"DON",48.274370800467
"72","2008-06-06","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"TP",0.823820039832605
"73","2008-06-06","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"TDP",0.625686106201978
"74","2008-06-06","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"PP",0.198133933630627
"75","2008-06-06","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"DOP",0.31284305310099
"76","2008-06-06","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"IP",0.31284305310099
"77","2008-06-06","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"DOC",6.169
"78","2008-06-06","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"NO3 as N",0.0018072
"79","2008-06-06","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"PO4 as P",0.00899888815974688
"80","2009-05-21",NA,"NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"pH",6.14
"81","2009-05-21","uS/cm","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"SP_COND",16.12
"82","2009-05-21","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"NH4 as N",28.0033711774568
"83","2009-05-21","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"CALCIUM",1678.8336518
"84","2009-05-21","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"MAGNESIUM",390.592904688568
"85","2009-05-21","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"SODIUM",587.741688020338
"86","2009-05-21","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"POTASSIUM",883.428322890491
"87","2009-05-21","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"CHLORIDE",301.974445039912
"88","2009-05-21","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"SULFATE",1472.97546574281
"89","2009-05-21","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"TDN",143.772184396152
"90","2009-05-21","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"DON",135.368924331699
"91","2009-05-21","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"TDP",0.771704669831727
"92","2009-05-21","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"DOP",0.677426205259196
"93","2009-05-21","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"IP",0.0942784645725314
"94","2009-05-21","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"DOC",15.190652269184
"95","2009-05-21","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"NO3 as N",0.0049698
"96","2009-05-21","mg/L","NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"PO4 as P",0.00271190729712957
"97","2010-05-28",NA,"NWT_Soddie_Outlet","River/Stream",40.047778,-105.570833,"pH",6.28
