"","LAT","LON","SITE_ID","ECO_TYPE","DATE_COL","VARIABLE","RESULT","UNIT"
"88",38.59506,-75.31243,"LAGOS_141830","Lake",2000-09-26,"DOC",5,"mg/L"
"89",38.59506,-75.31243,"LAGOS_141830","Lake",2000-09-26,"turb_ntu",2,"ntu"
"90",38.59506,-75.31243,"LAGOS_141830","Lake",2000-09-26,"secchi_m",1.3716,"m"
"91",38.59432,-75.29099,"LAGOS_142130","Lake",2014-08-18,"DOC",5.6,"mg/L"
"92",38.59432,-75.29099,"LAGOS_142130","Lake",2014-08-18,"secchi_m",0.9,"m"
"93",38.59432,-75.29099,"LAGOS_142130","Lake",2014-08-18,"tss",14,"mg/L"
"94",38.59584,-75.30421,"LAGOS_142280","Lake",2000-09-26,"DOC",6,"mg/L"
"95",38.59584,-75.30421,"LAGOS_142280","Lake",2000-09-26,"turb_ntu",2,"ntu"
"96",38.59584,-75.30421,"LAGOS_142280","Lake",2000-09-26,"secchi_m",1.4224,"m"
"97",38.59432,-75.29099,"LAGOS_142130","Lake",2000-06-13,"DOC",4,"mg/L"
"98",38.59432,-75.29099,"LAGOS_142130","Lake",2000-06-13,"turb_ntu",2,"ntu"
"99",38.59432,-75.29099,"LAGOS_142130","Lake",2000-06-13,"secchi_m",1.9812,"m"
"100",38.59432,-75.29099,"LAGOS_142130","Lake",2000-06-13,"tss",2,"mg/L"
"101",38.6718,-75.18588,"LAGOS_142394","Lake",2000-03-08,"DOC",4,"mg/L"
"102",38.6718,-75.18588,"LAGOS_142394","Lake",2000-03-08,"turb_ntu",1,"ntu"
"103",38.6718,-75.18588,"LAGOS_142394","Lake",2000-03-08,"secchi_m",1.8796,"m"
"104",38.6718,-75.18588,"LAGOS_142394","Lake",2000-03-08,"tss",2,"mg/L"
"105",38.6718,-75.18588,"LAGOS_142394","Lake",2000-07-19,"DOC",6,"mg/L"
"106",38.6718,-75.18588,"LAGOS_142394","Lake",2000-07-19,"turb_ntu",1,"ntu"
"107",38.6718,-75.18588,"LAGOS_142394","Lake",2000-07-19,"secchi_m",1.9304,"m"
"108",38.6718,-75.18588,"LAGOS_142394","Lake",2000-07-19,"tss",1,"mg/L"
