"LAT","LON","SITE_ID","ECO_TYPE","DATE_COL","VARIABLE","RESULT","UNIT"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-10-24","CALCIUM",7.49,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-10-24","CHLORIDE",17,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-10-24","SP_COND",142,"uS/cm"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-10-24","DO",9.4,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-10-24","MAGNESIUM",3.26,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-10-24","pH",6.46,NA
38.59432,-75.29099,"LAGOS_142130","Lake","2016-10-24","SULFATE",4.5,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-10-24","TEMP",15.27,"degc"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-03-14","CALCIUM",6.33,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-03-14","CHLORIDE",15,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-03-14","SP_COND",118,"uS/cm"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-03-14","DO",8.52,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-03-14","MAGNESIUM",3.46,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-03-14","pH",6.68,NA
38.6718,-75.18588,"LAGOS_142394","Lake","2016-03-14","SULFATE",7.7,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-03-14","TEMP",13.59,"degc"
38.59432,-75.29099,"LAGOS_142130","Lake","2017-02-27","CALCIUM",7.79,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2017-02-27","CHLORIDE",15,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2017-02-27","SP_COND",135,"uS/cm"
38.59432,-75.29099,"LAGOS_142130","Lake","2017-02-27","DO",10.11,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2017-02-27","MAGNESIUM",3.08,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2017-02-27","pH",5.91,NA
38.59432,-75.29099,"LAGOS_142130","Lake","2017-02-27","SULFATE",4.2,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2017-02-27","TEMP",12.18,"degc"
42.40733,-91.34708,"LAGOS_109495","Lake","2002-03-20","CALCIUM",64.9,"mgl"
42.40733,-91.34708,"LAGOS_109495","Lake","2002-03-20","SP_COND",503,"uS/cm"
42.40733,-91.34708,"LAGOS_109495","Lake","2002-03-20","DO",15.7,"mgl"
42.40733,-91.34708,"LAGOS_109495","Lake","2002-03-20","MAGNESIUM",17.5,"mgl"
42.40733,-91.34708,"LAGOS_109495","Lake","2002-03-20","pH",7.9,NA
42.40733,-91.34708,"LAGOS_109495","Lake","2002-03-20","TEMP",4,"degc"
32.51853,-89.94125,"LAGOS_255758","Lake","2003-07-08","SP_COND",41,"uS/cm"
32.51853,-89.94125,"LAGOS_255758","Lake","2003-07-08","DO",5.13,"mgl"
32.51853,-89.94125,"LAGOS_255758","Lake","2003-07-08","pH",6.32,NA
32.51853,-89.94125,"LAGOS_255758","Lake","2003-07-08","TEMP",29.7,"degc"
38.59432,-75.29099,"LAGOS_142130","Lake","2017-03-27","CALCIUM",6.72,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2017-03-27","CHLORIDE",15,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2017-03-27","SP_COND",144,"uS/cm"
38.59432,-75.29099,"LAGOS_142130","Lake","2017-03-27","DO",9.08,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2017-03-27","MAGNESIUM",2.7,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2017-03-27","pH",6.26,NA
38.59432,-75.29099,"LAGOS_142130","Lake","2017-03-27","SULFATE",4.6,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2017-03-27","TEMP",13.98,"degc"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-06-21","CALCIUM",6.76,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-06-21","CHLORIDE",13,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-06-21","SP_COND",174,"uS/cm"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-06-21","DO",7.39,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-06-21","MAGNESIUM",3.83,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-06-21","pH",7.15,NA
38.6718,-75.18588,"LAGOS_142394","Lake","2016-06-21","SULFATE",6,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-06-21","TEMP",28.73,"degc"
32.51853,-89.94125,"LAGOS_255758","Lake","2007-05-08","SP_COND",69.2,"uS/cm"
32.51853,-89.94125,"LAGOS_255758","Lake","2007-05-08","DO",6.07,"mgl"
32.51853,-89.94125,"LAGOS_255758","Lake","2007-05-08","pH",6.37,NA
32.51853,-89.94125,"LAGOS_255758","Lake","2007-05-08","TEMP",25.5,"degc"
42.43916,-122.01224,"LAGOS_473584","Lake","2004-08-03","SP_COND",109,"uS/cm"
42.43916,-122.01224,"LAGOS_473584","Lake","2004-08-03","DO",10.7,"mgl"
42.43916,-122.01224,"LAGOS_473584","Lake","2004-08-03","pH",9.6,NA
42.43916,-122.01224,"LAGOS_473584","Lake","2004-08-03","TEMP",22.6,"degc"
30.03605,-95.15354,"LAGOS_424032","Lake","2000-08-22","CALCIUM",20.6,"mgl"
30.03605,-95.15354,"LAGOS_424032","Lake","2000-08-22","CHLORIDE",70,"mgl"
30.03605,-95.15354,"LAGOS_424032","Lake","2000-08-22","SP_COND",456,"uS/cm"
30.03605,-95.15354,"LAGOS_424032","Lake","2000-08-22","DO",5.3,"mgl"
30.03605,-95.15354,"LAGOS_424032","Lake","2000-08-22","MAGNESIUM",3,"mgl"
30.03605,-95.15354,"LAGOS_424032","Lake","2000-08-22","pH",8.9,NA
30.03605,-95.15354,"LAGOS_424032","Lake","2000-08-22","SULFATE",15.2,"mgl"
30.03605,-95.15354,"LAGOS_424032","Lake","2000-08-22","TEMP",31,"degc"
42.43916,-122.01224,"LAGOS_473584","Lake","2016-05-31","SP_COND",110,"uS/cm"
42.43916,-122.01224,"LAGOS_473584","Lake","2016-05-31","DO",9.1,"mgl"
42.43916,-122.01224,"LAGOS_473584","Lake","2016-05-31","pH",8.3,NA
42.43916,-122.01224,"LAGOS_473584","Lake","2016-05-31","TEMP",15.5,"degc"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-09-29","CALCIUM",7.15,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-09-29","CHLORIDE",13,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-09-29","SP_COND",123,"uS/cm"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-09-29","DO",9.82,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-09-29","MAGNESIUM",2.94,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-09-29","pH",8.19,NA
38.59432,-75.29099,"LAGOS_142130","Lake","2016-09-29","SULFATE",3.6,"mgl"
38.59432,-75.29099,"LAGOS_142130","Lake","2016-09-29","TEMP",20.59,"degc"
32.89715,-86.48774,"LAGOS_241071","Lake","2013-07-30","CHLORIDE",4,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-11-28","CALCIUM",7.7,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-11-28","CHLORIDE",24,"mgl"
38.6718,-75.18588,"LAGOS_142394","Lake","2016-11-28","SP_COND",338,"uS/cm"
