SITE_NO,DATE_TIME_HEURE,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT
NF02XA0001,2017-11-02 13:05, ,0.027,0.001,0.001,107911,µG/L,CADMIUM TOTAL,CADMIUM TOTAL,P
NF02XA0001,2017-11-02 13:05, ,1.46,0.01,0.01,110261,MG/L,CALCIUM  TOTAL,CALCIUM TOTAL,P
NF02XA0001,2017-11-02 13:05, ,5.78,0.25,0.25,6010,MG/L,CARBON TOTAL ORGANIC,CARBONE ORGANIQUE TOTAL,P
NF02XA0001,2017-11-02 13:05, ,0.113,0.001,0.001,107912,µG/L,CERIUM TOTAL,CÉRIUM TOTAL,P
NF02XA0001,2017-11-02 13:05, ,0.003,0.001,0.001,107915,µG/L,CESIUM TOTAL,CÉSIUM TOTAL,P
NF02XA0001,2017-11-02 13:05, ,0.2,0.2,0.1,17209,MG/L,CHLORIDE DISSOLVED,CHLORURES DISSOUS,P
NF02XA0001,2017-11-02 13:05, ,0.1,0.02,0.02,107914,µG/L,CHROMIUM TOTAL,CHROME TOTAL,P
NF02XA0001,2017-11-02 13:05, ,0.023,0.002,0.002,107913,µG/L,COBALT TOTAL,COBALT TOTAL,P
NF02XA0001,2017-11-02 13:05, ,65,5,5,110707,HZN UNITS,COLOUR APPARENT,COULEUR APPARENTE,P
NF02XA0001,2017-11-02 13:05, ,12,,,109027,µS/CM,CONDUCTANCE (FIELD),CONDUCTANCE (TERRAIN),P
NF02XA0001,2017-11-02 13:05, ,1.37,0.05,0.05,107916,µG/L,COPPER  TOTAL,CUIVRE TOTAL,P
NF02XA0001,2017-11-02 13:05,<,0.03,0.03,0.02,7315,MG/L,DISSOLVED NITROGEN NITRATE,AZOTE DISSOUS NITRATES,P
NF02XA0001,2017-11-02 13:05, ,0.007,0.001,0.001,107918,µG/L,GALLIUM TOTAL,GALLIUM TOTAL,P
NF02XA0001,2017-11-02 13:05, ,5.47,0.236,0.236,10602,MG/L,HARDNESS TOTAL (CALCD.) CACO3,DURETÉ TOTALE (CALC.) CACO3,P
NF02XA0001,2017-11-02 13:05, ,88.8,0.5,0.5,107917,µG/L,IRON TOTAL,FER TOTAL,P
NF02XA0001,2017-11-02 13:05, ,0.08,0.001,0.001,107919,µG/L,LANTHANUM TOTAL,LANTHANE TOTAL,P
NF02XA0001,2017-11-02 13:05, ,1.04,0.005,0.005,107925,µG/L,LEAD TOTAL,PLOMB TOTAL,P
NF02XA0001,2017-11-02 13:05, ,0.12,0.01,0.01,107920,µG/L,LITHIUM TOTAL,LITHIUM TOTAL,P
NF02XA0001,2017-11-02 13:05, ,0.44,0.05,0.05,110263,MG/L,MAGNESIUM TOTAL,MAGNÉSIUM TOTAL,P
NF02XA0001,2017-11-02 13:05, ,10.8,0.05,0.05,107921,µG/L,MANGANESE TOTAL,MANGANÈSE TOTAL,P
NF02XA0001,2017-11-02 13:05, ,0.059,0.005,0.005,107922,µG/L,MOLYBDENUM TOTAL,MOLYBDÈNE TOTAL,P
NF02XA0001,2017-11-02 13:05, ,0.16,0.02,0.02,107924,µG/L,NICKEL  TOTAL,NICKEL  TOTAL,P
NF02XA0001,2017-11-02 13:05,<,0.002,0.002,0.002,107923,µG/L,NIOBIUM TOTAL,NIOBIUM TOTAL,P
NF02XA0001,2017-11-02 13:05, ,0.15,0.02,0.02,110240,MG/L,NITROGEN TOTAL,AZOTE TOTAL,P
NF02XA0001,2017-11-02 13:05, ,11.89,,,110002,MG/L,OXYGEN DISSOLVED,OXYGÈNE DISSOUS,P
NF02XA0001,2017-11-02 13:05, ,91.9,,,110003,% SAT,OXYGEN DISSOLVED % SATURATION,OXYGÈNE DISSOUS % SATURATION,P
NF02XA0001,2017-11-02 13:05, ,6.79,0,0,10301,PH,PH,PH,P
NF02XA0001,2017-11-02 13:05, ,6.42,,,109026,PH,PH (FIELD),PH (TERRAIN),P
NF02XA0001,2017-11-02 13:05, ,0.012,0.002,0.002,110238,MG/L,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,P
NF02XA0001,2017-11-02 13:05,<,0.001,0.001,0.001,107927,µG/L,PLATINUM TOTAL,PLATINE TOTAL,P
NF02XA0001,2017-11-02 13:05,<,0.4,0.4,0.4,110265,MG/L,POTASSIUM TOTAL,POTASSIUM TOTAL,P
NF02XA0001,2017-11-02 13:05, ,0.32,0.001,0.001,107928,µG/L,RUBIDIUM TOTAL,RUBIDIUM TOTAL,P
