"","DATE_COL","SITE_ID","DOC","TP","NO3 as N","UNITS","LAT","LON","ECO_TYPE"
"134",2000-04-19,"SA05KH0002",12.3,0.136,0.494,"mg/L",53.6,-102.1167,"River/Stream"
"135",2000-04-19,"SA05LC0001",10.1,0.056,0.01,"mg/L",52.8667,-102.1831,"River/Stream"
"136",2000-04-23,"BC08EF0001",6,0.033,0.2,"mg/L",54.6344,-128.4092,"River/Stream"
"137",2000-04-24,"BC08NK0003",2.2,0.039,0.384,"mg/L",49.1797,-115.167,"River/Stream"
"138",2000-04-24,"YT10AA0001",1.1,0.011,0.07,"mg/L",60.0477,-128.9018,"River/Stream"
"139",2000-04-25,"AL05AK0001",2.37,0.029,0.118,"mg/L",50.7375,-110.0956,"River/Stream"
"140",2000-04-25,"AL05CK0001",6.02,0.114,0.01,"mg/L",50.9028,-110.2969,"River/Stream"
"141",2000-04-25,"BC08NA0033",0.5,0.002,0.17,"mg/L",51.4192,-116.4378,"River/Stream"
"142",2000-04-25,"BC08NF0001",1.2,0.005,0.14,"mg/L",50.8856,-116.0431,"River/Stream"
"143",2000-04-26,"AL05EF0003",1.92,0.038,0.01,"mg/L",53.6014,-110.0083,"River/Stream"
"144",2000-04-26,"SA05FE0001",14.4,0.21,0.01,"mg/L",52.9403,-109.8733,"River/Stream"
"145",2000-04-28,"BC08MH0027",4.8,0.08,2.18,"mg/L",49.0024,-122.2323,"River/Stream"
"146",2000-04-30,"YT09FB0003",0.9,0.002,0.201,"mg/L",67.58,-139.78,"River/Stream"
"147",2000-05-01,"BC08NB0002",1.4,0.004,0.417,"mg/L",51.3834,-117.4504,"River/Stream"
"148",2000-05-01,"BC08ND0003",1.6,0.002,0.468,"mg/L",51.2138,-117.6958,"River/Stream"
"149",2000-05-01,"YT08AA0010",4.1,0.074,0.015,"mg/L",60.7478,-137.5036,"River/Stream"
"150",2000-05-02,"AL07AA0015",1.61,0.006,0.078,"mg/L",52.6644,-117.8808,"River/Stream"
"151",2000-05-02,"AL07AA0023",1.21,0.008,0.077,"mg/L",53.0417,-118.0872,"River/Stream"
"152",2000-05-02,"MA05PF0022",9.1,0.019,0.01,"mg/L",50.3008,-95.5556,"River/Stream"
"153",2000-05-03,"AL05BA0011",2.91,0.007,0.057,"mg/L",51.4433,-116.2117,"River/Stream"
