SITE_NO,DATE_TIME_HEURE,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT
QU02LB9001,2016-04-19 09:35,,0.225,0.015,0.015,6234,µG/L,VANADIUM DISSOLVED,VANADIUM DISSOUS,P
QU02LB9001,2016-04-19 09:35,,0.9,0.07,0.07,6235,µG/L,ZINC DISSOLVED,ZINC DISSOUS,P
QU02LB9001,2016-04-19 09:35,,508,,,8222,µG/L,ALUMINUM TOTAL RECOVERABLE,ALUMINIUM TOTAL RÉCUPÉRABLE,P
QU02LB9001,2016-04-19 09:35,,18.3,,,8223,µG/L,BARIUM TOTAL RECOVERABLE,BARYUM TOTAL RÉCUPÉRABLE,P
QU02LB9001,2016-04-19 09:35,,1.2,,,8224,µG/L,COPPER  TOTAL RECOVERABLE,CUIVRE RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-05 10:20,,3.08,0.03,0.03,109747,NG/L,MERCURY TOTAL,MERCURE TOTAL,P
QU02LB9001,2016-04-05 10:20,,0.72,0.1,0.1,8250,µG/L,CHLOROPHYLL A,CHLOROPHYLLE A,P
QU02LB9001,2016-04-05 10:20,,0.32,0.02,0.02,8251,MG/L,NITROGEN PARTICULATE ORGANIC,AZOTE ORGANIQUE PARTICULAIRE,P
QU02LB9001,2016-04-05 10:20,,6.07,0.25,0.25,8258,MG/L,CARBON DISSOLVED ORGANIC,CARBONE ORGANIQUE DISSOUS,P
QU02LB9001,2016-04-05 10:20,,2290,,,8225,µG/L,IRON TOTAL RECOVERABLE,FER RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-05 10:20,,2.4,,,8226,µG/L,LITHIUM TOTAL RECOVERABLE,LITHIUM RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-05 10:20,,49.6,,,8227,µG/L,MANGANESE TOTAL RECOVERABLE,MANGANÈSE RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-05 10:20,,9.1,,,8228,µG/L,ZINC TOTAL RECOVERABLE,ZINC RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-05 10:20,,0.05,,,8229,µG/L,ANTIMONY TOTAL RECOVERABLE,ANTIMOINE RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-05 10:20,,0.54,,,8230,µG/L,ARSENIC TOTAL RECOVERABLE,ARSENIC RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-05 10:20,<,0.01,0.01,0.01,8231,µG/L,CADMIUM TOTAL RECOVERABLE,CADMIUM RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-05 10:20,,4.11,,,8232,µG/L,CHROMIUM TOTAL RECOVERABLE,CHROME  RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-05 10:20,,1.06,0.02,0.02,8233,µG/L,COBALT TOTAL RECOVERABLE,COBALT RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-05 10:20,,0.75,0.03,0.03,8236,µG/L,LEAD TOTAL RECOVERABLE,PLOMB RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-05 10:20,,0.25,0.02,0.02,8237,µG/L,MOLYBDENUM TOTAL RECOVERABLE,MOLYBDÈNE RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-05 10:20,,3.06,,,8238,µG/L,NICKEL  TOTAL RECOVERABLE,NICKEL  RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-05 10:20,,0.15,,,8240,µG/L,SELENIUM TOTAL RECOVERABLE,SÉLÉNIUM TOTAL RÉCUPÉRABLE,P
QU02LB9001,2016-04-05 10:20,,80,,,8241,µG/L,STRONTIUM TOTAL RECOVERABLE,STRONTIUM RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-05 10:20,,4.57,,,8244,µG/L,VANADIUM TOTAL RECOVERABLE,VANADIUM RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-04-05 10:20,,0.007,0.005,0.005,8247,µG/L,SILVER TOTAL RECOVERABLE,ARGENT TOTAL RÉCUPÉRABLE,P
QU02LB9001,2016-04-05 10:20,,46,1,1,951,MG/L,TOTAL SUSPENDED SOLIDS (NON-FILTERABLE RESIDUES OR TOTAL SUSPENDED MATERIALS),SOLIDES TOTAUX EN SUSPENSION (OU RÉSIDUS NON FILTRABLES TOTAUX OU MATIÈRES EN SUSPENSION TOTALES),P
QU02LB9001,2016-04-05 10:20,,0.017,0.003,0.003,962,MG/L N,AMMONIA DISSOLVED,AZOTE AMMONIACAL DISSOUS,P
QU02LB9001,2016-04-05 10:20,,8.01,0.002,0.002,967,MG/L,CHLORIDE DISSOLVED,CHLORURES DISSOUS,P
QU02LB9001,2016-04-05 10:20,<,0.001,0.001,0.001,968,MG/L N,NITROGEN DISSOLVED NITRITE,AZOTE DISSOUS NITRITES,P
QU02LB9001,2016-04-05 10:20,,6.25,0.002,0.002,969,MG/L,SULPHATE DISSOLVED,SULFATES DISSOUS,P
QU02LB9001,2016-04-05 10:20,,0.431,0.001,0.001,970,MG/L N,DISSOLVED NITROGEN NITRATE,AZOTE DISSOUS NITRATES,P
QU02LB9001,2016-04-05 10:20,,1.61,0.06,0.06,977,MG/L,CARBON PARTICULATE ORGANIC,CARBONE ORGANIQUE PARTICULAIRE,P
QU02LB9001,2016-04-05 10:20,,0.009,0.002,0.002,1043,MG/L P,ORTHOPHOSPHATE DISSOLVED,ORTHOPHOSPHATE DISSOUS,P
QU02LB9001,2016-04-05 10:20,,1.28,0.03,0.03,1328,NG/L,MERCURY DISSOLVED,MERCURE DISSOUS,P
QU02LB9001,2016-04-05 10:20,,54,0.2,0.2,4755,NTU,TURBIDITY,TURBIDITÉ,P
QU02LB9001,2016-04-05 10:20,,25.8,1.5,1.5,6207,µG/L,ALUMINUM DISSOLVED,ALUMINIUM DISSOUS,P
QU02LB9001,2016-04-05 10:20,,0.04,0.01,0.01,6208,µG/L,ANTIMONY DISSOLVED,ANTIMOINE DISSOUS,P
QU02LB9001,2016-04-05 10:20,,0.25,0.025,0.025,6209,µG/L,ARSENIC DISSOLVED,ARSENIC DISSOUS,P
QU02LB9001,2016-04-05 10:20,,11.4,0.07,0.07,6210,µG/L,BARIUM DISSOLVED,BARYUM DISSOUS,P
QU02LB9001,2016-04-05 10:20,,0.013,0.005,0.005,6214,µG/L,CADMIUM DISSOLVED,CADMIUM DISSOUS,P
QU02LB9001,2016-04-05 10:20,,0.223,0.015,0.015,6215,µG/L,CHROMIUM DISSOLVED,CHROME DISSOUS,P
QU02LB9001,2016-04-05 10:20,,0.05,0.01,0.01,6216,µG/L,COBALT DISSOLVED,COBALT DISSOUS,P
QU02LB9001,2016-04-05 10:20,,0.98,0.06,0.06,6217,µG/L,COPPER DISSOLVED,CUIVRE DISSOUS,P
QU02LB9001,2016-04-05 10:20,,56.4,0.25,0.25,6219,µG/L,IRON DISSOLVED,FER DISSOUS,P
QU02LB9001,2016-04-05 10:20,,0.02,0.01,0.01,6221,µG/L,LEAD DISSOLVED,PLOMB DISSOUS,P
QU02LB9001,2016-04-05 10:20,,4.46,0.15,0.15,6223,µG/L,MANGANESE DISSOLVED,MANGANÈSE DISSOUS,P
QU02LB9001,2016-04-05 10:20,,0.24,0.05,0.05,6224,µG/L,MOLYBDENUM DISSOLVED,MOLYBDÈNE DISSOUS,P
QU02LB9001,2016-04-05 10:20,,0.506,0.025,0.025,6225,µG/L,NICKEL DISSOLVED,NICKEL  DISSOUS,P
QU02LB9001,2016-04-05 10:20,,0.068,0.025,0.025,6227,µG/L,SELENIUM DISSOLVED,SÉLÉNIUM DISSOUS,P
QU02LB9001,2016-04-05 10:20,<,0.002,0.002,0.002,6228,µG/L,SILVER DISSOLVED,ARGENT DISSOUS,P
QU02LB9001,2016-04-05 10:20,,68.2,0.15,0.15,6229,µG/L,STRONTIUM DISSOLVED,STRONTIUM DISSOUS,P
QU02LB9001,2016-04-05 10:20,,0.307,0.015,0.015,6234,µG/L,VANADIUM DISSOLVED,VANADIUM DISSOUS,P
QU02LB9001,2016-04-05 10:20,,0.59,0.07,0.07,6235,µG/L,ZINC DISSOLVED,ZINC DISSOUS,P
QU02LB9001,2016-04-05 10:20,,1940,,,8222,µG/L,ALUMINUM TOTAL RECOVERABLE,ALUMINIUM TOTAL RÉCUPÉRABLE,P
QU02LB9001,2016-04-05 10:20,,41.9,,,8223,µG/L,BARIUM TOTAL RECOVERABLE,BARYUM TOTAL RÉCUPÉRABLE,P
QU02LB9001,2016-04-05 10:20,,3.4,,,8224,µG/L,COPPER  TOTAL RECOVERABLE,CUIVRE RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-05-02 10:00,,1.8,0.1,0.1,8224,µG/L,COPPER  TOTAL RECOVERABLE,CUIVRE RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-05-02 10:00,,17.3,0.1,0.1,8223,µG/L,BARIUM TOTAL RECOVERABLE,BARYUM TOTAL RÉCUPÉRABLE,P
QU02LB9001,2016-05-02 10:00,,564,1.5,1.5,8222,µG/L,ALUMINUM TOTAL RECOVERABLE,ALUMINIUM TOTAL RÉCUPÉRABLE,P
QU02LB9001,2016-05-02 10:00,,0.92,0.07,0.07,6235,µG/L,ZINC DISSOLVED,ZINC DISSOUS,P
QU02LB9001,2016-05-02 10:00,,0.212,0.015,0.015,6234,µG/L,VANADIUM DISSOLVED,VANADIUM DISSOUS,P
QU02LB9001,2016-05-02 10:00,,38.5,0.15,0.15,6229,µG/L,STRONTIUM DISSOLVED,STRONTIUM DISSOUS,P
QU02LB9001,2016-05-02 10:00,<,0.002,0.002,0.002,6228,µG/L,SILVER DISSOLVED,ARGENT DISSOUS,P
QU02LB9001,2016-05-02 10:00,,0.071,0.025,0.025,6227,µG/L,SELENIUM DISSOLVED,SÉLÉNIUM DISSOUS,P
QU02LB9001,2016-05-02 10:00,,0.435,0.025,0.025,6225,µG/L,NICKEL DISSOLVED,NICKEL  DISSOUS,P
QU02LB9001,2016-05-02 10:00,,0.16,0.05,0.05,6224,µG/L,MOLYBDENUM DISSOLVED,MOLYBDÈNE DISSOUS,P
QU02LB9001,2016-05-02 10:00,,2.35,0.15,0.15,6223,µG/L,MANGANESE DISSOLVED,MANGANÈSE DISSOUS,P
QU02LB9001,2016-05-02 10:00,,0.4,0.1,0.1,6222,µG/L,LITHIUM DISSOLVED,LITHIUM DISSOUS,P
QU02LB9001,2016-05-02 10:00,,0.04,0.01,0.01,6221,µG/L,LEAD DISSOLVED,PLOMB DISSOUS,P
QU02LB9001,2016-05-02 10:00,,77,0.25,0.25,6219,µG/L,IRON DISSOLVED,FER DISSOUS,P
QU02LB9001,2016-05-02 10:00,,0.9,0.06,0.06,6217,µG/L,COPPER DISSOLVED,CUIVRE DISSOUS,P
QU02LB9001,2016-05-02 10:00,,0.03,0.01,0.01,6216,µG/L,COBALT DISSOLVED,COBALT DISSOUS,P
QU02LB9001,2016-05-02 10:00,,0.247,0.015,0.015,6215,µG/L,CHROMIUM DISSOLVED,CHROME DISSOUS,P
QU02LB9001,2016-05-02 10:00,<,0.005,0.005,0.005,6214,µG/L,CADMIUM DISSOLVED,CADMIUM DISSOUS,P
QU02LB9001,2016-05-02 10:00,,11,0.07,0.07,6210,µG/L,BARIUM DISSOLVED,BARYUM DISSOUS,P
QU02LB9001,2016-05-02 10:00,,0.229,0.025,0.025,6209,µG/L,ARSENIC DISSOLVED,ARSENIC DISSOUS,P
QU02LB9001,2016-05-02 10:00,,0.04,0.01,0.01,6208,µG/L,ANTIMONY DISSOLVED,ANTIMOINE DISSOUS,P
QU02LB9001,2016-05-02 10:00,,53.5,1.5,1.5,6207,µG/L,ALUMINUM DISSOLVED,ALUMINIUM DISSOUS,P
QU02LB9001,2016-05-02 10:00,,6.1,0.2,0.2,4755,NTU,TURBIDITY,TURBIDITÉ,P
QU02LB9001,2016-05-02 10:00,,1.51,0.03,0.03,1328,NG/L,MERCURY DISSOLVED,MERCURE DISSOUS,P
QU02LB9001,2016-05-02 10:00,,0.005,0.002,0.002,1043,MG/L P,ORTHOPHOSPHATE DISSOLVED,ORTHOPHOSPHATE DISSOUS,P
QU02LB9001,2016-05-02 10:00,,0.33,0.06,0.06,977,MG/L,CARBON PARTICULATE ORGANIC,CARBONE ORGANIQUE PARTICULAIRE,P
QU02LB9001,2016-05-02 10:00,,0.157,0.001,0.001,970,MG/L N,DISSOLVED NITROGEN NITRATE,AZOTE DISSOUS NITRATES,P
QU02LB9001,2016-05-02 10:00,,4.62,0.002,0.002,969,MG/L,SULPHATE DISSOLVED,SULFATES DISSOUS,P
QU02LB9001,2016-05-02 10:00,,0.005,0.001,0.001,968,MG/L N,NITROGEN DISSOLVED NITRITE,AZOTE DISSOUS NITRITES,P
QU02LB9001,2016-05-02 10:00,,2.97,0.002,0.002,967,MG/L,CHLORIDE DISSOLVED,CHLORURES DISSOUS,P
QU02LB9001,2016-05-02 10:00,,0.008,0.003,0.003,962,MG/L N,AMMONIA DISSOLVED,AZOTE AMMONIACAL DISSOUS,P
QU02LB9001,2016-05-02 10:00,,6,1,1,951,MG/L,TOTAL SUSPENDED SOLIDS (NON-FILTERABLE RESIDUES OR TOTAL SUSPENDED MATERIALS),SOLIDES TOTAUX EN SUSPENSION (OU RÉSIDUS NON FILTRABLES TOTAUX OU MATIÈRES EN SUSPENSION TOTALES),P
QU02LB9001,2016-05-02 10:00,<,0.005,0.005,0.005,8247,µG/L,SILVER TOTAL RECOVERABLE,ARGENT TOTAL RÉCUPÉRABLE,P
QU02LB9001,2016-05-02 10:00,,1.15,0.02,0.02,8244,µG/L,VANADIUM TOTAL RECOVERABLE,VANADIUM RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-05-02 10:00,,40.2,0.15,0.15,8241,µG/L,STRONTIUM TOTAL RECOVERABLE,STRONTIUM RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-05-02 10:00,,0.09,0.03,0.03,8240,µG/L,SELENIUM TOTAL RECOVERABLE,SÉLÉNIUM TOTAL RÉCUPÉRABLE,P
QU02LB9001,2016-05-02 10:00,,2.17,0.05,0.05,8238,µG/L,NICKEL  TOTAL RECOVERABLE,NICKEL  RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-05-02 10:00,,0.25,0.02,0.02,8237,µG/L,MOLYBDENUM TOTAL RECOVERABLE,MOLYBDÈNE RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-05-02 10:00,,0.36,0.03,0.03,8236,µG/L,LEAD TOTAL RECOVERABLE,PLOMB RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-05-02 10:00,,0.29,0.02,0.02,8233,µG/L,COBALT TOTAL RECOVERABLE,COBALT RÉCUPÉRABLE TOTAL,P
QU02LB9001,2016-05-02 10:00,,3.62,0.02,0.02,8232,µG/L,CHROMIUM TOTAL RECOVERABLE,CHROME  RÉCUPÉRABLE TOTAL,P
