"SITE_NO","DATE_TIME_HEURE","FLAG_MARQUEUR","VALUE_VALEUR","SDL_LDE","MDL_LDM","VMV_CODE","UNIT_UNITE","VARIABLE","VARIABLE_FR","STATUS_STATUT"
"MA05PF0022","2001-12-05 10:30","","7.3000","","","2081","NTU","TURBIDITY","TURBIDITÉ","P"
"MA05PF0022","2001-12-05 10:30","","6.7200","","","110001","NTU","TURBIDITY","TURBIDITÉ","P"
"MA05PF0022","2002-01-16 11:15","","3.1100","","","103643","NG/L","2-(2,4-DICHLOROPHENOXY)-PROPIONIC ACID","ACIDE 2-(2,4-DICHLOROPHÉNOXY)PROPANOIQUE","P"
"MA05PF0022","2002-01-16 11:15","","4.6800","","","103644","NG/L","2,3,6-TBA","2,3,6-TBA","P"
"MA05PF0022","2002-01-16 11:15","","5.2300","","","103649","NG/L","2,4,5-TRICHLOROPHENOXYACITIC ACID (2,4,5-T)","2,4,5-ACIDE TRICHLOROPHÉNOXYACÉTIQUE (2,4,5-T)","P"
"MA05PF0022","2002-01-16 11:15","<",".5300","","","103651","NG/L","2,4-D BUTYRIC ACID (2,4-DB)","2,4-D ACIDE BUTYRIQUE (2,4-DB)","P"
"MA05PF0022","2002-01-16 11:15","","5.9300","","","103645","NG/L","2,4-DICHLOROPHENOXYACETIC ACID (2,4-D)","ACIDE 2,4-DICHLOROPHÉNOXYACÉTIQUE (2,4-D)","P"
"MA05PF0022","2002-01-16 11:15","","44.5000","","","10111","MG/L","ALKALINITY TOTAL CACO3","ALCALINITÉ TOTALE CACO3","P"
"MA05PF0022","2002-01-16 11:15","",".0330","","","100195","MG/L","ALUMINUM DISSOLVED","ALUMINIUM DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","",".1910","","","100216","MG/L","ALUMINUM TOTAL","ALUMINIUM TOTAL","P"
"MA05PF0022","2002-01-16 11:15","",".0100","","","7540","MG/L","AMMONIA DISSOLVED","AZOTE AMMONIACAL DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","",".0000","","","7570","MG/L","AMMONIA UN-IONIZED (CALCD.)","AZOTE AMMONIACAL NON IONISÉ (CALC.)","P"
"MA05PF0022","2002-01-16 11:15","",".0006","","","100253","MG/L","ARSENIC DISSOLVED","ARSENIC DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","","7.7700","","","103662","NG/L","ATRAZINE","ATRAZINE","P"
"MA05PF0022","2002-01-16 11:15","",".0090","","","100196","MG/L","BARIUM DISSOLVED","BARYUM DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","",".0111","","","100217","MG/L","BARIUM TOTAL","BARYUM TOTAL","P"
"MA05PF0022","2002-01-16 11:15","<","26.2000","","","103667","NG/L","BENZOYLPROP-ETHYL","BENZOYLPROP-ÉTHYL","P"
"MA05PF0022","2002-01-16 11:15","<",".5000","","","100197","UG/L","BERYLLIUM DISSOLVED","BÉRYLLIUM DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","<",".0500","","","100218","UG/L","BERYLLIUM TOTAL","BÉRYLLIUM TOTAL","P"
"MA05PF0022","2002-01-16 11:15","","54.2460","","","6201","MG/L","BICARBONATE (CALCD.)","BICARBONATE (CALC.)","P"
"MA05PF0022","2002-01-16 11:15","",".0220","","","100211","MG/L","BORON DISSOLVED","BORE DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","<",".9900","","","103646","NG/L","BROMOXYNIL","BROMOXYNIL","P"
"MA05PF0022","2002-01-16 11:15","<","55.4000","","","103655","NG/L","BUTYLATE","BUTILATE","P"
"MA05PF0022","2002-01-16 11:15","<",".0010","","","100198","MG/L","CADMIUM DISSOLVED","CADMIUM DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","<",".0001","","","100219","MG/L","CADMIUM TOTAL","CADMIUM TOTAL","P"
"MA05PF0022","2002-01-16 11:15","","13.0000","","","20103","MG/L","CALCIUM DISSOLVED","CALCIUM DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","","1.5250","","","6401","MG/L","CARBON DIOXIDE FREE (CALC)","DIOXYDE DE CARBONE LIBRE (CALC.)","P"
"MA05PF0022","2002-01-16 11:15","","9.6100","","","6104","MG/L","CARBON DISSOLVED ORGANIC","CARBONE ORGANIQUE DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","",".1750","","","6901","MG/L","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P"
"MA05PF0022","2002-01-16 11:15","","9.7850","","","6002","MG/L","CARBON TOTAL ORGANIC (CALCD.)","CARBONE ORGANIQUE TOTAL (CALC.)","P"
"MA05PF0022","2002-01-16 11:15","",".0000","","","6301","MG/L","CARBONATE (CALCD.)","CARBONATE (CALC)","P"
"MA05PF0022","2002-01-16 11:15","","1.6100","","","17206","MG/L","CHLORIDE DISSOLVED","CHLORURE DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","<",".0010","","","100200","MG/L","CHROMIUM DISSOLVED","CHROME DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","",".0003","","","100221","MG/L","CHROMIUM TOTAL","CHROME TOTAL","P"
"MA05PF0022","2002-01-16 11:15","","3.0700","","","103640","NG/L","CLOPYRALID","CLOPYRALIDE","P"
"MA05PF0022","2002-01-16 11:15","<",".0010","","","100199","MG/L","COBALT DISSOLVED","COBALT DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","<",".0001","","","100220","MG/L","COBALT TOTAL","COBALT TOTAL","P"
"MA05PF0022","2002-01-16 11:15","<","2.0000","","","36012","NO/100ML","COLIFORMS FECAL","COLIFORMES FÉCAUX","P"
"MA05PF0022","2002-01-16 11:15","<","2.0000","","","36002","NO/100ML","COLIFORMS TOTAL","COLIFORMES TOTAUX","P"
"MA05PF0022","2002-01-16 11:15","","25.0000","","","2021","REL UNITS","COLOUR TRUE","COULEUR VRAIE","P"
"MA05PF0022","2002-01-16 11:15","",".0020","","","100201","MG/L","COPPER DISSOLVED","CUIVRE DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","",".0011","","","100222","MG/L","COPPER TOTAL","CUIVRE TOTAL","P"
"MA05PF0022","2002-01-16 11:15","<","26.8000","","","103657","NG/L","DESETHYL ATRAZINE","DÉSÉTHYL ATRAZINE","P"
"MA05PF0022","2002-01-16 11:15","<","148.0000","","","103656","NG/L","D-ETHYL SIMAZINE","DÉSÉTHYL SIMAZINE","P"
"MA05PF0022","2002-01-16 11:15","<","57.8000","","","103659","NG/L","DIALLATE I","DIALLATE I","P"
"MA05PF0022","2002-01-16 11:15","<","32.9000","","","103660","NG/L","DIALLATE II","DIALLATE II","P"
"MA05PF0022","2002-01-16 11:15","","2.5400","","","103641","NG/L","DICAMBA","DICAMBA","P"
"MA05PF0022","2002-01-16 11:15","<","42.3000","","","103666","NG/L","DICLOFOP-METHYL","DICLOFOP-MÉTHYL","P"
"MA05PF0022","2002-01-16 11:15","<","2.0000","","","36103","NO/100ML","FECAL STREPTOCOCCI","STREPTOCOQUES FÉCAUX","P"
"MA05PF0022","2002-01-16 11:15","","2.8100","","","103648","NG/L","FENOPROP OR SILVEX OR 2,4,5-TP","FENOPROP OU SILVEX OU 2,4,5-TP","P"
"MA05PF0022","2002-01-16 11:15","",".0800","","","9117","MG/L","FLUORIDE DISSOLVED","FLUORURE DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","","3.0700","","","10650","MG/L","HARDNESS NON-CARB. (CALCD.)","DURETÉ NON-CARB. (CALC.)","P"
"MA05PF0022","2002-01-16 11:15","","47.5700","","","10602","MG/L","HARDNESS TOTAL (CALCD.) CACO3","DURETÉ TOTALE (CALC.) CACO3","P"
"MA05PF0022","2002-01-16 11:15","",".0000","","","8501","MG/L","HYDROXIDE (CALCD.)","HYDROXYDE (CALC.)","P"
"MA05PF0022","2002-01-16 11:15","<",".1400","","","103652","NG/L","IMAZAMETHABENZ-METHYL(A)","IMAZAMÉTHABENZ-MÉTHYLE (A)","P"
"MA05PF0022","2002-01-16 11:15","<",".0880","","","103653","NG/L","IMAZAMETHABENZ-METHYL(B)","IMAZAMÉTHABENZ-MÉTHYLE (B)","P"
"MA05PF0022","2002-01-16 11:15","<","1.2000","","","103760","NG/L","IMAZETHAPYR","IMAZÉTHAPYR","P"
"MA05PF0022","2002-01-16 11:15","",".0380","","","100202","MG/L","IRON DISSOLVED","FER DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","",".2000","","","100223","MG/L","IRON TOTAL","FER TOTAL","P"
"MA05PF0022","2002-01-16 11:15","<",".0020","","","100207","MG/L","LEAD DISSOLVED","PLOMB DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","",".0005","","","100228","MG/L","LEAD TOTAL","PLOMB TOTAL","P"
"MA05PF0022","2002-01-16 11:15","",".0020","","","100203","MG/L","LITHIUM DISSOLVED","LITHIUM DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","",".0015","","","100224","MG/L","LITHIUM TOTAL","LITHIUM TOTAL","P"
"MA05PF0022","2002-01-16 11:15","","3.6700","","","12102","MG/L","MAGNESIUM DISSOLVED","MAGNÉSIUM DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","",".0020","","","100204","MG/L","MANGANESE DISSOLVED","MANGANÈSE DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","",".0073","","","100225","MG/L","MANGANESE TOTAL","MANGANÈSE TOTAL","P"
"MA05PF0022","2002-01-16 11:15","<",".5800","","","103642","NG/L","MCPA","MCPA","P"
"MA05PF0022","2002-01-16 11:15","<",".6300","","","103650","NG/L","MCPB","MCPB","P"
"MA05PF0022","2002-01-16 11:15","<",".0050","","","100249","UG/L","MERCURY TOTAL","MERCURE TOTAL","P"
"MA05PF0022","2002-01-16 11:15","<","23.7000","","","103665","NG/L","METOLACHLOR","MÉTOLACHLORE","P"
"MA05PF0022","2002-01-16 11:15","<","20.7000","","","103664","NG/L","METRIBUZIN","MÉTRIBUZINE","P"
"MA05PF0022","2002-01-16 11:15","<",".0010","","","100205","MG/L","MOLYBDENUM DISSOLVED","MOLYBDÈNE DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","<",".0001","","","100226","MG/L","MOLYBDENUM TOTAL","MOLYBDÈNE TOTAL","P"
"MA05PF0022","2002-01-16 11:15","<",".0020","","","100206","MG/L","NICKEL DISSOLVED","NICKEL DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","",".0008","","","100227","MG/L","NICKEL TOTAL","NICKEL TOTAL","P"
"MA05PF0022","2002-01-16 11:15","",".1800","","","7110","MG/L","NITROGEN DISSOLVED NO3 & NO2","AZOTE DISSOUS NO3 & NO2","P"
"MA05PF0022","2002-01-16 11:15","",".0240","","","7901","MG/L","NITROGEN PARTICULATE","AZOTE PARTICULAIRE","P"
"MA05PF0022","2002-01-16 11:15","",".6270","","","7603","MG/L","NITROGEN TOTAL (CALCD.)","AZOTE TOTAL (CALC.)","P"
"MA05PF0022","2002-01-16 11:15","",".6030","","","7657","MG/L","NITROGEN TOTAL DISSOLVED","AZOTE TOTAL DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","",".0150","","","15265","MG/L","ORTHOPHOSPHORUS DISSOLVED","ORTHOPHOSPHORE DISSOUS","P"
"MA05PF0022","2002-01-16 11:15","","12.5000","","","8102","MG/L","OXYGEN DISSOLVED","OXYGÈNE DISSOUS","P"
